|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1274.98        3300.52        7.20005        4.04824     
  11.0000        1275.03        3300.58        7.20019        4.04831     
  21.0000        1275.08        3300.64        7.20033        4.04838     
  31.0000        1275.12        3300.70        7.20047        4.04845     
  41.0000        1275.17        3300.77        7.20061        4.04852     
  51.0000        1275.22        3300.83        7.20075        4.04859     
  61.0000        1275.26        3300.89        7.20089        4.04866     
  71.0000        1275.31        3300.95        7.20103        4.04873     
  81.0000        1275.35        3301.01        7.20117        4.04880     
  91.0000        1275.40        3301.07        7.20132        4.04887     
  101.000        1275.45        3301.13        7.20146        4.04894     
  111.000        1275.49        3301.19        7.20160        4.04901     
  121.000        1275.54        3301.25        7.20174        4.04908     
  131.000        1275.59        3301.32        7.20188        4.04915     
  141.000        1275.63        3301.38        7.20202        4.04922     
  151.000        1275.68        3301.44        7.20216        4.04929     
  161.000        1275.73        3301.50        7.20230        4.04936     
  171.000        1275.77        3301.56        7.20244        4.04943     
  181.000        1275.82        3301.62        7.20258        4.04950     
  191.000        1275.86        3301.68        7.20272        4.04957     
  201.000        1275.91        3301.74        7.20286        4.04964     
  211.000        1275.96        3301.81        7.20300        4.04971     
  221.000        1276.00        3301.87        7.20314        4.04978     
  231.000        1276.05        3301.93        7.20328        4.04985     
  241.000        1276.10        3301.99        7.20342        4.04992     
  251.000        1276.14        3302.05        7.20356        4.04999     
  261.000        1276.19        3302.11        7.20370        4.05006     
  271.000        1276.24        3302.17        7.20384        4.05013     
  281.000        1276.28        3302.23        7.20399        4.05020     
  291.000        1276.33        3302.29        7.20413        4.05027     
  301.000        1276.38        3302.36        7.20427        4.05034     
  311.000        1276.42        3302.42        7.20441        4.05041     
  321.000        1276.47        3302.48        7.20455        4.05048     
  331.000        1276.51        3302.54        7.20469        4.05055     
  341.000        1276.56        3302.60        7.20483        4.05062     
  351.000        1276.61        3302.66        7.20497        4.05069     
  361.000        1276.65        3302.72        7.20511        4.05076     
  371.000        1276.70        3302.78        7.20525        4.05083     
  381.000        1276.75        3302.84        7.20539        4.05089     
  391.000        1276.79        3302.91        7.20553        4.05096     
  401.000        1276.84        3302.97        7.20567        4.05103     
  411.000        1276.89        3303.03        7.20581        4.05110     
  421.000        1276.93        3303.09        7.20595        4.05117     
  431.000        1276.98        3303.15        7.20609        4.05124     
  441.000        1277.03        3303.20        7.20615        4.05132     
  451.000        1277.07        3303.26        7.20629        4.05138     
  461.000        1277.12        3303.32        7.20643        4.05145     
  471.000        1277.17        3303.39        7.20657        4.05152     
  481.000        1277.21        3303.45        7.20671        4.05159     
  491.000        1277.26        3303.51        7.20685        4.05166     
  501.000        1277.31        3303.57        7.20699        4.05173     
  511.000        1277.35        3303.63        7.20713        4.05180     
