|6.6.6
mars1_2.tab                                                                                         
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           3
P(bar)         T(K)           rho,kg/m3     
  1.00000        1274.98        3300.52     
  11.0000        1275.03        3300.58     
  21.0000        1275.08        3300.64     
  31.0000        1275.12        3300.70     
  41.0000        1275.17        3300.77     
  51.0000        1275.22        3300.83     
  61.0000        1275.26        3300.89     
  71.0000        1275.31        3300.95     
  81.0000        1275.35        3301.01     
  91.0000        1275.40        3301.07     
  101.000        1275.45        3301.13     
  111.000        1275.49        3301.19     
  121.000        1275.54        3301.25     
  131.000        1275.59        3301.32     
  141.000        1275.63        3301.38     
  151.000        1275.68        3301.44     
  161.000        1275.73        3301.50     
  171.000        1275.77        3301.56     
  181.000        1275.82        3301.62     
  191.000        1275.86        3301.68     
  201.000        1275.91        3301.74     
  211.000        1275.96        3301.81     
  221.000        1276.00        3301.87     
  231.000        1276.05        3301.93     
  241.000        1276.10        3301.99     
  251.000        1276.14        3302.05     
  261.000        1276.19        3302.11     
  271.000        1276.24        3302.17     
  281.000        1276.28        3302.23     
  291.000        1276.33        3302.29     
  301.000        1276.38        3302.36     
  311.000        1276.42        3302.42     
  321.000        1276.47        3302.48     
  331.000        1276.51        3302.54     
  341.000        1276.56        3302.60     
  351.000        1276.61        3302.66     
  361.000        1276.65        3302.72     
  371.000        1276.70        3302.78     
  381.000        1276.75        3302.84     
  391.000        1276.79        3302.91     
  401.000        1276.84        3302.97     
  411.000        1276.89        3303.03     
  421.000        1276.93        3303.09     
  431.000        1276.98        3303.15     
  441.000        1277.03        3303.20     
  451.000        1277.07        3303.26     
  461.000        1277.12        3303.32     
  471.000        1277.17        3303.39     
  481.000        1277.21        3303.45     
  491.000        1277.26        3303.51     
  501.000        1277.31        3303.57     
  511.000        1277.35        3303.63     
  521.000        1277.40        3303.69     
  531.000        1277.45        3303.75     
  541.000        1277.49        3303.81     
  551.000        1277.54        3303.87     
  561.000        1277.59        3303.94     
  571.000        1277.63        3304.00     
  581.000        1277.68        3304.06     
  591.000        1277.73        3304.12     
  601.000        1277.78        3304.18     
  611.000        1277.82        3304.24     
  621.000        1277.87        3304.26     
  631.000        1277.92        3304.32     
  641.000        1277.96        3304.38     
  651.000        1278.01        3304.44     
  661.000        1278.06        3304.50     
  671.000        1278.10        3304.57     
  681.000        1278.15        3304.63     
  691.000        1278.20        3304.69     
  701.000        1278.24        3304.75     
  711.000        1278.29        3304.81     
  721.000        1278.34        3304.87     
  731.000        1278.38        3304.93     
  741.000        1278.43        3304.99     
  751.000        1278.48        3305.05     
  761.000        1278.53        3305.11     
  771.000        1278.57        3305.18     
  781.000        1278.62        3305.24     
  791.000        1278.67        3305.30     
  801.000        1278.71        3305.35     
  811.000        1278.76        3305.41     
  821.000        1278.81        3305.47     
  831.000        1278.85        3305.53     
  841.000        1278.90        3305.59     
  851.000        1278.95        3305.65     
  861.000        1279.00        3305.61     
  871.000        1279.04        3305.67     
  881.000        1279.09        3305.73     
  891.000        1279.14        3305.79     
  901.000        1279.18        3305.85     
  911.000        1279.23        3305.91     
  921.000        1279.28        3305.98     
  931.000        1279.33        3306.04     
  941.000        1279.37        3306.10     
  951.000        1279.42        3306.16     
  961.000        1279.47        3306.22     
  971.000        1279.51        3306.28     
  981.000        1279.56        3306.34     
  991.000        1279.61        3306.40     
  1001.00        1279.66        3306.46     
  1011.00        1279.70        3306.52     
  1021.00        1279.75        3306.58     
  1031.00        1279.80        3306.65     
  1041.00        1279.84        3306.71     
  1051.00        1279.89        3306.77     
  1061.00        1279.94        3306.83     
  1071.00        1279.99        3306.89     
  1081.00        1280.03        3306.95     
  1091.00        1280.08        3307.01     
  1101.00        1280.13        3307.07     
  1111.00        1280.18        3307.13     
  1121.00        1280.22        3307.19     
  1131.00        1280.27        3307.25     
  1141.00        1280.32        3307.32     
  1151.00        1280.36        3307.38     
  1161.00        1280.41        3307.44     
  1171.00        1280.46        3307.50     
  1181.00        1280.51        3307.56     
  1191.00        1280.55        3307.62     
  1201.00        1280.60        3307.68     
  1211.00        1280.65        3307.74     
  1221.00        1280.70        3307.80     
  1231.00        1280.74        3307.86     
  1241.00        1280.79        3307.92     
  1251.00        1280.84        3307.99     
  1261.00        1280.89        3308.05     
  1271.00        1280.93        3308.11     
  1281.00        1280.98        3308.17     
  1291.00        1281.03        3308.23     
  1301.00        1281.08        3308.29     
  1311.00        1281.12        3308.35     
  1321.00        1281.17        3308.41     
  1331.00        1281.22        3308.47     
  1341.00        1281.27        3308.53     
  1351.00        1281.31        3308.59     
  1361.00        1281.36        3308.66     
  1371.00        1281.41        3308.72     
  1381.00        1281.46        3308.78     
  1391.00        1281.50        3308.84     
  1401.00        1281.55        3308.90     
  1411.00        1281.60        3308.96     
  1421.00        1281.65        3309.02     
  1431.00        1281.69        3309.08     
  1441.00        1281.74        3309.14     
  1451.00        1281.79        3309.20     
  1461.00        1281.84        3309.26     
  1471.00        1281.89        3309.32     
  1481.00        1281.93        3309.39     
  1491.00        1281.98        3309.45     
  1501.00        1282.03        3309.51     
  1511.00        1282.08        3309.57     
  1521.00        1282.12        3309.63     
  1531.00        1282.17        3309.69     
  1541.00        1282.22        3309.75     
  1551.00        1282.27        3309.81     
  1561.00        1282.31        3309.87     
  1571.00        1282.36        3309.93     
  1581.00        1282.41        3309.99     
  1591.00        1282.46        3310.05     
  1601.00        1282.51        3310.12     
  1611.00        1282.55        3310.18     
  1621.00        1282.60        3310.24     
  1631.00        1282.65        3310.30     
  1641.00        1282.70        3310.36     
  1651.00        1282.75        3310.42     
  1661.00        1282.79        3310.48     
  1671.00        1282.84        3310.54     
  1681.00        1282.89        3310.60     
  1691.00        1282.94        3310.66     
  1701.00        1282.98        3310.72     
  1711.00        1283.03        3310.78     
  1721.00        1283.08        3310.84     
  1731.00        1283.13        3310.91     
  1741.00        1283.18        3310.97     
  1751.00        1283.22        3311.03     
  1761.00        1283.27        3311.09     
  1771.00        1283.32        3311.15     
  1781.00        1283.37        3311.21     
  1791.00        1283.42        3311.27     
  1801.00        1283.46        3311.33     
  1811.00        1283.51        3311.39     
  1821.00        1283.56        3311.45     
  1831.00        1283.61        3311.51     
  1841.00        1283.66        3311.57     
  1851.00        1283.70        3311.63     
  1861.00        1283.75        3311.69     
  1871.00        1283.80        3311.76     
  1881.00        1283.85        3311.82     
  1891.00        1283.90        3311.88     
  1901.00        1283.94        3311.94     
  1911.00        1283.99        3312.00     
  1921.00        1284.04        3312.06     
  1931.00        1284.09        3312.12     
  1941.00        1284.14        3312.18     
  1951.00        1284.19        3312.24     
  1961.00        1284.23        3312.30     
  1971.00        1284.28        3312.36     
  1981.00        1284.33        3312.42     
  1991.00        1284.38        3312.48     
  2001.00        1284.43        3312.54     
  2011.00        1284.47        3312.61     
  2021.00        1284.52        3312.67     
  2031.00        1284.57        3312.73     
  2041.00        1284.62        3312.79     
  2051.00        1284.67        3312.85     
  2061.00        1284.72        3312.91     
  2071.00        1284.76        3312.97     
  2081.00        1284.81        3313.03     
  2091.00        1284.86        3313.09     
  2101.00        1284.91        3313.15     
  2111.00        1284.96        3313.21     
  2121.00        1285.01        3313.27     
  2131.00        1285.05        3313.33     
  2141.00        1285.10        3313.39     
  2151.00        1285.15        3313.46     
  2161.00        1285.20        3313.52     
  2171.00        1285.25        3313.58     
  2181.00        1285.30        3313.64     
  2191.00        1285.34        3313.70     
  2201.00        1285.39        3313.76     
  2211.00        1285.44        3313.82     
  2221.00        1285.49        3313.88     
  2231.00        1285.54        3313.94     
  2241.00        1285.59        3314.00     
  2251.00        1285.63        3314.06     
  2261.00        1285.68        3314.12     
