|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  1.00000        1274.98        3432.34     
  24.5023        1275.09        3432.41     
  48.0045        1275.20        3432.48     
  71.5068        1275.31        3432.55     
  95.0090        1275.42        3432.62     
  118.511        1275.53        3432.69     
  142.014        1275.64        3432.75     
  165.516        1275.75        3432.82     
  189.018        1275.86        3432.89     
  212.520        1275.96        3432.96     
  236.023        1276.07        3433.03     
  259.525        1276.18        3433.10     
  283.027        1276.29        3433.17     
  306.529        1276.40        3433.23     
  330.032        1276.51        3433.30     
  353.534        1276.62        3433.37     
  377.036        1276.73        3433.44     
  400.538        1276.84        3433.51     
  424.041        1276.95        3433.58     
  447.543        1277.06        3433.65     
  471.045        1277.17        3433.71     
  494.547        1277.28        3433.78     
  518.050        1277.39        3433.85     
  541.552        1277.50        3433.92     
  565.054        1277.61        3433.99     
  588.556        1277.72        3434.06     
  612.059        1277.83        3434.13     
  635.561        1277.94        3434.19     
  659.063        1278.05        3434.26     
  682.565        1278.16        3434.33     
  706.068        1278.27        3434.40     
  729.570        1278.38        3434.47     
  753.072        1278.49        3434.54     
  776.574        1278.60        3434.60     
  800.077        1278.71        3434.67     
  823.579        1278.82        3434.74     
  847.081        1278.93        3434.81     
  870.583        1279.04        3434.71     
  894.086        1279.15        3434.77     
  917.588        1279.26        3434.84     
  941.090        1279.37        3434.91     
  964.592        1279.48        3434.98     
  988.095        1279.59        3435.05     
  1011.60        1279.71        3435.12     
  1035.10        1279.82        3435.18     
  1058.60        1279.93        3435.25     
  1082.10        1280.04        3435.32     
  1105.61        1280.15        3435.39     
  1129.11        1280.26        3435.46     
  1152.61        1280.37        3435.52     
  1176.11        1280.48        3435.59     
  1199.61        1280.60        3435.66     
  1223.12        1280.71        3435.73     
  1246.62        1280.82        3435.80     
  1270.12        1280.93        3435.87     
  1293.62        1281.04        3435.93     
  1317.13        1281.15        3436.00     
  1340.63        1281.26        3436.07     
  1364.13        1281.38        3436.14     
  1387.63        1281.49        3436.21     
  1411.14        1281.60        3436.27     
  1434.64        1281.71        3436.34     
  1458.14        1281.82        3436.41     
  1481.64        1281.94        3436.48     
  1505.14        1282.05        3436.55     
  1528.65        1282.16        3436.62     
  1552.15        1282.27        3436.68     
  1575.65        1282.38        3436.75     
  1599.15        1282.50        3436.82     
  1622.66        1282.61        3436.89     
  1646.16        1282.72        3436.96     
  1669.66        1282.83        3437.02     
  1693.16        1282.95        3437.09     
  1716.66        1283.06        3437.16     
  1740.17        1283.17        3437.23     
  1763.67        1283.29        3437.30     
  1787.17        1283.40        3437.36     
  1810.67        1283.51        3437.43     
  1834.18        1283.62        3437.50     
  1857.68        1283.74        3437.57     
  1881.18        1283.85        3437.64     
  1904.68        1283.96        3437.70     
  1928.18        1284.08        3437.77     
  1951.69        1284.19        3437.84     
  1975.19        1284.30        3437.91     
  1998.69        1284.42        3437.97     
  2022.19        1284.53        3438.04     
  2045.70        1284.64        3438.11     
  2069.20        1284.76        3438.18     
  2092.70        1284.87        3438.25     
  2116.20        1284.98        3438.31     
  2139.70        1285.10        3438.38     
  2163.21        1285.21        3438.45     
  2186.71        1285.32        3438.52     
  2210.21        1285.44        3438.59     
  2233.71        1285.55        3438.65     
  2257.22        1285.66        3438.72     
  2280.72        1285.78        3438.79     
  2304.22        1285.89        3438.86     
  2327.72        1286.01        3438.92     
  2351.23        1286.12        3438.99     
  2374.73        1286.23        3439.06     
  2398.23        1286.35        3439.13     
  2421.73        1286.46        3439.20     
  2445.23        1286.58        3439.26     
  2468.74        1286.69        3439.33     
  2492.24        1286.81        3439.40     
  2515.74        1286.92        3439.47     
  2539.24        1287.03        3439.53     
  2562.75        1287.15        3439.60     
  2586.25        1287.26        3439.67     
  2609.75        1287.38        3439.74     
  2633.25        1287.49        3439.80     
  2656.75        1287.61        3439.87     
  2680.26        1287.72        3439.94     
  2703.76        1287.84        3440.01     
  2727.26        1287.95        3440.07     
  2750.76        1288.07        3440.14     
  2774.27        1288.18        3440.21     
  2797.77        1288.30        3440.28     
  2821.27        1288.41        3440.35     
  2844.77        1288.53        3440.41     
  2868.27        1288.64        3440.48     
  2891.78        1288.76        3440.55     
  2915.28        1288.87        3440.62     
  2938.78        1288.99        3440.68     
  2962.28        1289.10        3440.75     
  2985.79        1289.22        3440.82     
  3009.29        1289.33        3440.89     
  3032.79        1289.45        3440.95     
  3056.29        1289.57        3441.02     
  3079.79        1289.68        3441.09     
  3103.30        1289.80        3441.16     
  3126.80        1289.91        3441.22     
  3150.30        1290.03        3441.29     
  3173.80        1290.14        3441.36     
  3197.31        1290.26        3441.43     
  3220.81        1290.38        3441.49     
  3244.31        1290.49        3441.56     
  3267.81        1290.61        3441.63     
  3291.32        1290.72        3441.70     
  3314.82        1290.84        3441.76     
  3338.32        1290.96        3441.83     
  3361.82        1291.07        3441.90     
  3385.32        1291.19        3441.96     
  3408.83        1291.31        3442.03     
  3432.33        1291.42        3442.10     
  3455.83        1291.54        3442.17     
  3479.33        1291.66        3442.23     
  3502.84        1291.77        3442.30     
  3526.34        1291.89        3442.37     
  3549.84        1292.01        3442.44     
  3573.34        1292.12        3442.50     
  3596.84        1292.24        3442.57     
  3620.35        1292.36        3442.64     
  3643.85        1292.47        3442.71     
  3667.35        1292.59        3442.77     
  3690.85        1292.71        3442.84     
  3714.36        1292.82        3442.91     
  3737.86        1292.94        3442.97     
  3761.36        1293.06        3443.04     
  3784.86        1293.18        3443.11     
  3808.36        1293.29        3443.18     
  3831.87        1293.41        3443.24     
  3855.37        1293.53        3443.31     
  3878.87        1293.64        3443.38     
  3902.37        1293.76        3443.44     
  3925.88        1293.88        3443.51     
  3949.38        1294.00        3443.58     
  3972.88        1294.11        3443.65     
  3996.38        1294.23        3443.71     
  4019.88        1294.35        3443.78     
  4043.39        1294.47        3443.85     
  4066.89        1294.59        3443.91     
  4090.39        1294.70        3443.98     
  4113.89        1294.82        3444.05     
  4137.40        1294.94        3444.12     
  4160.90        1295.06        3444.18     
  4184.40        1295.18        3444.25     
  4207.90        1295.29        3444.32     
  4231.41        1295.41        3444.38     
  4254.91        1295.53        3444.45     
  4278.41        1295.65        3444.52     
  4301.91        1295.77        3444.59     
  4325.41        1295.88        3444.65     
  4348.92        1296.00        3444.72     
  4372.42        1296.12        3444.79     
  4395.92        1296.24        3444.85     
  4419.42        1296.36        3444.92     
  4442.93        1296.48        3444.99     
  4466.43        1296.60        3445.05     
  4489.93        1296.71        3445.12     
  4513.43        1296.83        3445.19     
  4536.93        1296.95        3445.26     
  4560.44        1297.07        3445.32     
  4583.94        1297.19        3445.39     
  4607.44        1297.31        3445.46     
  4630.94        1297.43        3445.52     
  4654.45        1297.55        3445.59     
  4677.95        1297.67        3445.66     
  4701.45        1297.79        3445.72     
  4724.95        1297.90        3445.79     
  4748.45        1298.02        3445.86     
  4771.96        1298.14        3445.92     
  4795.46        1298.26        3445.99     
  4818.96        1298.38        3446.06     
  4842.46        1298.50        3446.13     
  4865.97        1298.62        3446.19     
  4889.47        1298.74        3446.26     
  4912.97        1298.86        3446.33     
  4936.47        1298.98        3446.39     
  4959.97        1299.10        3446.46     
  4983.48        1299.22        3446.53     
  5006.98        1299.34        3446.59     
  5030.48        1299.46        3446.66     
  5053.98        1299.58        3446.73     
  5077.49        1299.70        3446.79     
  5100.99        1299.82        3446.86     
  5124.49        1299.94        3446.93     
  5147.99        1300.06        3446.99     
  5171.50        1300.18        3447.06     
  5195.00        1300.30        3447.13     
  5218.50        1300.42        3447.19     
  5242.00        1300.54        3447.26     
  5265.50        1300.66        3447.33     
  5289.01        1300.78        3447.39     
  5312.51        1300.90        3447.46     
  5336.01        1301.02        3447.53     
  5359.51        1301.14        3447.59     
  5383.02        1301.26        3447.66     
  5406.52        1301.38        3447.73     
  5430.02        1301.50        3447.79     
  5453.52        1301.62        3447.86     
  5477.02        1301.74        3447.93     
  5500.53        1301.87        3447.99     
  5524.03        1301.99        3448.06     
  5547.53        1302.11        3448.13     
  5571.03        1302.23        3448.19     
  5594.54        1302.35        3448.26     
  5618.04        1302.47        3448.33     
  5641.54        1302.59        3448.39     
  5665.04        1302.71        3448.46     
  5688.54        1302.83        3448.53     
  5712.05        1302.96        3448.59     
  5735.55        1303.08        3448.66     
  5759.05        1303.20        3448.73     
  5782.55        1303.32        3448.79     
  5806.06        1303.44        3448.86     
  5829.56        1303.56        3448.93     
  5853.06        1303.68        3448.99     
  5876.56        1303.81        3449.06     
  5900.06        1303.93        3449.13     
  5923.57        1304.05        3449.19     
  5947.07        1304.17        3449.26     
  5970.57        1304.29        3449.33     
  5994.07        1304.41        3449.39     
  6017.58        1304.54        3449.46     
  6041.08        1304.66        3449.53     
  6064.58        1304.78        3449.59     
  6088.08        1304.90        3449.66     
  6111.59        1305.02        3449.72     
  6135.09        1305.15        3449.79     
  6158.59        1305.27        3449.86     
  6182.09        1305.39        3449.92     
  6205.59        1305.51        3449.99     
  6229.10        1305.63        3450.06     
  6252.60        1305.76        3450.12     
  6276.10        1305.88        3450.19     
  6299.60        1306.00        3450.26     
  6323.11        1306.12        3450.32     
  6346.61        1306.25        3450.39     
  6370.11        1306.37        3450.45     
  6393.61        1306.49        3450.52     
  6417.11        1306.61        3450.48     
  6440.62        1306.74        3450.56     
  6464.12        1306.86        3450.63     
  6487.62        1306.98        3450.70     
  6511.12        1307.11        3450.78     
  6534.63        1307.23        3450.85     
  6558.13        1307.35        3450.92     
  6581.63        1307.47        3450.99     
  6605.13        1307.60        3451.07     
  6628.63        1307.72        3451.14     
  6652.14        1307.84        3451.21     
  6675.64        1307.97        3451.29     
  6699.14        1308.09        3451.36     
  6722.64        1308.21        3451.43     
  6746.15        1308.34        3451.51     
  6769.65        1308.46        3451.58     
  6793.15        1308.58        3451.64     
  6816.65        1308.71        3451.70     
  6840.15        1308.83        3451.76     
  6863.66        1308.95        3451.82     
  6887.16        1309.08        3451.88     
  6910.66        1309.20        3451.93     
  6934.16        1309.32        3451.99     
  6957.67        1309.45        3452.05     
  6981.17        1309.57        3452.11     
  7004.67        1309.70        3452.17     
  7028.17        1309.82        3452.22     
  7051.68        1309.94        3452.28     
  7075.18        1310.07        3452.34     
  7098.68        1310.19        3452.40     
  7122.18        1310.32        3452.46     
  7145.68        1310.44        3452.51     
  7169.19        1310.56        3454.67     
  7192.69        1310.69        3454.73     
  7216.19        1310.81        3454.79     
  7239.69        1310.94        3454.85     
  7263.20        1311.06        3454.90     
  7286.70        1311.19        3454.96     
  7310.20        1311.31        3455.02     
  7333.70        1311.43        3455.08     
  7357.20        1311.56        3455.14     
  7380.71        1311.68        3455.19     
  7404.21        1311.81        3455.25     
  7427.71        1311.93        3455.31     
  7451.21        1312.06        3455.37     
  7474.72        1312.18        3455.42     
  7498.22        1312.31        3455.48     
  7521.72        1312.43        3455.54     
  7545.22        1312.56        3455.60     
  7568.72        1312.68        3455.67     
  7592.23        1312.81        3455.74     
  7615.73        1312.93        3455.80     
  7639.23        1313.06        3455.87     
  7662.73        1313.18        3455.93     
  7686.24        1313.31        3456.00     
  7709.74        1313.43        3456.07     
  7733.24        1313.56        3456.13     
  7756.74        1313.68        3456.20     
  7780.24        1313.81        3456.27     
  7803.75        1313.93        3456.33     
  7827.25        1314.06        3456.40     
  7850.75        1314.18        3456.46     
  7874.25        1314.31        3456.53     
  7897.76        1314.44        3456.60     
  7921.26        1314.56        3456.66     
  7944.76        1314.69        3456.73     
  7968.26        1314.81        3456.80     
  7991.77        1314.94        3456.86     
  8015.27        1315.06        3456.93     
  8038.77        1315.19        3456.99     
  8062.27        1315.32        3457.06     
  8085.77        1315.44        3457.13     
  8109.28        1315.57        3457.19     
  8132.78        1315.69        3457.26     
  8156.28        1315.82        3457.32     
  8179.78        1315.95        3457.39     
  8203.29        1316.07        3457.46     
  8226.79        1316.20        3457.52     
  8250.29        1316.32        3457.53     
  8273.79        1316.45        3457.60     
  8297.29        1316.58        3457.66     
  8320.80        1316.70        3457.73     
  8344.30        1316.83        3457.79     
  8367.80        1316.96        3457.86     
  8391.30        1317.08        3457.93     
  8414.81        1317.21        3457.99     
  8438.31        1317.33        3458.06     
  8461.81        1317.46        3458.12     
  8485.31        1317.59        3458.19     
  8508.81        1317.71        3458.26     
  8532.32        1317.84        3458.32     
  8555.82        1317.97        3458.39     
  8579.32        1318.09        3458.51     
  8602.82        1318.22        3458.58     
  8626.33        1318.35        3458.65     
  8649.83        1318.48        3458.67     
  8673.33        1318.60        3458.73     
  8696.83        1318.73        3458.80     
  8720.33        1318.86        3458.87     
  8743.84        1318.98        3458.93     
  8767.34        1319.11        3459.00     
