|6.6.6
mars_bf97_1.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wad            Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        12.4223        64.5593        18.0727        4.94572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        12.3950        64.5514        18.0875        4.96621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        12.3676        64.5435        18.1022        4.98670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        12.3403        64.5355        18.1170        5.00720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        12.3129        64.5276        18.1317        5.02769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        12.2856        64.5197        18.1465        5.04819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        12.2588        64.5114        18.1611        5.06866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        12.2314        64.5029        18.1766        5.08912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        12.2040        64.4950        18.1914        5.10962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        12.1763        64.4880        18.2055        5.13021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        12.1489        64.4801        18.2203        5.15072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        12.1216        64.4722        18.2350        5.17123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        12.0943        64.4642        18.2498        5.19175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        12.0669        64.4563        18.2645        5.21226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        12.0396        64.4483        18.2793        5.23278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        12.0123        64.4404        18.2941        5.25331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        11.9849        64.4324        18.3088        5.27383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        11.9576        64.4245        18.3236        5.29435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        11.9303        64.4165        18.3384        5.31488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        11.9029        64.4085        18.3531        5.33541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        11.8756        64.4006        18.3679        5.35595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        11.8483        64.3926        18.3827        5.37648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        11.8209        64.3846        18.3974        5.39702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        11.7936        64.3766        18.4122        5.41756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        11.7663        64.3687        18.4270        5.43810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        11.7389        64.3607        18.4418        5.45864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        11.7116        64.3527        18.4565        5.47919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        11.6843        64.3447        18.4713        5.49974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        11.6569        64.3367        18.4861        5.52029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        11.6296        64.3287        18.5009        5.54084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        11.6023        64.3207        18.5156        5.56139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        11.5750        64.3127        18.5304        5.58195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        11.5476        64.3046        18.5452        5.60251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        11.5203        64.2966        18.5600        5.62307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        11.4930        64.2886        18.5748        5.64364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        11.4656        64.2806        18.5896        5.66420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        11.4383        64.2726        18.6044        5.68477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        11.3631        64.2484        18.6467        5.74181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        11.2851        64.2233        18.6906        5.80099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        11.2070        64.1982        18.7346        5.86019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        11.1290        64.1731        18.7785        5.91939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        11.0509        64.1480        18.8225        5.97861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        10.9729        64.1228        18.8665        6.03785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        10.8948        64.0977        18.9104        6.09710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        10.8167        64.0725        18.9544        6.15636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        10.7386        64.0473        18.9984        6.21563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        10.6605        64.0222        19.0424        6.27492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        10.5824        63.9970        19.0864        6.33422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        10.5043        63.9718        19.1304        6.39354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        10.4262        63.9465        19.1744        6.45287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        10.3480        63.9213        19.2185        6.51221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
