|6.6.6
mars_bf97_3.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3302.64        7.21690        4.05752     
  101.000        1240.92        3303.05        7.21786        4.05784     
  201.000        1241.73        3303.47        7.21883        4.05815     
  301.000        1242.53        3303.89        7.21979        4.05847     
  401.000        1243.34        3304.31        7.22076        4.05878     
  501.000        1244.15        3304.73        7.22173        4.05909     
  601.000        1244.96        3305.12        7.22241        4.05941     
  701.000        1245.77        3305.51        7.22269        4.05975     
  801.000        1246.58        3305.93        7.22366        4.06006     
  901.000        1247.38        3306.23        7.22312        4.06045     
  1001.00        1248.19        3306.65        7.22408        4.06076     
  1101.00        1249.00        3307.07        7.22504        4.06108     
  1201.00        1249.81        3307.48        7.22601        4.06139     
  1301.00        1250.62        3307.90        7.22697        4.06170     
  1401.00        1251.42        3308.32        7.22793        4.06202     
  1501.00        1252.23        3308.73        7.22889        4.06233     
  1601.00        1253.04        3309.15        7.22985        4.06264     
  1701.00        1253.85        3309.57        7.23081        4.06296     
  1801.00        1254.66        3309.98        7.23177        4.06327     
  1901.00        1255.46        3310.40        7.23272        4.06358     
  2001.00        1256.27        3310.81        7.23368        4.06390     
  2101.00        1257.08        3311.23        7.23464        4.06421     
  2201.00        1257.89        3311.65        7.23560        4.06452     
  2301.00        1258.69        3312.06        7.23655        4.06484     
  2401.00        1259.50        3312.48        7.23751        4.06515     
  2501.00        1260.31        3312.89        7.23847        4.06546     
  2601.00        1261.12        3313.31        7.23942        4.06578     
  2701.00        1261.92        3313.72        7.24038        4.06609     
  2801.00        1262.73        3314.14        7.24133        4.06640     
  2901.00        1263.54        3314.55        7.24228        4.06671     
  3001.00        1264.35        3314.97        7.24324        4.06703     
  3101.00        1265.15        3315.38        7.24419        4.06734     
  3201.00        1265.96        3315.80        7.24514        4.06765     
  3301.00        1266.77        3316.21        7.24610        4.06797     
  3401.00        1267.57        3316.63        7.24705        4.06828     
  3501.00        1268.38        3317.04        7.24800        4.06859     
  3601.00        1269.19        3317.46        7.24895        4.06890     
  3701.00        1269.99        3318.16        7.25034        4.06971     
  3801.00        1270.80        3318.89        7.25175        4.07054     
  3901.00        1271.61        3319.61        7.25317        4.07138     
  4001.00        1272.41        3320.34        7.25458        4.07221     
