|6.6.6
mars_bf97_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3424.42        7.74023        4.43529     
  101.000        309.688        3424.46        7.73914        4.43417     
  201.000        317.564        3424.20        7.73740        4.43255     
  301.000        325.401        3423.63        7.73497        4.43040     
  401.000        333.201        3423.25        7.73259        4.42859     
  501.000        340.963        3422.51        7.72971        4.42618     
  601.000        348.688        3422.13        7.72766        4.42433     
  701.000        356.375        3421.76        7.72563        4.42251     
  801.000        364.025        3421.39        7.72357        4.42067     
  901.000        371.637        3421.87        7.72340        4.42027     
  1001.00        379.213        3421.55        7.72127        4.41856     
  1101.00        386.752        3421.10        7.71785        4.41690     
  1201.00        394.254        3420.69        7.71567        4.41499     
  1301.00        401.719        3420.35        7.71361        4.41321     
  1401.00        409.149        3420.06        7.71168        4.41150     
  1501.00        416.541        3419.71        7.70963        4.40969     
  1601.00        423.898        3419.39        7.70764        4.40793     
  1701.00        431.219        3418.41        7.70401        4.40497     
  1801.00        438.504        3418.56        7.70316        4.40406     
  1901.00        445.753        3446.83        7.79425        4.42753     
  2001.00        452.967        3446.54        7.79222        4.42583     
  2101.00        460.145        3446.19        7.79003        4.42402     
  2201.00        467.288        3445.93        7.78805        4.42238     
  2301.00        474.395        3445.54        7.78577        4.42051     
  2401.00        481.468        3445.42        7.78427        4.41911     
  2501.00        488.506        3444.81        7.78149        4.41684     
  2601.00        495.510        3444.72        7.77974        4.41552     
  2701.00        502.478        3444.37        7.77754        4.41372     
  2801.00        509.412        3444.62        7.77713        4.41300     
  2901.00        516.312        3443.02        7.77187        4.40892     
  3001.00        523.178        3443.48        7.77138        4.40860     
  3101.00        530.010        3443.33        7.77024        4.40714     
  3201.00        536.808        3443.40        7.76864        4.40613     
  3301.00        543.572        3440.55        7.75992        4.39985     
  3401.00        550.303        3443.71        7.76758        4.40430     
  3501.00        557.000        3442.20        7.76162        4.40050     
  3601.00        563.663        3444.26        7.76665        4.40295     
  3701.00        570.294        3441.73        7.75792        4.39732     
  3801.00        576.891        3442.03        7.75789        4.39665     
  3901.00        583.456        3442.30        7.75742        4.39598     
  4001.00        589.988        3440.58        7.75106        4.39180     
  4101.00        596.487        3436.20        7.73048        4.38036     
  4201.00        602.953        3435.85        7.72818        4.37859     
  4301.00        609.388        3433.19        7.71558        4.37133     
  4401.00        615.789        3433.93        7.71603        4.37150     
  4501.00        622.159        3433.67        7.71403        4.36990     
  4601.00        628.497        3433.52        7.71222        4.36847     
  4701.00        634.803        3433.64        7.71174        4.36755     
  4801.00        641.077        3433.22        7.70867        4.36567     
  4901.00        647.319        3433.07        7.70710        4.36427     
  5001.00        653.531        3432.90        7.70525        4.36282     
  5101.00        659.710        3432.85        7.70370        4.36160     
  5201.00        665.859        3432.69        7.70229        4.36019     
  5301.00        671.976        3432.29        7.69992        4.35835     
  5401.00        678.062        3432.34        7.69848        4.35732     
  5501.00        684.118        3432.10        7.69661        4.35577     
  5601.00        690.143        3431.69        7.69440        4.35393     
  5701.00        696.137        3430.88        7.69135        4.35136     
  5801.00        702.101        3432.35        7.69397        4.35286     
  5901.00        708.034        3431.33        7.69080        4.34992     
  6001.00        713.938        3431.44        7.68827        4.34903     
  6101.00        719.811        3431.56        7.68719        4.34809     
  6201.00        725.654        3431.60        7.68596        4.34706     
  6301.00        731.468        3431.64        7.68476        4.34603     
  6401.00        737.251        3433.78        7.68838        4.34874     
  6501.00        743.005        3432.76        7.68409        4.34584     
  6601.00        748.730        3432.82        7.68291        4.34485     
  6701.00        754.426        3433.49        7.68361        4.34495     
  6801.00        760.092        3433.20        7.68157        4.34334     
  6901.00        765.729        3432.17        7.67804        4.34050     
  7001.00        771.337        3435.00        7.68408        4.34436     
  7101.00        776.916        3434.52        7.68164        4.34243     
  7201.00        782.466        3432.22        7.67440        4.33737     
  7301.00        787.988        3432.06        7.67285        4.33601     
  7401.00        793.482        3432.66        7.67301        4.33602     
  7501.00        798.947        3432.55        7.67119        4.33476     
  7601.00        804.384        3432.65        7.67013        4.33388     
  7701.00        809.792        3434.93        7.67449        4.33691     
  7801.00        815.173        3432.22        7.66720        4.33096     
  7901.00        820.526        3433.13        7.66745        4.33158     
  8001.00        825.851        3431.62        7.66310        4.32768     
  8101.00        831.148        3433.49        7.66567        4.33013     
  8201.00        836.418        3433.75        7.66513        4.32956     
  8301.00        841.661        3432.64        7.66151        4.32638     
  8401.00        846.876        3434.18        7.66368        4.32825     
  8501.00        852.064        3433.17        7.66019        4.32526     
  8601.00        857.224        3433.61        7.65993        4.32502     
  8701.00        862.358        3434.96        7.66164        4.32647     
  8801.00        867.466        3435.10        7.66106        4.32579     
  8901.00        872.546        3435.41        7.66061        4.32532     
  9001.00        877.600        3434.21        7.65625        4.32217     
  9101.00        882.627        3436.26        7.66042        4.32480     
  9201.00        887.628        3436.66        7.66026        4.32450     
  9301.00        892.602        3437.00        7.65993        4.32411     
  9401.00        897.551        3437.38        7.65969        4.32377     
  9501.00        902.473        3437.72        7.65935        4.32337     
  9601.00        907.370        3438.06        7.65903        4.32299     
  9701.00        912.241        3438.49        7.65892        4.32276     
  9801.00        917.086        3425.01        7.62360        4.29776     
  9901.00        921.905        3435.95        7.64971        4.31620     
  10001.0        926.699        3435.74        7.64801        4.31485     
  10101.0        931.467        3462.36        7.74388        4.35800     
  10201.0        936.211        3461.22        7.73941        4.35492     
  10301.0        940.929        3461.00        7.73780        4.35359     
  10401.0        945.622        3459.90        7.73346        4.35060     
  10501.0        950.290        3460.47        7.73306        4.35091     
  10601.0        954.933        3461.05        7.73353        4.35097     
  10701.0        959.552        3461.57        7.73389        4.35091     
  10801.0        964.146        3457.39        7.72196        4.34222     
  10901.0        968.715        3463.13        7.73592        4.35178     
  11001.0        973.261        3463.93        7.73793        4.35201     
  11101.0        977.781        3464.67        7.73886        4.35237     
  11201.0        982.278        3466.36        7.74155        4.35477     
  11301.0        986.751        3464.84        7.73718        4.35080     
