|6.6.6
mars_bf97_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        301.774        14.2818                 NaN   100.000                 NaN   24.3203                 NaN            NaN            NaN   8.72876        3.39502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        14.2530                 NaN   100.000                 NaN   24.3218                 NaN            NaN            NaN   8.74479        3.41745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        14.2444                 NaN   100.000                 NaN   24.3210                 NaN            NaN            NaN   8.74807        3.42042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        14.2593                 NaN   100.000                 NaN   24.3188                 NaN            NaN            NaN   8.73805        3.40538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        14.2575                 NaN   100.000                 NaN   24.3169                 NaN            NaN            NaN   8.73694        3.40064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        14.2809                 NaN   100.000                 NaN   24.3125                 NaN            NaN            NaN   8.72018        3.37340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        14.2799                 NaN   100.000                 NaN   24.3111                 NaN            NaN            NaN   8.71905        3.37029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        14.2779                 NaN   100.000                 NaN   24.3099                 NaN            NaN            NaN   8.71874        3.36878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        14.2758                 NaN   100.000                 NaN   24.3085                 NaN            NaN            NaN   8.71814        3.36628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        14.2059                 NaN   100.000                 NaN   24.3104                 NaN            NaN            NaN   8.75476        3.41154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        14.1964                 NaN   100.000                 NaN   24.3090                 NaN            NaN            NaN   8.75716        3.41128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        14.1871                 NaN   100.000                 NaN   24.3063                 NaN            NaN            NaN   8.75893        3.41053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        14.1863                 NaN   100.000                 NaN   24.3042                 NaN            NaN            NaN   8.75700        3.40526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        14.1786                 NaN   100.000                 NaN   24.3025                 NaN            NaN            NaN   8.75874        3.40418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        14.1681                 NaN   100.000                 NaN   24.3010                 NaN            NaN            NaN   8.76196        3.40530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        14.1611                 NaN   100.000                 NaN   24.2990                 NaN            NaN            NaN   8.76293        3.40305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        14.1516                 NaN   100.000                 NaN   24.2971                 NaN            NaN            NaN   8.76523        3.40237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        14.2112                 NaN   100.000                 NaN   24.3000                 NaN            NaN            NaN   8.73932        3.38223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        14.1515                 NaN   100.000                 NaN   24.2937                 NaN            NaN            NaN   8.76115        3.39293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        20.5899                 NaN   96.5789                 NaN   30.8383                 NaN            NaN            NaN   15.1892        15.1892        15.1892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        20.5958                 NaN   96.5841                 NaN   30.8515                 NaN            NaN            NaN   15.2072        15.2072        15.2072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        20.6076                 NaN   96.5909                 NaN   30.8651                 NaN            NaN            NaN   15.2225        15.2225        15.2225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        20.6058                 NaN   96.5931                 NaN   30.8734                 NaN            NaN            NaN   15.2366        15.2366        15.2366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        20.6231                 NaN   96.6018                 NaN   30.8895                 NaN            NaN            NaN   15.2532        15.2532        15.2532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        20.6332                 NaN   96.6126                 NaN   30.9215                 NaN            NaN            NaN   15.2994        15.2994        15.2994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        20.6902                 NaN   96.6354                 NaN   30.9568                 NaN            NaN            NaN   15.3259        15.3259        15.3259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        20.6239                 NaN   96.6108                 NaN   30.9175                 NaN            NaN            NaN   15.2966        15.2966        15.2966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        20.6322                 NaN   96.6159                 NaN   30.9280                 NaN            NaN            NaN   15.3087        15.3087        15.3087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        20.6303                 NaN   96.6288                 NaN   30.9811                 NaN            NaN            NaN   15.3956        15.3956        15.3956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        20.8283                 NaN   96.6978                 NaN   31.0676                 NaN            NaN            NaN   15.4284        15.4284        15.4284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        20.6758                 NaN   96.6441                 NaN   30.9939                 NaN            NaN            NaN   15.3881        15.3881        15.3881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        20.7789                 NaN   96.6979                 NaN   31.1120                 NaN            NaN            NaN   15.5259        15.5259        15.5259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        20.6359                 NaN   96.6405                 NaN   31.0132                 NaN            NaN            NaN   15.4397        15.4397        15.4397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        20.8978                 NaN   96.7122                 NaN   31.0484                 NaN            NaN            NaN   15.3594        15.3594        15.3594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
