|6.6.6
mars_bf97_atl_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3425.90        7.74708        4.43969     
  101.000        286.844        3426.02        7.74717        4.43925     
  201.000        290.141        3426.16        7.74731        4.43884     
  301.000        293.432        3426.28        7.74739        4.43839     
  401.000        296.718        3426.39        7.74707        4.43792     
  501.000        299.998        3426.50        7.74705        4.43747     
  601.000        303.272        3426.61        7.74712        4.43701     
  701.000        306.540        3426.72        7.74716        4.43653     
  801.000        309.803        3426.85        7.74723        4.43608     
  901.000        313.060        3426.58        7.74635        4.43492     
  1001.00        316.312        3426.70        7.74624        4.43451     
  1101.00        319.558        3426.69        7.74482        4.43413     
  1201.00        322.798        3426.85        7.74495        4.43373     
  1301.00        326.033        3426.58        7.74398        4.43258     
  1401.00        329.262        3426.69        7.74400        4.43209     
  1501.00        332.485        3426.89        7.74422        4.43177     
  1601.00        335.703        3427.09        7.74443        4.43144     
  1701.00        338.915        3426.71        7.74337        4.43011     
  1801.00        342.121        3427.35        7.74443        4.43049     
  1901.00        345.322        3427.45        7.74445        4.43001     
  2001.00        348.517        3427.49        7.74426        4.42938     
  2101.00        351.707        3455.68        7.83587        4.45431     
  2201.00        354.891        3455.71        7.83546        4.45373     
  2301.00        358.069        3455.80        7.83533        4.45328     
  2401.00        361.242        3455.82        7.83490        4.45267     
  2501.00        364.410        3455.70        7.83429        4.45183     
  2601.00        367.572        3456.07        7.83472        4.45186     
  2701.00        370.728        3456.19        7.83462        4.45145     
  2801.00        373.879        3456.31        7.83451        4.45103     
  2901.00        377.024        3456.43        7.83441        4.45061     
  3001.00        380.163        3456.54        7.83429        4.45019     
  3101.00        383.297        3456.68        7.83423        4.44980     
  3201.00        386.426        3456.80        7.83414        4.44940     
  3301.00        389.549        3457.13        7.83464        4.44935     
  3401.00        392.667        3456.91        7.83352        4.44832     
  3501.00        395.779        3456.93        7.83309        4.44772     
  3601.00        398.885        3456.34        7.83087        4.44601     
  3701.00        401.986        3457.84        7.83488        4.44809     
  3801.00        405.082        3458.01        7.83492        4.44777     
  3901.00        408.172        3458.21        7.83504        4.44749     
  4001.00        411.257        3458.35        7.83495        4.44710     
  4101.00        414.336        3458.15        7.83392        4.44610     
  4201.00        417.410        3458.17        7.83348        4.44549     
  4301.00        420.478        3458.27        7.83335        4.44505     
  4401.00        423.541        3458.93        7.83481        4.44560     
  4501.00        426.599        3494.74        7.94426        4.51185     
  4601.00        429.651        3459.36        7.83513        4.44509     
  4701.00        432.697        3459.65        7.83551        4.44498     
  4801.00        435.739        3459.92        7.83582        4.44482     
  4901.00        438.774        3460.05        7.83573        4.44442     
  5001.00        441.805        3460.07        7.83529        4.44380     
  5101.00        444.830        3460.08        7.83484        4.44319     
  5201.00        447.850        3460.10        7.83439        4.44258     
  5301.00        450.864        3494.79        7.94050        4.50674     
  5401.00        453.873        3494.80        7.94000        4.50610     
  5501.00        456.876        3494.80        7.93951        4.50545     
  5601.00        459.875        3494.81        7.93904        4.50481     
  5701.00        462.867        3494.81        7.93855        4.50417     
  5801.00        465.855        3494.82        7.93806        4.50352     
  5901.00        468.837        3494.83        7.93757        4.50288     
  6001.00        471.814        3494.83        7.93708        4.50223     
  6101.00        474.785        3494.85        7.93675        4.50163     
  6201.00        477.752        3494.86        7.93626        4.50099     
  6301.00        480.712        3494.86        7.93577        4.50034     
  6401.00        483.668        3494.86        7.93518        4.49967     
  6501.00        486.618        3494.87        7.93468        4.49903     
  6601.00        489.563        3494.88        7.93429        4.49842     
  6701.00        492.503        3494.89        7.93380        4.49778     
  6801.00        495.437        3494.90        7.93331        4.49713     
  6901.00        498.367        3494.90        7.93282        4.49649     
  7001.00        501.290        3494.91        7.93233        4.49585     
  7101.00        504.209        3494.91        7.93182        4.49516     
  7201.00        507.122        3494.92        7.93134        4.49452     
  7301.00        510.031        3494.92        7.93085        4.49389     
  7401.00        512.933        3494.93        7.93036        4.49325     
  7501.00        515.831        3494.94        7.92988        4.49261     
  7601.00        518.724        3494.95        7.92939        4.49197     
  7701.00        521.611        3494.95        7.92886        4.49130     
  7801.00        524.493        3494.95        7.92837        4.49067     
  7901.00        527.370        3494.97        7.92792        4.49003     
  8001.00        530.241        3494.97        7.92744        4.48939     
  8101.00        533.108        3494.98        7.92696        4.48876     
  8201.00        535.969        3494.98        7.92642        4.48809     
  8301.00        538.825        3494.99        7.92594        4.48745     
  8401.00        541.676        3495.00        7.92546        4.48682     
  8501.00        544.521        3495.02        7.92505        4.48620     
  8601.00        547.362        3495.03        7.92457        4.48556     
  8701.00        550.197        3495.83        7.92674        4.48638     
  8801.00        553.028        3495.84        7.92627        4.48575     
  8901.00        555.853        3495.85        7.92579        4.48512     
  9001.00        558.673        3496.81        7.92848        4.48620     
  9101.00        561.487        3496.82        7.92802        4.48557     
  9201.00        564.297        3496.83        7.92755        4.48494     
  9301.00        567.102        3514.42        7.98538        4.51525     
  9401.00        569.901        3514.43        7.98493        4.51463     
  9501.00        572.696        3514.44        7.98447        4.51401     
  9601.00        575.485        3514.39        7.98363        4.51294     
  9701.00        578.269        3514.40        7.98317        4.51233     
  9801.00        581.048        3514.47        7.98308        4.51204     
  9901.00        583.822        3514.48        7.98263        4.51142     
  10001.0        586.591        3514.49        7.98218        4.51081     
  10101.0        589.355        3514.10        7.97907        4.50728     
  10201.0        592.114        3514.11        7.97862        4.50667     
  10301.0        594.868        3514.12        7.97818        4.50606     
  10401.0        597.617        3514.13        7.97774        4.50545     
  10501.0        600.360        3514.14        7.97729        4.50484     
  10601.0        603.099        3514.16        7.97685        4.50424     
  10701.0        605.833        3514.17        7.97641        4.50363     
  10801.0        608.561        3514.18        7.97598        4.50303     
  10901.0        611.285        3514.19        7.97554        4.50243     
  11001.0        614.004        3514.20        7.97511        4.50182     
  11101.0        616.717        3514.22        7.97467        4.50122     
  11201.0        619.426        3514.23        7.97424        4.50062     
  11301.0        622.130        3514.24        7.97381        4.50002     
  11401.0        624.828        3514.25        7.97338        4.49942     
  11501.0        627.522        3514.27        7.97296        4.49882     
  11601.0        630.211        3514.28        7.97253        4.49823     
  11701.0        632.895        3514.30        7.97211        4.49763     
  11801.0        635.573        3514.31        7.97169        4.49704     
  11901.0        638.247        3514.33        7.97127        4.49644     
  12001.0        640.916        3514.34        7.97085        4.49585     
  12101.0        643.580        3514.36        7.97043        4.49526     
  12201.0        646.239        3514.37        7.97002        4.49467     
  12301.0        648.893        3514.39        7.96960        4.49408     
  12401.0        651.543        3514.41        7.96919        4.49349     
  12501.0        654.187        3514.37        7.96817        4.49197     
  12601.0        656.826        3514.39        7.96777        4.49139     
  12701.0        659.461        3514.22        7.96619        4.48970     
  12801.0        662.090        3514.24        7.96579        4.48912     
  12901.0        664.715        3514.26        7.96538        4.48854     
  13001.0        667.335        3514.36        7.96544        4.48829     
  13101.0        669.950        3514.38        7.96505        4.48771     
  13201.0        672.560        3514.40        7.96465        4.48713     
  13301.0        675.165        3514.41        7.96412        4.48634     
  13401.0        677.766        3514.43        7.96372        4.48576     
  13501.0        680.361        3514.45        7.96333        4.48518     
  13601.0        682.952        3514.38        7.96240        4.48410     
  13701.0        685.538        3514.44        7.96220        4.48365     
  13801.0        688.119        3514.45        7.96174        4.48299     
  13901.0        690.695        3514.46        7.96127        4.48232     
  14001.0        693.267        3514.46        7.96082        4.48166     
  14101.0        695.833        3514.47        7.96036        4.48100     
  14201.0        698.395        3514.48        7.95990        4.48034     
  14301.0        700.952        3514.49        7.95945        4.47969     
  14401.0        703.504        3514.44        7.95874        4.47897     
  14501.0        706.052        3514.50        7.95851        4.47836     
  14601.0        708.594        3514.53        7.95812        4.47772     
  14701.0        711.132        3514.54        7.95768        4.47707     
  14801.0        713.665        3514.55        7.95724        4.47642     
  14901.0        716.194        3514.59        7.95694        4.47587     
  15001.0        718.717        3514.60        7.95651        4.47522     
  15101.0        721.236        3514.61        7.95602        4.47454     
  15201.0        723.750        3514.62        7.95560        4.47390     
  15301.0        726.259        3514.64        7.95518        4.47327     
  15401.0        728.764        3514.43        7.95375        4.47231     
  15501.0        731.264        3514.43        7.95327        4.47167     
  15601.0        733.759        3514.44        7.95282        4.47101     
  15701.0        736.250        3514.66        7.95329        4.47066     
  15801.0        738.735        3514.67        7.95287        4.47003     
  15901.0        741.216        3514.68        7.95244        4.46940     
  16001.0        743.693        3514.70        7.95202        4.46877     
  16101.0        746.165        3514.79        7.95191        4.46823     
  16201.0        748.632        3514.50        7.95019        4.46729     
  16301.0        751.094        3514.82        7.95110        4.46699     
  16401.0        753.552        3514.84        7.95070        4.46637     
  16501.0        756.005        3514.86        7.95030        4.46575     
  16601.0        758.453        3514.88        7.94990        4.46513     
  16701.0        760.897        3514.90        7.94950        4.46452     
  16801.0        763.336        3514.92        7.94910        4.46390     
  16901.0        765.770        3514.94        7.94871        4.46329     
  17001.0        768.200        3514.96        7.94831        4.46267     
  17101.0        770.625        3514.98        7.94792        4.46206     
  17201.0        773.046        3515.01        7.94754        4.46145     
  17301.0        775.462        3515.03        7.94715        4.46085     
  17401.0        777.873        3514.88        7.94607        4.46013     
  17501.0        780.280        3514.92        7.94573        4.45954     
  17601.0        782.682        3515.09        7.94597        4.45904     
  17701.0        785.079        3515.11        7.94557        4.45844     
  17801.0        787.472        3515.13        7.94518        4.45784     
  17901.0        789.861        3515.19        7.94500        4.45731     
  18001.0        792.244        3515.22        7.94465        4.45672     
  18101.0        794.624        3515.25        7.94431        4.45614     
  18201.0        796.998        3515.28        7.94396        4.45556     
  18301.0        799.369        3515.31        7.94362        4.45498     
  18401.0        801.734        3515.34        7.94328        4.45440     
  18501.0        804.095        3515.38        7.94294        4.45383     
  18601.0        806.452        3515.41        7.94261        4.45325     
  18701.0        808.804        3515.44        7.94227        4.45268     
  18801.0        811.151        3515.47        7.94194        4.45211     
  18901.0        813.494        3515.51        7.94161        4.45154     
  19001.0        815.833        3515.54        7.94129        4.45097     
  19101.0        818.167        3515.57        7.94096        4.45040     
  19201.0        820.496        3515.61        7.94064        4.44983     
  19301.0        822.821        3515.64        7.94031        4.44926     
  19401.0        825.141        3515.67        7.93998        4.44869     
  19501.0        827.457        3515.71        7.93965        4.44813     
  19601.0        829.769        3515.74        7.93932        4.44756     
  19701.0        832.076        3515.77        7.93899        4.44700     
  19801.0        834.378        3515.82        7.93870        4.44644     
  19901.0        836.677        3515.85        7.93839        4.44588     
  20001.0        838.970        3515.89        7.93807        4.44532     
  20101.0        841.260        3515.92        7.93775        4.44477     
  20201.0        843.544        3515.96        7.93743        4.44422     
  20301.0        845.825        3515.99        7.93712        4.44366     
  20401.0        848.101        3516.03        7.93680        4.44311     
  20501.0        850.372        3516.06        7.93649        4.44256     
  20601.0        852.639        3516.10        7.93618        4.44202     
  20701.0        854.902        3516.14        7.93588        4.44147     
  20801.0        857.160        3516.17        7.93557        4.44092     
  20901.0        859.414        3516.21        7.93527        4.44038     
  21001.0        861.664        3516.25        7.93497        4.43984     
  21101.0        863.909        3516.29        7.93467        4.43930     
  21201.0        866.149        3516.33        7.93437        4.43876     
  21301.0        868.386        3516.36        7.93408        4.43822     
  21401.0        870.618        3516.40        7.93379        4.43768     
  21501.0        872.845        3516.44        7.93350        4.43715     
  21601.0        875.069        3516.49        7.93321        4.43661     
  21701.0        877.288        3516.58        7.93317        4.43616     
  21801.0        879.502        3516.62        7.93290        4.43563     
  21901.0        881.712        3516.67        7.93263        4.43511     
  22001.0        883.918        3516.71        7.93236        4.43458     
  22101.0        886.120        3516.76        7.93210        4.43406     
  22201.0        888.317        3516.80        7.93183        4.43353     
  22301.0        890.510        3516.85        7.93157        4.43301     
  22401.0        892.699        3516.90        7.93131        4.43249     
  22501.0        894.883        3516.94        7.93106        4.43198     
  22601.0        897.063        3516.99        7.93080        4.43146     
  22701.0        899.239        3517.04        7.93055        4.43094     
  22801.0        901.410        3517.08        7.93029        4.43043     
  22901.0        903.578        3517.13        7.93003        4.42992     
  23001.0        905.741        3517.17        7.92976        4.42941     
  23101.0        907.899        3517.22        7.92951        4.42890     
  23201.0        910.054        3517.27        7.92925        4.42839     
  23301.0        912.204        3517.31        7.92899        4.42788     
  23401.0        914.350        3517.36        7.92874        4.42737     
  23501.0        916.491        3517.41        7.92849        4.42687     
  23601.0        918.629        3517.46        7.92825        4.42636     
  23701.0        920.762        3517.57        7.92831        4.42597     
  23801.0        922.891        3517.63        7.92810        4.42548     
  23901.0        925.016        3517.68        7.92789        4.42499     
  24001.0        927.136        3517.74        7.92768        4.42450     
  24101.0        929.252        3517.80        7.92748        4.42402     
  24201.0        931.364        3517.85        7.92728        4.42353     
  24301.0        933.472        3517.91        7.92708        4.42305     
  24401.0        935.576        3517.97        7.92688        4.42257     
  24501.0        937.676        3518.03        7.92668        4.42209     
  24601.0        939.771        3518.09        7.92649        4.42161     
  24701.0        941.862        3518.15        7.92630        4.42113     
  24801.0        943.949        3518.21        7.92611        4.42065     
  24901.0        946.032        3518.27        7.92592        4.42018     
  25001.0        948.111        3518.33        7.92574        4.41971     
  25101.0        950.185        3518.39        7.92555        4.41924     
  25201.0        952.255        3518.45        7.92537        4.41876     
  25301.0        954.322        3518.51        7.92519        4.41830     
  25401.0        956.384        3518.58        7.92502        4.41783     
  25501.0        958.442        3518.64        7.92484        4.41736     
  25601.0        960.496        3518.70        7.92467        4.41690     
  25701.0        962.545        3518.77        7.92451        4.41645     
  25801.0        964.591        3518.84        7.92437        4.41602     
  25901.0        966.633        3518.89        7.92413        4.41550     
  26001.0        968.670        3518.95        7.92395        4.41504     
  26101.0        970.703        3519.01        7.92377        4.41458     
  26201.0        972.733        3519.07        7.92359        4.41412     
  26301.0        974.758        3519.13        7.92342        4.41366     
  26401.0        976.779        3519.19        7.92325        4.41320     
  26501.0        978.796        3519.26        7.92308        4.41275     
  26601.0        980.809        3519.32        7.92291        4.41229     
  26701.0        982.818        3519.39        7.92274        4.41184     
  26801.0        984.822        3519.45        7.92258        4.41139     
  26901.0        986.823        3519.52        7.92242        4.41093     
  27001.0        988.820        3519.58        7.92226        4.41049     
  27101.0        990.813        3519.65        7.92211        4.41004     
  27201.0        992.801        3519.71        7.92195        4.40959     
  27301.0        994.786        3519.78        7.92180        4.40915     
  27401.0        996.766        3519.85        7.92165        4.40870     
  27501.0        998.743        3519.91        7.92150        4.40826     
  27601.0        1000.72        3519.98        7.92136        4.40782     
  27701.0        1002.68        3520.05        7.92121        4.40738     
  27801.0        1004.65        3520.16        7.92128        4.40701     
  27901.0        1006.61        3520.24        7.92115        4.40658     
  28001.0        1008.57        3520.31        7.92103        4.40614     
  28101.0        1010.52        3520.38        7.92090        4.40571     
  28201.0        1012.47        3520.45        7.92078        4.40528     
  28301.0        1014.41        3520.53        7.92066        4.40486     
  28401.0        1016.35        3520.60        7.92054        4.40443     
  28501.0        1018.29        3520.67        7.92042        4.40400     
  28601.0        1020.22        3520.75        7.92031        4.40358     
  28701.0        1022.15        3520.82        7.92019        4.40316     
  28801.0        1024.08        3520.90        7.92009        4.40274     
  28901.0        1026.00        3520.97        7.91999        4.40232     
  29001.0        1027.91        3521.05        7.91990        4.40191     
  29101.0        1029.83        3521.13        7.91981        4.40150     
  29201.0        1031.74        3521.21        7.91972        4.40109     
  29301.0        1033.64        3521.29        7.91963        4.40068     
  29401.0        1035.54        3521.37        7.91955        4.40028     
  29501.0        1037.44        3521.45        7.91946        4.39987     
  29601.0        1039.33        3521.53        7.91938        4.39947     
  29701.0        1041.22        3521.61        7.91930        4.39906     
  29801.0        1043.11        3521.69        7.91922        4.39866     
  29901.0        1044.99        3521.77        7.91915        4.39826     
  30001.0        1046.87        3521.86        7.91908        4.39786     
  30101.0        1048.74        3521.65        7.91766        4.39698     
  30201.0        1050.61        3521.73        7.91759        4.39658     
  30301.0        1052.48        3521.82        7.91752        4.39619     
  30401.0        1054.34        3521.90        7.91746        4.39580     
  30501.0        1056.20        3521.99        7.91740        4.39540     
  30601.0        1058.06        3521.51        7.91474        4.39413     
  30701.0        1059.91        3521.61        7.91474        4.39376     
  30801.0        1061.75        3521.71        7.91474        4.39339     
  30901.0        1063.60        3521.81        7.91474        4.39302     
  31001.0        1065.44        3521.90        7.91475        4.39265     
  31101.0        1067.27        3522.00        7.91475        4.39229     
  31201.0        1069.11        3522.10        7.91476        4.39192     
  31301.0        1070.93        3522.20        7.91477        4.39156     
  31401.0        1072.76        3522.30        7.91478        4.39120     
  31501.0        1074.58        3522.40        7.91480        4.39084     
  31601.0        1076.40        3522.50        7.91481        4.39048     
  31701.0        1078.21        3523.01        7.91665        4.39072     
  31801.0        1080.02        3523.11        7.91664        4.39035     
  31901.0        1081.82        3523.19        7.91661        4.39000     
  32001.0        1083.62        3523.28        7.91660        4.38964     
  32101.0        1085.42        3523.69        7.91809        4.38981     
  32201.0        1087.22        3523.78        7.91807        4.38946     
  32301.0        1089.01        3522.81        7.91299        4.38724     
  32401.0        1090.79        3522.91        7.91302        4.38690     
  32501.0        1092.58        3523.73        7.91649        4.38782     
  32601.0        1094.36        3523.83        7.91648        4.38746     
  32701.0        1096.13        3523.92        7.91648        4.38710     
  32801.0        1097.90        3524.02        7.91648        4.38674     
  32901.0        1099.67        3524.11        7.91647        4.38638     
  33001.0        1101.44        3524.06        7.91573        4.38576     
  33101.0        1103.20        3524.12        7.91565        4.38540     
  33201.0        1104.95        3524.22        7.91566        4.38505     
  33301.0        1106.71        3524.32        7.91567        4.38470     
  33401.0        1108.46        3524.42        7.91568        4.38435     
  33501.0        1110.20        3524.52        7.91570        4.38400     
  33601.0        1111.94        3524.62        7.91571        4.38365     
  33701.0        1113.68        3524.72        7.91573        4.38331     
  33801.0        1115.42        3524.82        7.91575        4.38297     
  33901.0        1117.15        3524.92        7.91577        4.38262     
  34001.0        1118.88        3525.02        7.91580        4.38228     
  34101.0        1120.60        3525.57        7.91789        4.38268     
  34201.0        1122.32        3525.67        7.91791        4.38234     
  34301.0        1124.04        3525.77        7.91792        4.38200     
  34401.0        1125.75        3525.75        7.91739        4.38144     
  34501.0        1127.46        3525.86        7.91746        4.38111     
  34601.0        1129.16        3525.97        7.91752        4.38079     
  34701.0        1130.87        3526.08        7.91757        4.38046     
  34801.0        1132.56        3526.18        7.91763        4.38013     
  34901.0        1134.26        3526.29        7.91769        4.37981     
  35001.0        1135.95        3526.40        7.91775        4.37949     
  35101.0        1137.64        3526.51        7.91782        4.37917     
  35201.0        1139.32        3526.62        7.91788        4.37885     
  35301.0        1141.00        3526.73        7.91795        4.37853     
  35401.0        1142.68        3526.79        7.91779        4.37815     
  35501.0        1144.35        3526.03        7.91386        4.37643     
  35601.0        1146.02        3526.14        7.91395        4.37612     
  35701.0        1147.69        3527.17        7.91820        4.37725     
  35801.0        1149.35        3527.27        7.91823        4.37692     
  35901.0        1151.01        3527.37        7.91826        4.37660     
  36001.0        1152.67        3527.47        7.91830        4.37627     
  36101.0        1154.32        3527.58        7.91833        4.37595     
  36201.0        1155.97        3527.68        7.91837        4.37563     
  36301.0        1157.61        3527.78        7.91842        4.37530     
  36401.0        1159.25        3527.89        7.91846        4.37499     
  36501.0        1160.89        3527.99        7.91850        4.37467     
  36601.0        1162.52        3528.09        7.91855        4.37435     
  36701.0        1164.15        3528.25        7.91882        4.37411     
  36801.0        1165.78        3528.36        7.91889        4.37381     
  36901.0        1167.41        3528.47        7.91896        4.37350     
  37001.0        1169.03        3528.58        7.91904        4.37319     
  37101.0        1170.64        3528.69        7.91911        4.37289     
  37201.0        1172.26        3528.80        7.91919        4.37259     
  37301.0        1173.87        3528.91        7.91927        4.37229     
  37401.0        1175.47        3529.02        7.91935        4.37199     
  37501.0        1177.07        3529.13        7.91944        4.37169     
  37601.0        1178.67        3529.25        7.91952        4.37139     
  37701.0        1180.27        3529.36        7.91961        4.37109     
  37801.0        1181.86        3529.47        7.91970        4.37080     
  37901.0        1183.45        3529.59        7.91979        4.37050     
  38001.0        1185.04        3529.70        7.91988        4.37021     
  38101.0        1186.62        3529.82        7.91998        4.36992     
  38201.0        1188.20        3529.93        7.92007        4.36963     
  38301.0        1189.77        3530.04        7.92017        4.36934     
  38401.0        1191.34        3530.16        7.92027        4.36905     
  38501.0        1192.91        3529.70        7.91752        4.36770     
  38601.0        1194.48        3529.82        7.91765        4.36742     
  38701.0        1196.04        3529.94        7.91778        4.36715     
  38801.0        1197.60        3530.07        7.91792        4.36687     
  38901.0        1199.15        3530.74        7.92077        4.36761     
  39001.0        1200.70        3530.86        7.92088        4.36733     
  39101.0        1202.25        3530.97        7.92099        4.36705     
  39201.0        1203.80        3531.09        7.92110        4.36677     
  39301.0        1205.34        3531.16        7.92109        4.36647     
  39401.0        1206.87        3531.28        7.92121        4.36619     
  39501.0        1208.41        3531.43        7.92138        4.36591     
  39601.0        1209.94        3531.55        7.92151        4.36564     
  39701.0        1211.47        3531.67        7.92164        4.36537     
  39801.0        1212.99        3531.80        7.92177        4.36510     
  39901.0        1214.51        3531.92        7.92190        4.36483     
  40001.0        1216.03        3532.04        7.92204        4.36457     
  40101.0        1217.54        3532.16        7.92218        4.36430     
  40201.0        1219.06        3532.29        7.92232        4.36404     
  40301.0        1220.56        3532.41        7.92245        4.36377     
  40401.0        1222.07        3532.53        7.92260        4.36351     
  40501.0        1223.57        3532.66        7.92274        4.36325     
  40601.0        1225.07        3532.78        7.92288        4.36299     
  40701.0        1226.56        3532.91        7.92303        4.36273     
  40801.0        1228.05        3533.03        7.92318        4.36248     
  40901.0        1229.54        3533.15        7.92333        4.36222     
  41001.0        1231.02        3533.28        7.92348        4.36196     
  41101.0        1232.51        3533.41        7.92363        4.36171     
  41201.0        1233.98        3533.53        7.92379        4.36146     
  41301.0        1235.46        3533.51        7.92318        4.36092     
  41401.0        1236.93        3533.64        7.92334        4.36067     
  41501.0        1238.40        3533.77        7.92352        4.36042     
  41601.0        1239.86        3534.03        7.92439        4.36044     
  41701.0        1241.32        3534.16        7.92455        4.36019     
  41801.0        1242.78        3533.95        7.92313        4.35936     
  41901.0        1244.24        3534.08        7.92331        4.35912     
  42001.0        1245.69        3534.22        7.92350        4.35888     
  42101.0        1247.14        3534.17        7.92296        4.35838     
  42201.0        1248.58        3534.32        7.92322        4.35818     
  42301.0        1250.02        3534.37        7.92300        4.35779     
  42401.0        1251.46        3534.51        7.92321        4.35756     
  42501.0        1252.90        3534.65        7.92342        4.35733     
  42601.0        1254.33        3534.78        7.92362        4.35710     
  42701.0        1255.76        3534.92        7.92383        4.35688     
  42801.0        1257.19        3535.06        7.92405        4.35665     
  42901.0        1258.61        3535.20        7.92426        4.35643     
  43001.0        1260.03        3535.33        7.92447        4.35621     
  43101.0        1261.45        3535.47        7.92469        4.35599     
  43201.0        1262.86        3535.61        7.92491        4.35577     
  43301.0        1264.27        3535.75        7.92513        4.35555     
  43401.0        1265.68        3535.62        7.92420        4.35491     
  43501.0        1267.08        3535.76        7.92443        4.35470     
  43601.0        1268.48        3535.90        7.92467        4.35449     
  43701.0        1269.88        3536.05        7.92491        4.35428     
  43801.0        1271.27        3536.19        7.92515        4.35407     
  43901.0        1272.66        3536.33        7.92540        4.35386     
  44001.0        1274.05        3536.95        7.92758        4.35435     
  44101.0        1275.44        3537.09        7.92780        4.35413     
  44201.0        1276.82        3537.22        7.92802        4.35392     
  44301.0        1278.20        3537.36        7.92825        4.35371     
  44401.0        1279.57        3537.50        7.92847        4.35350     
  44501.0        1280.94        3537.53        7.92805        4.35304     
  44601.0        1282.31        3537.67        7.92828        4.35283     
  44701.0        1283.68        3537.81        7.92851        4.35263     
  44801.0        1285.04        3537.95        7.92874        4.35242     
  44901.0        1286.40        3538.09        7.92898        4.35221     
  45001.0        1287.76        3538.23        7.92921        4.35201     
  45101.0        1289.11        3538.37        7.92945        4.35181     
  45201.0        1290.46        3538.52        7.92969        4.35160     
  45301.0        1291.81        3538.66        7.93012        4.35149     
  45401.0        1293.16        3538.75        7.93026        4.35126     
  45501.0        1294.50        3538.89        7.93050        4.35106     
  45601.0        1295.83        3539.04        7.93074        4.35086     
  45701.0        1297.17        3539.18        7.93098        4.35066     
  45801.0        1298.50        3539.32        7.93122        4.35046     
  45901.0        1299.83        3539.47        7.93146        4.35026     
  46001.0        1301.16        3539.61        7.93171        4.35007     
  46101.0        1302.48        3539.76        7.93196        4.34987     
  46201.0        1303.80        3539.90        7.93220        4.34968     
  46301.0        1305.12        3540.38        7.93390        4.35004     
  46401.0        1306.43        3540.52        7.93414        4.34984     
  46501.0        1307.74        3540.66        7.93438        4.34965     
  46601.0        1309.05        3540.81        7.93462        4.34945     
  46701.0        1310.36        3540.95        7.93487        4.34926     
  46801.0        1311.66        3541.09        7.93511        4.34907     
  46901.0        1312.96        3540.76        7.93323        4.34806     
  47001.0        1314.25        3540.91        7.93350        4.34788     
  47101.0        1315.54        3541.06        7.93378        4.34770     
  47201.0        1316.83        3541.21        7.93405        4.34752     
  47301.0        1318.12        3541.36        7.93433        4.34734     
  47401.0        1319.41        3541.51        7.93461        4.34717     
  47501.0        1320.69        3541.66        7.93489        4.34699     
  47601.0        1321.96        3541.81        7.93517        4.34682     
  47701.0        1323.24        3542.17        7.93630        4.34696     
  47801.0        1324.51        3542.32        7.93658        4.34678     
  47901.0        1325.78        3542.47        7.93685        4.34661     
  48001.0        1327.05        3542.61        7.93714        4.34645     
  48101.0        1328.31        3542.76        7.93742        4.34627     
