|6.6.6
mars_bf97_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        283.541        14.2822                 NaN   100.000                 NaN   24.3197                 NaN            NaN            NaN   8.72770        3.39816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        14.2739                 NaN   100.000                 NaN   24.3182                 NaN            NaN            NaN   8.73009        3.40012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        14.2639                 NaN   100.000                 NaN   24.3167                 NaN            NaN            NaN   8.73327        3.40283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        14.2556                 NaN   100.000                 NaN   24.3152                 NaN            NaN            NaN   8.73563        3.40468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        14.2486                 NaN   100.000                 NaN   24.3143                 NaN            NaN            NaN   8.73795        3.40680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        14.2403                 NaN   100.000                 NaN   24.3130                 NaN            NaN            NaN   8.74033        3.40853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        14.2317                 NaN   100.000                 NaN   24.3115                 NaN            NaN            NaN   8.74273        3.41028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        14.2241                 NaN   100.000                 NaN   24.3100                 NaN            NaN            NaN   8.74484        3.41210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        14.2149                 NaN   100.000                 NaN   24.3086                 NaN            NaN            NaN   8.74764        3.41442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        14.2428                 NaN   100.000                 NaN   24.3082                 NaN            NaN            NaN   8.73350        3.40090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        14.2317                 NaN   100.000                 NaN   24.3070                 NaN            NaN            NaN   8.73700        3.40377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        14.2225                 NaN   100.000                 NaN   24.3047                 NaN            NaN            NaN   8.73938        3.40624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        14.2100                 NaN   100.000                 NaN   24.3032                 NaN            NaN            NaN   8.74377        3.41020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        14.2394                 NaN   100.000                 NaN   24.3036                 NaN            NaN            NaN   8.73017        3.39917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        14.2304                 NaN   100.000                 NaN   24.3018                 NaN            NaN            NaN   8.73250        3.40031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        14.2139                 NaN   100.000                 NaN   24.3004                 NaN            NaN            NaN   8.73888        3.40649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        14.1974                 NaN   100.000                 NaN   24.2989                 NaN            NaN            NaN   8.74522        3.41262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        14.2297                 NaN   100.000                 NaN   24.2983                 NaN            NaN            NaN   8.72715        3.39142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        14.1848                 NaN   100.000                 NaN   24.2990                 NaN            NaN            NaN   8.75228        3.42686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        14.1736                 NaN   100.000                 NaN   24.2965                 NaN            NaN            NaN   8.75459        3.42574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        14.1726                 NaN   100.000                 NaN   24.2956                 NaN            NaN            NaN   8.75404        3.42576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        20.5371                 NaN   96.5450                 NaN   30.7750                 NaN            NaN            NaN   15.1261        15.1261        15.1261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        20.5364                 NaN   96.5450                 NaN   30.7743                 NaN            NaN            NaN   15.1259        15.1259        15.1259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        358.069        20.5329                 NaN   96.5455                 NaN   30.7768                 NaN            NaN            NaN   15.1317        15.1317        15.1317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        361.242        20.5329                 NaN   96.5456                 NaN   30.7762                 NaN            NaN            NaN   15.1311        15.1311        15.1311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        364.410        20.5754                 NaN   96.5634                 NaN   30.8099                 NaN            NaN            NaN   15.1597        15.1597        15.1597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        20.5216                 NaN   96.5454                 NaN   30.7823                 NaN            NaN            NaN   15.1477        15.1477        15.1477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        20.5162                 NaN   96.5454                 NaN   30.7855                 NaN            NaN            NaN   15.1560        15.1560        15.1560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        20.5108                 NaN   96.5453                 NaN   30.7888                 NaN            NaN            NaN   15.1643        15.1643        15.1643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        20.5057                 NaN   96.5454                 NaN   30.7921                 NaN            NaN            NaN   15.1727        15.1727        15.1727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        20.5006                 NaN   96.5455                 NaN   30.7954                 NaN            NaN            NaN   15.1811        15.1811        15.1811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        20.4940                 NaN   96.5452                 NaN   30.7989                 NaN            NaN            NaN   15.1906        15.1906        15.1906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        20.4883                 NaN   96.5451                 NaN   30.8024                 NaN            NaN            NaN   15.1995        15.1995        15.1995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        20.4735                 NaN   96.5450                 NaN   30.8151                 NaN            NaN            NaN   15.2280        15.2280        15.2280                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667        20.4843                 NaN   96.5455                 NaN   30.8045                 NaN            NaN            NaN   15.2054        15.2054        15.2054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779        20.4837                 NaN   96.5455                 NaN   30.8039                 NaN            NaN            NaN   15.2051        15.2051        15.2051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885        20.5174                 NaN   96.5488                 NaN   30.7840                 NaN            NaN            NaN   15.1549        15.1549        15.1549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        20.4409                 NaN   96.5445                 NaN   30.8385                 NaN            NaN            NaN   15.2846        15.2846        15.2846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        20.4329                 NaN   96.5443                 NaN   30.8440                 NaN            NaN            NaN   15.2984        15.2984        15.2984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        20.4240                 NaN   96.5443                 NaN   30.8511                 NaN            NaN            NaN   15.3151        15.3151        15.3151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        20.4167                 NaN   96.5436                 NaN   30.8543                 NaN            NaN            NaN   15.3248        15.3248        15.3248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        20.4266                 NaN   96.5446                 NaN   30.8452                 NaN            NaN            NaN   15.3037        15.3037        15.3037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        20.4259                 NaN   96.5445                 NaN   30.8446                 NaN            NaN            NaN   15.3035        15.3035        15.3035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        20.4225                 NaN   96.5453                 NaN   30.8492                 NaN            NaN            NaN   15.3124        15.3124        15.3124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
