|6.6.6
mars_bf97_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3423.79        7.73729        4.43340     
  101.000        313.918        3424.17        7.73762        4.43321     
  201.000        318.476        3424.13        7.73705        4.43233     
  301.000        323.023        3423.66        7.73558        4.43075     
  401.000        327.558        3423.51        7.73437        4.42967     
  501.000        332.082        3423.40        7.73360        4.42870     
  601.000        336.594        3423.22        7.73267        4.42756     
  701.000        341.095        3423.13        7.73196        4.42657     
  801.000        345.584        3423.06        7.73128        4.42562     
  901.000        350.061        3423.01        7.73065        4.42471     
  1001.00        354.527        3422.92        7.72975        4.42376     
  1101.00        358.982        3422.72        7.72760        4.42289     
  1201.00        363.425        3422.82        7.72740        4.42227     
  1301.00        367.856        3423.50        7.72825        4.42259     
  1401.00        372.276        3423.48        7.72767        4.42172     
  1501.00        376.685        3423.45        7.72708        4.42084     
  1601.00        381.083        3423.42        7.72647        4.41996     
  1701.00        385.469        3423.33        7.72569        4.41895     
  1801.00        389.844        3423.27        7.72504        4.41802     
  1901.00        394.207        3423.18        7.72427        4.41703     
  2001.00        398.559        3423.10        7.72350        4.41603     
  2101.00        402.900        3451.61        7.81555        4.44091     
  2201.00        407.230        3451.57        7.81478        4.44004     
  2301.00        411.548        3451.51        7.81399        4.43917     
  2401.00        415.856        3451.42        7.81300        4.43821     
  2501.00        420.152        3451.44        7.81237        4.43744     
  2601.00        424.437        3451.48        7.81181        4.43673     
  2701.00        428.711        3451.53        7.81128        4.43603     
  2801.00        432.973        3451.54        7.81064        4.43527     
  2901.00        437.225        3451.57        7.81004        4.43452     
  3001.00        441.466        3451.61        7.80945        4.43379     
  3101.00        445.695        3451.63        7.80884        4.43305     
  3201.00        449.914        3451.66        7.80824        4.43231     
  3301.00        454.121        3451.59        7.80737        4.43140     
  3401.00        458.318        3451.82        7.80735        4.43101     
  3501.00        462.503        3451.90        7.80689        4.43036     
  3601.00        466.678        3452.15        7.80696        4.43002     
  3701.00        470.842        3452.10        7.80609        4.42913     
  3801.00        474.994        3452.11        7.80560        4.42835     
  3901.00        479.136        3452.21        7.80508        4.42775     
