|6.6.6
mars_bf97_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            NaAl           ca-pv          Pv            
  1.00000        309.347        14.2823                 NaN   100.000                 NaN   24.3207                 NaN            NaN            NaN   8.72902        3.39375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        14.2492                 NaN   100.000                 NaN   24.3228                 NaN            NaN            NaN   8.74787        3.42178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        14.2441                 NaN   100.000                 NaN   24.3210                 NaN            NaN            NaN   8.74823        3.42031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        14.2682                 NaN   100.000                 NaN   24.3159                 NaN            NaN            NaN   8.73034        3.39135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        14.2756                 NaN   100.000                 NaN   24.3162                 NaN            NaN            NaN   8.72720        3.39006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        14.2711                 NaN   100.000                 NaN   24.3127                 NaN            NaN            NaN   8.72515        3.38190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        14.2790                 NaN   100.000                 NaN   24.3112                 NaN            NaN            NaN   8.71967        3.37510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        14.2781                 NaN   100.000                 NaN   24.3098                 NaN            NaN            NaN   8.71839        3.37273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        14.2760                 NaN   100.000                 NaN   24.3086                 NaN            NaN            NaN   8.71806        3.37199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        14.2720                 NaN   100.000                 NaN   24.3075                 NaN            NaN            NaN   8.71872        3.37253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        14.2694                 NaN   100.000                 NaN   24.3065                 NaN            NaN            NaN   8.71832        3.37134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        14.2661                 NaN   100.000                 NaN   24.3042                 NaN            NaN            NaN   8.71785        3.37040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        14.2428                 NaN   100.000                 NaN   24.3025                 NaN            NaN            NaN   8.72570        3.37434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        14.1834                 NaN   100.000                 NaN   24.3039                 NaN            NaN            NaN   8.75828        3.41785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        14.1753                 NaN   100.000                 NaN   24.3022                 NaN            NaN            NaN   8.76026        3.41839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
