|6.6.6
mars_kc08_1.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3311.47        7.26374        4.13658     
  101.000        1240.92        3311.98        7.26484        4.13708     
  201.000        1241.73        3312.50        7.26595        4.13757     
  301.000        1242.53        3313.01        7.26705        4.13807     
  401.000        1243.34        3313.53        7.26815        4.13857     
  501.000        1244.15        3314.04        7.26925        4.13907     
  601.000        1244.96        3314.56        7.27036        4.13957     
  701.000        1245.77        3315.01        7.27008        4.14010     
  801.000        1246.58        3315.52        7.27111        4.14060     
  901.000        1247.38        3315.93        7.27097        4.14116     
  1001.00        1248.19        3316.45        7.27207        4.14166     
  1101.00        1249.00        3316.96        7.27316        4.14216     
  1201.00        1249.81        3317.48        7.27426        4.14266     
  1301.00        1250.62        3317.99        7.27536        4.14316     
  1401.00        1251.42        3318.51        7.27645        4.14366     
  1501.00        1252.23        3319.02        7.27755        4.14416     
  1601.00        1253.04        3319.53        7.27864        4.14466     
  1701.00        1253.85        3320.05        7.27974        4.14516     
  1801.00        1254.66        3320.56        7.28083        4.14566     
  1901.00        1255.46        3321.07        7.28192        4.14616     
  2001.00        1256.27        3321.59        7.28301        4.14666     
  2101.00        1257.08        3322.10        7.28410        4.14716     
  2201.00        1257.89        3322.61        7.28519        4.14766     
  2301.00        1258.69        3323.13        7.28628        4.14816     
  2401.00        1259.50        3323.64        7.28737        4.14866     
  2501.00        1260.31        3324.15        7.28846        4.14916     
  2601.00        1261.12        3324.66        7.28955        4.14967     
  2701.00        1261.92        3325.18        7.29064        4.15017     
  2801.00        1262.73        3325.69        7.29172        4.15067     
  2901.00        1263.54        3326.95        7.29366        4.15254     
  3001.00        1264.35        3327.36        7.29463        4.15285     
  3101.00        1265.15        3327.77        7.29559        4.15316     
  3201.00        1265.96        3328.17        7.29655        4.15347     
  3301.00        1266.77        3328.58        7.29752        4.15378     
