|6.6.6
mars_kc08_2.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           O              Opx            Cpx            an             Sp             Gt             Wad            Ring           Pv             ca-pv          Wus           
  1.00000        1240.11        58.6764        30.9378        3.04125        7.34455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        58.6615        30.9654        3.07430        7.29878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        58.6465        30.9931        3.10735        7.25300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        58.6315        31.0208        3.14041        7.20723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        58.6165        31.0486        3.17347        7.16145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        58.6015        31.0763        3.20654        7.11567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        58.5865        31.1040        3.23962        7.06988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        58.5704        31.1326        3.27264        7.02431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        58.5553        31.1603        3.30588        6.97850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        58.5415        31.1871        3.33888        6.93250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        58.5265        31.2148        3.37197        6.88671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        58.5114        31.2426        3.40508        6.84090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        58.4964        31.2703        3.43818        6.79510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        58.4814        31.2980        3.47130        6.74929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        58.4663        31.3258        3.50442        6.70348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        58.4513        31.3535        3.53754        6.65766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        58.4362        31.3813        3.57067        6.61185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        58.4212        31.4090        3.60381        6.56602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        58.4061        31.4368        3.63695        6.52020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        58.3910        31.4645        3.67009        6.47437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        58.3759        31.4923        3.70324        6.42854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        58.3608        31.5201        3.73640        6.38271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        58.3457        31.5478        3.76956        6.33687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        58.3307        31.5756        3.80273        6.29103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        58.3155        31.6034        3.83590        6.24518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        58.3004        31.6311        3.86908        6.19933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        58.2853        31.6589        3.90227        6.15348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        58.2702        31.6867        3.93546        6.10763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        58.2551        31.7145        3.96865        6.06177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        58.1939        31.8203        4.10118        5.88462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        58.1853        31.8371        4.12031        5.85736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        58.1766        31.8538        4.13945        5.83010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        58.1680        31.8706        4.15859        5.80283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        58.1594        31.8873        4.17773        5.77557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        58.1508        31.9040        4.19688        5.74830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        58.1421        31.9208        4.21603        5.72103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        58.1335        31.9375        4.23518        5.69376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        57.6849        32.7365        5.17004        4.40852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        57.6857        32.7359        5.17007        4.40834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        57.6865        32.7353        5.17009        4.40817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        57.6872        32.7347        5.17011        4.40799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        57.9608        32.2404        4.60987        5.18892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        57.9260        32.3015        4.68550        5.08706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        57.8911        32.3626        4.76115        4.98519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        57.8562        32.4237        4.83682        4.88329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        57.8212        32.4849        4.91252        4.78137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        57.7863        32.5460        4.98823        4.67943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        57.7514        32.6072        5.06397        4.57746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        57.6933        32.7298        5.17030        4.40662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        57.6940        32.7292        5.17033        4.40645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        57.6948        32.7286        5.17035        4.40627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        57.7586        32.6032        5.05016        4.58804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        57.7335        32.6477        5.10472        4.51408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        57.7084        32.6922        5.15929        4.44010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        57.6832        32.7368        5.21387        4.36612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        57.6581        32.7814        5.26846        4.29213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        57.6329        32.8259        5.32306        4.21812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        57.6077        32.8705        5.37767        4.14411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        57.5825        32.9151        5.43230        4.07009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        57.5573        32.9597        5.48694        3.99605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        57.5321        33.0043        5.54158        3.92201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        57.4662        33.1177        5.68398        3.73213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        57.4461        33.1537        5.72758        3.67268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        57.4260        33.1896        5.77120        3.61323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        57.4059        33.2255        5.81482        3.55377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        57.3858        33.2615        5.85845        3.49431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        57.3657        33.2974        5.90208        3.43483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        57.3456        33.3334        5.94573        3.37535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        57.3254        33.3693        5.98939        3.31586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        57.3053        33.4053        6.03305        3.25637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        1296.56        57.2852        33.4413        6.07673        3.19686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        1297.37        57.2650        33.4772        6.12041        3.13735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        1298.17        57.2448        33.5132        6.16411        3.07783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        1298.97        57.2247        33.5492        6.20781        3.01831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        1299.78        57.2045        33.5852        6.25152        2.95877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        1300.58        57.2812        33.4578        6.08704        3.17397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        1301.38        57.2421        33.5257        6.17132        3.06090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        1302.19        57.2031        33.5935        6.25563        2.94780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        1302.99        57.1640        33.6614        6.33998        2.83466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        1303.79        57.1249        33.7293        6.42436        2.72149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        1304.59        57.0857        33.7972        6.50877        2.60828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        1305.40        57.0813        33.8054        6.51959        2.59371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        1306.20        57.0820        33.8047        6.51961        2.59362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        1307.00        57.0827        33.8041        6.51964        2.59352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        1307.80        57.0834        33.8035        6.51966        2.59342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        1308.61        55.3175        35.5263        8.38134                 NaN  0.774848                 NaN            NaN            NaN            NaN            NaN            NaN
