|6.6.6
mars_kc08_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3415.48        7.77792        4.51415     
  101.000        309.688        3415.13        7.77600        4.51233     
  201.000        317.564        3414.79        7.77404        4.51049     
  301.000        325.401        3414.42        7.77207        4.50863     
  401.000        333.201        3414.05        7.76942        4.50677     
  501.000        340.963        3413.69        7.76738        4.50488     
  601.000        348.688        3413.31        7.76533        4.50297     
  701.000        356.375        3412.94        7.76324        4.50106     
  801.000        364.025        3412.57        7.76114        4.49913     
  901.000        371.637        3412.20        7.75900        4.49721     
  1001.00        379.213        3411.80        7.75668        4.49528     
  1101.00        386.752        3411.29        7.75305        4.49342     
  1201.00        394.254        3410.90        7.75087        4.49147     
  1301.00        401.719        3410.51        7.74860        4.48952     
  1401.00        409.149        3410.12        7.74639        4.48755     
  1501.00        416.541        3409.74        7.74416        4.48559     
  1601.00        423.898        3409.35        7.74192        4.48362     
  1701.00        431.219        3408.96        7.73967        4.48165     
  1801.00        438.504        3408.57        7.73741        4.47967     
  1901.00        445.753        3408.18        7.73514        4.47770     
  2001.00        452.967        3458.54        7.90156        4.52472     
  2101.00        460.145        3458.17        7.89903        4.52282     
  2201.00        467.288        3457.79        7.89650        4.52092     
  2301.00        474.395        3457.42        7.89396        4.51902     
  2401.00        481.468        3457.05        7.89143        4.51712     
  2501.00        488.506        3456.67        7.88889        4.51523     
  2601.00        495.510        3456.30        7.88635        4.51333     
  2701.00        502.478        3455.93        7.88382        4.51144     
  2801.00        509.412        3455.53        7.88101        4.50945     
  2901.00        516.312        3455.16        7.87855        4.50758     
  3001.00        523.178        3454.80        7.87608        4.50571     
  3101.00        530.010        3454.43        7.87354        4.50382     
  3201.00        536.808        3454.04        7.87085        4.50188     
  3301.00        543.572        3453.71        7.86863        4.50010     
  3401.00        550.303        3453.31        7.86583        4.49813     
  3501.00        557.000        3452.94        7.86331        4.49625     
  3601.00        563.663        3452.60        7.86103        4.49446     
  3701.00        570.294        3452.23        7.85851        4.49259     
  3801.00        576.891        3451.85        7.85583        4.49066     
  3901.00        583.456        3451.49        7.85334        4.48881     
  4001.00        589.988        3451.14        7.85095        4.48699     
  4101.00        596.487        3450.78        7.84841        4.48512     
  4201.00        602.953        3450.42        7.84596        4.48328     
  4301.00        609.388        3450.07        7.84353        4.48146     
  4401.00        615.789        3448.29        7.83408        4.47611     
  4501.00        622.159        3449.36        7.83860        4.47779     
  4601.00        628.497        3442.82        7.80585        4.46073     
  4701.00        634.803        3442.15        7.80170        4.45812     
  4801.00        641.077        3441.82        7.79917        4.45632     
  4901.00        647.319        3441.47        7.79661        4.45451     
  5001.00        653.531        3441.14        7.79407        4.45272     
  5101.00        659.710        3440.80        7.79152        4.45093     
  5201.00        665.859        3440.47        7.78900        4.44914     
  5301.00        671.976        3440.13        7.78647        4.44736     
  5401.00        678.062        3439.80        7.78397        4.44559     
  5501.00        684.118        3439.48        7.78147        4.44383     
  5601.00        690.143        3439.15        7.77897        4.44207     
  5701.00        696.137        3438.82        7.77648        4.44031     
  5801.00        702.101        3438.50        7.77401        4.43857     
  5901.00        708.034        3438.18        7.77156        4.43683     
  6001.00        713.938        3437.86        7.76911        4.43510     
  6101.00        719.811        3437.55        7.76667        4.43338     
  6201.00        725.654        3437.23        7.76423        4.43166     
  6301.00        731.468        3436.88        7.76123        4.42979     
  6401.00        737.251        3436.57        7.75878        4.42807     
  6501.00        743.005        3436.26        7.75636        4.42637     
  6601.00        748.730        3436.00        7.75465        4.42488     
  6701.00        754.426        3435.65        7.75152        4.42297     
  6801.00        760.092        3435.34        7.74911        4.42128     
  6901.00        765.729        3435.10        7.74751        4.41984     
  7001.00        771.337        3434.75        7.74441        4.41795     
