|6.6.6
mars_kc08_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        301.774        77.7600                 NaN   8.96865                 NaN            NaN   9.51888        3.75242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        77.7603                 NaN   8.96879                 NaN            NaN   9.51862        3.75230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        77.7612                 NaN   8.96822                 NaN            NaN   9.51837        3.75225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        77.7606                 NaN   8.96926                 NaN            NaN   9.51803        3.75207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        77.7609                 NaN   8.96888                 NaN            NaN   9.51819        3.75200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        77.7610                 NaN   8.96931                 NaN            NaN   9.51786        3.75186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        77.7603                 NaN   8.97061                 NaN            NaN   9.51748        3.75161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        77.7610                 NaN   8.97014                 NaN            NaN   9.51719        3.75163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        77.7607                 NaN   8.97107                 NaN            NaN   9.51680        3.75140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        77.7617                 NaN   8.97026                 NaN            NaN   9.51651        3.75149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        77.7615                 NaN   8.97104                 NaN            NaN   9.51610        3.75137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        77.7625                 NaN   8.97107                 NaN            NaN   9.51536        3.75111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        77.7625                 NaN   8.97146                 NaN            NaN   9.51499        3.75100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        77.7625                 NaN   8.97184                 NaN            NaN   9.51460        3.75107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        77.7626                 NaN   8.97225                 NaN            NaN   9.51421        3.75096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        77.7626                 NaN   8.97268                 NaN            NaN   9.51383        3.75085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        77.7627                 NaN   8.97312                 NaN            NaN   9.51343        3.75073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        77.7631                 NaN   8.97316                 NaN            NaN   9.51309        3.75063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        77.7628                 NaN   8.97404                 NaN            NaN   9.51265        3.75049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        77.7628                 NaN   8.97456                 NaN            NaN   9.51226        3.75035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        60.0709                 NaN   9.10830                 NaN            NaN            NaN   3.80515                 NaN   27.0157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        60.0721                 NaN   9.10882                 NaN            NaN            NaN   3.80486                 NaN   27.0142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        60.0731                 NaN   9.10935                 NaN            NaN            NaN   3.80450                 NaN   27.0130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        60.0741                 NaN   9.10989                 NaN            NaN            NaN   3.80404                 NaN   27.0120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        60.0750                 NaN   9.11043                 NaN            NaN            NaN   3.80355                 NaN   27.0110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        60.0757                 NaN   9.11098                 NaN            NaN            NaN   3.80290                 NaN   27.0104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        60.0766                 NaN   9.11154                 NaN            NaN            NaN   3.80246                 NaN   27.0094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        60.0772                 NaN   9.11210                 NaN            NaN            NaN   3.80179                 NaN   27.0089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        60.0671                 NaN   9.11302                 NaN            NaN            NaN   3.79254                 NaN   27.0273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        60.0707                 NaN   9.11360                 NaN            NaN            NaN   3.79457                 NaN   27.0211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        60.0729                 NaN   9.11404                 NaN            NaN            NaN   3.79499                 NaN   27.0181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        60.0728                 NaN   9.11460                 NaN            NaN            NaN   3.79374                 NaN   27.0189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        60.0649                 NaN   9.11511                 NaN            NaN            NaN   3.78543                 NaN   27.0346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        60.0779                 NaN   9.11549                 NaN            NaN            NaN   3.79553                 NaN   27.0110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        60.0655                 NaN   9.11614                 NaN            NaN            NaN   3.78363                 NaN   27.0347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        60.0649                 NaN   9.11668                 NaN            NaN            NaN   3.78197                 NaN   27.0364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        60.0743                 NaN   9.11719                 NaN            NaN            NaN   3.78889                 NaN   27.0196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        60.0729                 NaN   9.11775                 NaN            NaN            NaN   3.78656                 NaN   27.0227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        60.0643                 NaN   9.11826                 NaN            NaN            NaN   3.77790                 NaN   27.0395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        60.0636                 NaN   9.11880                 NaN            NaN            NaN   3.77615                 NaN   27.0414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        60.0670                 NaN   9.11934                 NaN            NaN            NaN   3.77792                 NaN   27.0357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        60.0637                 NaN   9.11990                 NaN            NaN            NaN   3.77401                 NaN   27.0424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953        60.0634                 NaN   9.12042                 NaN            NaN            NaN   3.77257                 NaN   27.0436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        60.0636                 NaN   9.12091                 NaN            NaN            NaN   3.77157                 NaN   27.0439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        58.3859                 NaN   9.11697                 NaN            NaN            NaN   2.94601                 NaN   28.8011                 NaN  0.749998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        622.159        60.0594                 NaN   9.12198                 NaN            NaN            NaN   3.76532                 NaN   27.0533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        628.497        52.7794                 NaN   9.10343                 NaN            NaN            NaN  0.184279                 NaN   34.6766                 NaN   3.25626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        634.803        52.4118                 NaN   9.10267                 NaN            NaN            NaN            NaN            NaN   35.0675                 NaN   3.41797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        641.077        52.4149                 NaN   9.10278                 NaN            NaN            NaN            NaN            NaN   35.0666                 NaN   3.41573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        647.319        52.4220                 NaN   9.10294                 NaN            NaN            NaN            NaN            NaN   35.0651                 NaN   3.40995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        653.531        52.4279                 NaN   9.10313                 NaN            NaN            NaN            NaN            NaN   35.0636                 NaN   3.40531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        659.710        52.4349                 NaN   9.10324                 NaN            NaN            NaN            NaN            NaN   35.0624                 NaN   3.39947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
