|6.6.6
mars_kc08_atl_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3416.98        7.78529        4.51860     
  101.000        286.844        3417.04        7.78534        4.51798     
  201.000        290.141        3417.09        7.78538        4.51734     
  301.000        293.432        3417.15        7.78541        4.51670     
  401.000        296.718        3417.18        7.78480        4.51607     
  501.000        299.998        3417.24        7.78480        4.51543     
  601.000        303.272        3417.29        7.78481        4.51478     
  701.000        306.540        3417.33        7.78481        4.51412     
  801.000        309.803        3417.38        7.78479        4.51347     
  901.000        313.060        3417.42        7.78478        4.51280     
  1001.00        316.312        3417.45        7.78457        4.51215     
  1101.00        319.558        3417.36        7.78307        4.51158     
  1201.00        322.798        3417.41        7.78302        4.51091     
  1301.00        326.033        3417.44        7.78291        4.51024     
  1401.00        329.262        3417.49        7.78284        4.50957     
  1501.00        332.485        3417.53        7.78277        4.50890     
  1601.00        335.703        3417.56        7.78271        4.50821     
  1701.00        338.915        3417.60        7.78263        4.50753     
  1801.00        342.121        3417.65        7.78253        4.50685     
  1901.00        345.322        3417.68        7.78245        4.50616     
  2001.00        348.517        3417.72        7.78235        4.50547     
  2101.00        351.707        3467.68        7.94969        4.55401     
  2201.00        354.891        3467.70        7.94924        4.55339     
  2301.00        358.069        3467.73        7.94891        4.55281     
  2401.00        361.242        3467.67        7.94769        4.55194     
  2501.00        364.410        3467.69        7.94730        4.55134     
  2601.00        367.572        3467.79        7.94763        4.55098     
  2701.00        370.728        3467.81        7.94722        4.55037     
  2801.00        373.879        3467.84        7.94681        4.54977     
  2901.00        377.024        3467.86        7.94639        4.54916     
  3001.00        380.163        3467.88        7.94597        4.54854     
  3101.00        383.297        3467.90        7.94554        4.54793     
  3201.00        386.426        3467.92        7.94512        4.54731     
  3301.00        389.549        3467.94        7.94470        4.54670     
  3401.00        392.667        3467.96        7.94426        4.54608     
  3501.00        395.779        3467.97        7.94382        4.54546     
  3601.00        398.885        3467.99        7.94339        4.54483     
  3701.00        401.986        3468.01        7.94295        4.54421     
  3801.00        405.082        3468.03        7.94251        4.54359     
  3901.00        408.172        3468.04        7.94206        4.54296     
  4001.00        411.257        3468.06        7.94161        4.54233     
  4101.00        414.336        3468.08        7.94117        4.54171     
  4201.00        417.410        3468.09        7.94073        4.54108     
  4301.00        420.478        3468.11        7.94027        4.54045     
  4401.00        423.541        3468.12        7.93980        4.53982     
  4501.00        426.599        3468.14        7.93935        4.53918     
  4601.00        429.651        3468.15        7.93890        4.53856     
  4701.00        432.697        3468.17        7.93844        4.53792     
  4801.00        435.739        3468.18        7.93798        4.53729     
