|6.6.6
mars_kc08_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        283.541        77.7629                 NaN   8.96841                 NaN            NaN   9.51574        3.75297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        77.7638                 NaN   8.96854                 NaN            NaN   9.51471        3.75299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        77.7647                 NaN   8.96861                 NaN            NaN   9.51368        3.75302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        77.7656                 NaN   8.96876                 NaN            NaN   9.51264        3.75304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        77.7662                 NaN   8.96875                 NaN            NaN   9.51205        3.75305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        77.7675                 NaN   8.96832                 NaN            NaN   9.51103        3.75310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        77.7683                 NaN   8.96856                 NaN            NaN   9.50999        3.75312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        77.7691                 NaN   8.96878                 NaN            NaN   9.50896        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        77.7699                 NaN   8.96906                 NaN            NaN   9.50792        3.75314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        77.7704                 NaN   8.96964                 NaN            NaN   9.50685        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        77.7709                 NaN   8.97021                 NaN            NaN   9.50577        3.75313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        77.7728                 NaN   8.96986                 NaN            NaN   9.50437        3.75301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        77.7737                 NaN   8.96986                 NaN            NaN   9.50336        3.75305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        77.7743                 NaN   8.97019                 NaN            NaN   9.50230        3.75322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        77.7761                 NaN   8.96915                 NaN            NaN   9.50133        3.75338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        77.7771                 NaN   8.96921                 NaN            NaN   9.50030        3.75341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        77.7768                 NaN   8.97070                 NaN            NaN   9.49920        3.75326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        77.7777                 NaN   8.97090                 NaN            NaN   9.49816        3.75328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        77.7799                 NaN   8.96940                 NaN            NaN   9.49722        3.75349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        77.7804                 NaN   8.96997                 NaN            NaN   9.49617        3.75351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        77.7813                 NaN   8.97003                 NaN            NaN   9.49514        3.75354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        60.0543                 NaN   9.10121                 NaN            NaN            NaN   3.80837                 NaN   27.0361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        60.0547                 NaN   9.10124                 NaN            NaN            NaN   3.80838                 NaN   27.0357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        358.069        60.0568                 NaN   9.10156                 NaN            NaN            NaN   3.80839                 NaN   27.0333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        361.242        60.0441                 NaN   9.10286                 NaN            NaN            NaN   3.80698                 NaN   27.0461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        364.410        60.0454                 NaN   9.10303                 NaN            NaN            NaN   3.80692                 NaN   27.0447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        60.0595                 NaN   9.10187                 NaN            NaN            NaN   3.80842                 NaN   27.0302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        60.0606                 NaN   9.10202                 NaN            NaN            NaN   3.80844                 NaN   27.0289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        60.0618                 NaN   9.10217                 NaN            NaN            NaN   3.80845                 NaN   27.0276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        60.0630                 NaN   9.10233                 NaN            NaN            NaN   3.80845                 NaN   27.0262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        60.0641                 NaN   9.10249                 NaN            NaN            NaN   3.80846                 NaN   27.0249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        60.0652                 NaN   9.10265                 NaN            NaN            NaN   3.80846                 NaN   27.0237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        60.0662                 NaN   9.10282                 NaN            NaN            NaN   3.80846                 NaN   27.0225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        60.0675                 NaN   9.10296                 NaN            NaN            NaN   3.80847                 NaN   27.0210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667        60.0684                 NaN   9.10312                 NaN            NaN            NaN   3.80848                 NaN   27.0200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779        60.0695                 NaN   9.10329                 NaN            NaN            NaN   3.80848                 NaN   27.0187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885        60.0705                 NaN   9.10345                 NaN            NaN            NaN   3.80848                 NaN   27.0175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        60.0715                 NaN   9.10362                 NaN            NaN            NaN   3.80847                 NaN   27.0164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        60.0726                 NaN   9.10378                 NaN            NaN            NaN   3.80847                 NaN   27.0152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        60.0735                 NaN   9.10395                 NaN            NaN            NaN   3.80847                 NaN   27.0141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        60.0744                 NaN   9.10414                 NaN            NaN            NaN   3.80845                 NaN   27.0131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        60.0755                 NaN   9.10430                 NaN            NaN            NaN   3.80844                 NaN   27.0117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        60.0765                 NaN   9.10447                 NaN            NaN            NaN   3.80842                 NaN   27.0106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        60.0773                 NaN   9.10465                 NaN            NaN            NaN   3.80838                 NaN   27.0097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541        60.0781                 NaN   9.10482                 NaN            NaN            NaN   3.80839                 NaN   27.0087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599        60.0787                 NaN   9.10508                 NaN            NaN            NaN   3.80810                 NaN   27.0081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651        60.0800                 NaN   9.10519                 NaN            NaN            NaN   3.80833                 NaN   27.0065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697        60.0809                 NaN   9.10536                 NaN            NaN            NaN   3.80831                 NaN   27.0054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        60.0818                 NaN   9.10555                 NaN            NaN            NaN   3.80830                 NaN   27.0044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        60.0824                 NaN   9.10575                 NaN            NaN            NaN   3.80825                 NaN   27.0036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        60.0833                 NaN   9.10593                 NaN            NaN            NaN   3.80823                 NaN   27.0025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        60.0840                 NaN   9.10614                 NaN            NaN            NaN   3.80800                 NaN   27.0019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        60.0848                 NaN   9.10634                 NaN            NaN            NaN   3.80792                 NaN   27.0010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        450.864        60.0858                 NaN   9.10651                 NaN            NaN            NaN   3.80804                 NaN   26.9997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        453.873        60.0865                 NaN   9.10670                 NaN            NaN            NaN   3.80799                 NaN   26.9988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        456.876        60.0873                 NaN   9.10690                 NaN            NaN            NaN   3.80793                 NaN   26.9979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        459.875        60.0881                 NaN   9.10709                 NaN            NaN            NaN   3.80788                 NaN   26.9970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        462.867        60.0888                 NaN   9.10729                 NaN            NaN            NaN   3.80782                 NaN   26.9961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        465.855        60.0896                 NaN   9.10747                 NaN            NaN            NaN   3.80774                 NaN   26.9952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        468.837        60.0904                 NaN   9.10767                 NaN            NaN            NaN   3.80768                 NaN   26.9943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        471.814        60.0910                 NaN   9.10788                 NaN            NaN            NaN   3.80751                 NaN   26.9936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        474.785        60.0777                 NaN   9.10949                 NaN            NaN            NaN   3.79869                 NaN   27.0142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        477.752        60.0782                 NaN   9.10970                 NaN            NaN            NaN   3.79844                 NaN   27.0136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        480.712        60.0788                 NaN   9.10991                 NaN            NaN            NaN   3.79819                 NaN   27.0131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        483.668        60.0913                 NaN   9.10880                 NaN            NaN            NaN   3.80506                 NaN   26.9949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        486.618        60.0799                 NaN   9.11032                 NaN            NaN            NaN   3.79770                 NaN   27.0121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        489.563        60.0784                 NaN   9.11050                 NaN            NaN            NaN   3.79540                 NaN   27.0157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        492.503        60.0789                 NaN   9.11071                 NaN            NaN            NaN   3.79508                 NaN   27.0153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        495.437        60.0793                 NaN   9.11092                 NaN            NaN            NaN   3.79477                 NaN   27.0150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        498.367        60.0770                 NaN   9.11073                 NaN            NaN            NaN   3.79054                 NaN   27.0217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        501.290        60.0775                 NaN   9.11096                 NaN            NaN            NaN   3.79034                 NaN   27.0212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        504.209        60.0775                 NaN   9.11095                 NaN            NaN            NaN   3.78902                 NaN   27.0226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        507.122        60.0777                 NaN   9.11115                 NaN            NaN            NaN   3.78855                 NaN   27.0225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        510.031        60.0782                 NaN   9.11137                 NaN            NaN            NaN   3.78826                 NaN   27.0222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        512.933        60.0778                 NaN   9.11190                 NaN            NaN            NaN   3.78814                 NaN   27.0221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
