|6.6.6
mars_kc08_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3414.83        7.77477        4.51225     
  101.000        313.918        3414.78        7.77421        4.51126     
  201.000        318.476        3414.71        7.77365        4.51026     
  301.000        323.023        3414.63        7.77309        4.50925     
  401.000        327.558        3414.55        7.77187        4.50824     
  501.000        332.082        3414.47        7.77128        4.50722     
  601.000        336.594        3414.40        7.77067        4.50620     
  701.000        341.095        3414.33        7.77005        4.50517     
  801.000        345.584        3414.24        7.76943        4.50414     
  901.000        350.061        3414.17        7.76879        4.50310     
  1001.00        354.527        3414.07        7.76797        4.50207     
  1101.00        358.982        3413.86        7.76585        4.50112     
  1201.00        363.425        3413.78        7.76518        4.50007     
  1301.00        367.856        3413.70        7.76443        4.49903     
  1401.00        372.276        3413.61        7.76375        4.49798     
  1501.00        376.685        3413.53        7.76307        4.49692     
  1601.00        381.083        3413.44        7.76237        4.49586     
  1701.00        385.469        3413.36        7.76166        4.49480     
  1801.00        389.844        3413.27        7.76096        4.49374     
  1901.00        394.207        3413.18        7.76024        4.49267     
  2001.00        398.559        3413.10        7.75952        4.49160     
  2101.00        402.900        3463.33        7.92655        4.53971     
  2201.00        407.230        3463.24        7.92556        4.53874     
  2301.00        411.548        3463.15        7.92457        4.53777     
  2401.00        415.856        3463.05        7.92348        4.53676     
  2501.00        420.152        3462.96        7.92246        4.53578     
  2601.00        424.437        3462.87        7.92142        4.53479     
  2701.00        428.711        3462.77        7.92037        4.53380     
  2801.00        432.973        3462.68        7.91934        4.53281     
  2901.00        437.225        3462.58        7.91829        4.53182     
  3001.00        441.466        3462.49        7.91725        4.53083     
  3101.00        445.695        3462.39        7.91620        4.52983     
  3201.00        449.914        3462.30        7.91514        4.52883     
  3301.00        454.121        3462.20        7.91409        4.52784     
  3401.00        458.318        3462.10        7.91304        4.52684     
  3501.00        462.503        3462.01        7.91198        4.52584     
  3601.00        466.678        3461.91        7.91093        4.52485     
  3701.00        470.842        3461.81        7.90987        4.52385     
  3801.00        474.994        3461.72        7.90882        4.52285     
  3901.00        479.136        3461.62        7.90776        4.52185     
  4001.00        483.267        3461.53        7.90669        4.52085     
  4101.00        487.388        3461.43        7.90564        4.51986     
  4201.00        491.497        3461.33        7.90457        4.51886     
  4301.00        495.596        3461.24        7.90351        4.51786     
  4401.00        499.683        3461.13        7.90237        4.51683     
  4501.00        503.761        3461.04        7.90140        4.51586     
  4601.00        507.827        3460.95        7.90033        4.51486     
  4701.00        511.883        3460.79        7.89871        4.51367     
  4801.00        515.927        3460.69        7.89765        4.51267     
  4901.00        519.962        3460.59        7.89657        4.51166     
  5001.00        523.985        3460.50        7.89551        4.51067     
  5101.00        527.998        3460.40        7.89443        4.50967     
  5201.00        532.001        3460.30        7.89337        4.50867     
  5301.00        535.993        3460.21        7.89229        4.50767     
