|6.6.6
mars_kc08_atm_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          23
P(bar)         T(K)           O              O              Cpx            Gt             Gt             qtz            ky             an             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          Pv            
  1.00000        309.347        77.7590                 NaN   8.96865                 NaN            NaN   9.52018        3.75220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        77.7604                 NaN   8.96797                 NaN            NaN   9.51937        3.75224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        77.7610                 NaN   8.96824                 NaN            NaN   9.51852        3.75222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        77.7610                 NaN   8.96920                 NaN            NaN   9.51763        3.75214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        77.7614                 NaN   8.96935                 NaN            NaN   9.51721        3.75207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        77.7617                 NaN   8.96990                 NaN            NaN   9.51634        3.75202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        77.7631                 NaN   8.96929                 NaN            NaN   9.51553        3.75211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        77.7636                 NaN   8.96962                 NaN            NaN   9.51467        3.75208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        77.7637                 NaN   8.97059                 NaN            NaN   9.51377        3.75195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        77.7645                 NaN   8.97066                 NaN            NaN   9.51292        3.75195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        77.7648                 NaN   8.97132                 NaN            NaN   9.51201        3.75192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        77.7663                 NaN   8.97117                 NaN            NaN   9.51078        3.75176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        77.7669                 NaN   8.97145                 NaN            NaN   9.50991        3.75174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        77.7684                 NaN   8.97039                 NaN            NaN   9.50909        3.75212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        77.7690                 NaN   8.97063                 NaN            NaN   9.50822        3.75211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        77.7697                 NaN   8.97087                 NaN            NaN   9.50735        3.75210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        77.7703                 NaN   8.97112                 NaN            NaN   9.50648        3.75209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        77.7713                 NaN   8.97102                 NaN            NaN   9.50562        3.75209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844        77.7715                 NaN   8.97172                 NaN            NaN   9.50473        3.75206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207        77.7723                 NaN   8.97180                 NaN            NaN   9.50387        3.75206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
