|6.6.6
mars_lf97_1.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3266.47        7.14365        4.04885     
  101.000        1240.92        3266.90        7.14467        4.04918     
  201.000        1241.73        3267.33        7.14569        4.04951     
  301.000        1242.53        3267.75        7.14671        4.04984     
  401.000        1243.34        3268.18        7.14773        4.05017     
  501.000        1244.15        3268.58        7.14849        4.05050     
  601.000        1244.96        3269.01        7.14951        4.05083     
  701.000        1245.77        3269.40        7.14968        4.05119     
  801.000        1246.58        3269.82        7.15070        4.05152     
  901.000        1247.38        3270.15        7.15040        4.05192     
  1001.00        1248.19        3270.57        7.15142        4.05225     
  1101.00        1249.00        3271.00        7.15243        4.05258     
  1201.00        1249.81        3271.42        7.15345        4.05291     
  1301.00        1250.62        3271.85        7.15446        4.05324     
  1401.00        1251.42        3272.28        7.15548        4.05356     
  1501.00        1252.23        3272.70        7.15649        4.05389     
  1601.00        1253.04        3273.13        7.15750        4.05422     
  1701.00        1253.85        3273.55        7.15852        4.05455     
  1801.00        1254.66        3273.98        7.15953        4.05488     
  1901.00        1255.46        3274.40        7.16054        4.05521     
  2001.00        1256.27        3274.82        7.16155        4.05554     
  2101.00        1257.08        3275.25        7.16256        4.05587     
  2201.00        1257.89        3275.67        7.16357        4.05619     
  2301.00        1258.69        3276.10        7.16458        4.05652     
  2401.00        1259.50        3276.52        7.16559        4.05685     
  2501.00        1260.31        3276.95        7.16660        4.05718     
  2601.00        1261.12        3277.37        7.16761        4.05751     
  2701.00        1261.92        3277.79        7.16862        4.05784     
  2801.00        1262.73        3278.22        7.16963        4.05816     
  2901.00        1263.54        3278.64        7.17064        4.05849     
  3001.00        1264.35        3279.06        7.17165        4.05882     
  3101.00        1265.15        3279.49        7.17266        4.05915     
  3201.00        1265.96        3279.91        7.17366        4.05948     
  3301.00        1266.77        3280.33        7.17467        4.05980     
  3401.00        1267.57        3280.76        7.17568        4.06013     
  3501.00        1268.38        3281.18        7.17668        4.06046     
  3601.00        1269.19        3281.60        7.17769        4.06079     
  3701.00        1269.99        3282.02        7.17869        4.06111     
  3801.00        1270.80        3282.45        7.17970        4.06144     
  3901.00        1271.61        3282.87        7.18070        4.06177     
  4001.00        1272.41        3283.29        7.18171        4.06209     
  4101.00        1273.22        3283.71        7.18271        4.06242     
  4201.00        1274.02        3284.13        7.18371        4.06275     
  4301.00        1274.83        3284.56        7.18472        4.06308     
  4401.00        1275.64        3284.98        7.18572        4.06340     
  4501.00        1276.44        3285.40        7.18672        4.06373     
  4601.00        1277.25        3285.82        7.18772        4.06406     
  4701.00        1278.05        3286.24        7.18872        4.06438     
  4801.00        1278.86        3286.66        7.18973        4.06471     
  4901.00        1279.67        3287.08        7.19073        4.06504     
  5001.00        1280.47        3287.51        7.19173        4.06536     
  5101.00        1281.28        3287.93        7.19273        4.06569     
  5201.00        1282.08        3288.35        7.19373        4.06602     
  5301.00        1282.89        3288.77        7.19473        4.06634     
  5401.00        1283.69        3289.19        7.19573        4.06667     
  5501.00        1284.50        3289.61        7.19672        4.06700     
  5601.00        1285.30        3290.03        7.19772        4.06732     
  5701.00        1286.11        3290.45        7.19872        4.06765     
  5801.00        1286.91        3290.87        7.19972        4.06797     
  5901.00        1287.72        3291.29        7.20072        4.06830     
  6001.00        1288.52        3291.71        7.20171        4.06863     
  6101.00        1289.33        3292.13        7.20271        4.06895     
  6201.00        1290.13        3292.55        7.20371        4.06928     
  6301.00        1290.94        3292.97        7.20470        4.06960     
  6401.00        1291.74        3293.39        7.20570        4.06993     
  6501.00        1292.54        3294.09        7.20727        4.07073     
  6601.00        1293.35        3294.83        7.20891        4.07159     
  6701.00        1294.15        3295.57        7.21055        4.07244     
  6801.00        1294.96        3296.31        7.21219        4.07330     
  6901.00        1295.76        3297.05        7.21383        4.07415     
  7001.00        1296.56        3297.79        7.21547        4.07501     
  7101.00        1297.37        3298.53        7.21711        4.07587     
  7201.00        1298.17        3299.27        7.21876        4.07672     
  7301.00        1298.97        3300.01        7.22040        4.07758     
  7401.00        1299.78        3300.75        7.22204        4.07844     
  7501.00        1300.58        3301.49        7.22369        4.07930     
  7601.00        1301.38        3302.23        7.22533        4.08016     
  7701.00        1302.19        3302.97        7.22698        4.08102     
  7801.00        1302.99        3303.71        7.22862        4.08188     
  7901.00        1303.79        3304.45        7.23027        4.08274     
  8001.00        1304.59        3305.19        7.23191        4.08360     
  8101.00        1305.40        3305.92        7.23356        4.08446     
  8201.00        1306.20        3306.66        7.23521        4.08532     
  8301.00        1307.00        3307.40        7.23686        4.08618     
  8401.00        1307.80        3308.14        7.23851        4.08705     
  8501.00        1308.61        3308.88        7.24016        4.08791     
  8601.00        1309.41        3309.62        7.24181        4.08877     
  8701.00        1310.21        3310.35        7.24346        4.08964     
  8801.00        1311.01        3311.09        7.24511        4.09050     
  8901.00        1311.81        3311.83        7.24676        4.09136     
