|6.6.6
mars_lf97_3.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Gt             C2/c           Wad            Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        20.9465        100.000        44.3598        6.68742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        20.9404        100.000        44.3675        6.70760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        20.9344        100.000        44.3752        6.72777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        20.9283        100.000        44.3828        6.74795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        20.9223        100.000        44.3905        6.76813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        20.9168        100.000        44.3986        6.78826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        20.9108        100.000        44.4063        6.80845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        20.9045        100.000        44.4147        6.82856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        20.8985        100.000        44.4224        6.84874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        20.8921        100.000        44.4290        6.86907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        20.8861        100.000        44.4367        6.88926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        20.8801        100.000        44.4444        6.90946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        20.8741        100.000        44.4522        6.92965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        20.8681        100.000        44.4599        6.94986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        20.8620        100.000        44.4676        6.97006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        20.8560        100.000        44.4753        6.99027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        20.8500        100.000        44.4831        7.01047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        20.8440        100.000        44.4908        7.03068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        20.8380        100.000        44.4985        7.05090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        20.8320        100.000        44.5063        7.07111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        20.8260        100.000        44.5140        7.09133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        20.8200        100.000        44.5218        7.11155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        20.8140        100.000        44.5295        7.13177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        20.8080        100.000        44.5373        7.15200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        20.8020        100.000        44.5451        7.17222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        20.7960        100.000        44.5528        7.19245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        20.7901        100.000        44.5606        7.21268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        20.7841        100.000        44.5684        7.23292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        20.7781        100.000        44.5761        7.25315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        20.7721        100.000        44.5839        7.27339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        20.7662        100.000        44.5917        7.29363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        20.7602        100.000        44.5995        7.31387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        20.7542        100.000        44.6073        7.33412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        20.7482        100.000        44.6151        7.35437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
