|6.6.6
mars_lf97_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3350.81        7.58086        4.36667     
  101.000        309.688        3351.24        7.58068        4.36621     
  201.000        317.564        3351.05        7.57917        4.36472     
  301.000        325.401        3350.26        7.57637        4.36223     
  401.000        333.201        3349.80        7.57383        4.36031     
  501.000        340.963        3348.61        7.57005        4.35719     
  601.000        348.688        3348.20        7.56802        4.35531     
  701.000        356.375        3347.84        7.56606        4.35349     
  801.000        364.025        3347.45        7.56404        4.35163     
  901.000        371.637        3348.71        7.56554        4.35251     
  1001.00        379.213        3348.40        7.56353        4.35083     
  1101.00        386.752        3347.97        7.56035        4.34919     
  1201.00        394.254        3347.50        7.55810        4.34718     
  1301.00        401.719        3347.16        7.55613        4.34541     
  1401.00        409.149        3346.91        7.55435        4.34376     
  1501.00        416.541        3346.54        7.55232        4.34192     
  1601.00        423.898        3346.23        7.55041        4.34019     
  1701.00        431.219        3344.97        7.54633        4.33681     
  1801.00        438.504        3345.27        7.54582        4.33614     
  1901.00        445.753        3347.76        7.55158        4.33646     
  2001.00        452.967        3384.01        7.65672        4.36518     
  2101.00        460.145        3383.57        7.65436        4.36324     
  2201.00        467.288        3383.29        7.65233        4.36158     
  2301.00        474.395        3382.78        7.64980        4.35952     
  2401.00        481.468        3382.49        7.64787        4.35781     
  2501.00        488.506        3381.54        7.64436        4.35496     
  2601.00        495.510        3381.86        7.64355        4.35439     
  2701.00        502.478        3381.45        7.64121        4.35250     
  2801.00        509.412        3381.46        7.64014        4.35131     
  2901.00        516.312        3378.24        7.63106        4.34446     
  3001.00        523.178        3381.27        7.63699        4.34861     
  3101.00        530.010        3378.98        7.63052        4.34339     
  3201.00        536.808        3379.68        7.63026        4.34352     
  3301.00        543.572        3376.29        7.62084        4.33641     
  3401.00        550.303        3379.35        7.62760        4.34048     
  3501.00        557.000        3378.67        7.62382        4.33825     
  3601.00        563.663        3378.60        7.62267        4.33692     
  3701.00        570.294        3377.92        7.61939        4.33462     
  3801.00        576.891        3377.34        7.61725        4.33235     
  3901.00        583.456        3376.49        7.61403        4.32966     
  4001.00        589.988        3376.68        7.61326        4.32882     
  4101.00        596.487        3374.71        7.60499        4.32384     
  4201.00        602.953        3374.39        7.60281        4.32214     
  4301.00        609.388        3371.47        7.59027        4.31447     
  4401.00        615.789        3372.52        7.59121        4.31510     
  4501.00        622.159        3372.13        7.58900        4.31329     
  4601.00        628.497        3371.95        7.58718        4.31182     
  4701.00        634.803        3371.28        7.58510        4.30953     
  4801.00        641.077        3371.62        7.58364        4.30897     
  4901.00        647.319        3371.15        7.58144        4.30702     
  5001.00        653.531        3370.97        7.57963        4.30557     
  5101.00        659.710        3370.95        7.57818        4.30441     
  5201.00        665.859        3370.20        7.57561        4.30199     
  5301.00        671.976        3369.68        7.57307        4.29996     
  5401.00        678.062        3370.01        7.57221        4.29940     
  5501.00        684.118        3369.54        7.56994        4.29747     
  5601.00        690.143        3368.74        7.56699        4.29496     
  5701.00        696.137        3367.06        7.56236        4.29096     
  5801.00        702.101        3368.65        7.56494        4.29254     
  5901.00        708.034        3366.10        7.55890        4.28704     
  6001.00        713.938        3368.44        7.56090        4.28999     
