|6.6.6
mars_lf97_ath_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        301.774        29.6131                 NaN   100.000                 NaN   18.7318                 NaN            NaN            NaN   9.33133        1.82215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        29.6174                 NaN   100.000                 NaN   18.8285                 NaN            NaN            NaN   9.36447        1.86586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        29.6168                 NaN   100.000                 NaN   18.8463                 NaN            NaN            NaN   9.37006        1.87176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        29.6122                 NaN   100.000                 NaN   18.7865                 NaN            NaN            NaN   9.34890        1.84265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        29.6097                 NaN   100.000                 NaN   18.7728                 NaN            NaN            NaN   9.34372        1.83325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        29.6015                 NaN   100.000                 NaN   18.6651                 NaN            NaN            NaN   9.30564        1.77980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        29.5995                 NaN   100.000                 NaN   18.6564                 NaN            NaN            NaN   9.30210        1.77380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        29.5979                 NaN   100.000                 NaN   18.6534                 NaN            NaN            NaN   9.30059        1.77093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        29.5959                 NaN   100.000                 NaN   18.6477                 NaN            NaN            NaN   9.29806        1.76610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        29.6040                 NaN   100.000                 NaN   18.8590                 NaN            NaN            NaN   9.36963        1.85495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        29.6023                 NaN   100.000                 NaN   18.8682                 NaN            NaN            NaN   9.37167        1.85446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        29.5992                 NaN   100.000                 NaN   18.8745                 NaN            NaN            NaN   9.37279        1.85316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        29.5963                 NaN   100.000                 NaN   18.8591                 NaN            NaN            NaN   9.36672        1.84290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        29.5941                 NaN   100.000                 NaN   18.8634                 NaN            NaN            NaN   9.36730        1.84055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        29.5925                 NaN   100.000                 NaN   18.8774                 NaN            NaN            NaN   9.37117        1.84264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        29.5901                 NaN   100.000                 NaN   18.8771                 NaN            NaN            NaN   9.37013        1.83818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        29.5878                 NaN   100.000                 NaN   18.8852                 NaN            NaN            NaN   9.37183        1.83679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        29.5872                 NaN   100.000                 NaN   18.7604                 NaN            NaN            NaN   9.33137        1.79815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        29.5829                 NaN   100.000                 NaN   18.8548                 NaN            NaN            NaN   9.36000        1.81823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        30.6633                 NaN   100.000                 NaN   19.9062                 NaN            NaN            NaN   10.4168        3.45061        1.64313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        41.8624                 NaN   98.1708                 NaN   31.0398                 NaN            NaN            NaN   21.4150        21.4150        21.4150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        41.8845                 NaN   98.1845                 NaN   31.0506                 NaN            NaN            NaN   21.4346        21.4346        21.4346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        41.8952                 NaN   98.1891                 NaN   31.0709                 NaN            NaN            NaN   21.4492        21.4492        21.4492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        41.9215                 NaN   98.2065                 NaN   31.0765                 NaN            NaN            NaN   21.4700        21.4700        21.4700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        41.9664                 NaN   98.2282                 NaN   31.1301                 NaN            NaN            NaN   21.5206        21.5206        21.5206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        42.0282                 NaN   98.2732                 NaN   31.1110                 NaN            NaN            NaN   21.5587        21.5587        21.5587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        41.9598                 NaN   98.2250                 NaN   31.1332                 NaN            NaN            NaN   21.5166        21.5166        21.5166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        41.9763                 NaN   98.2355                 NaN   31.1410                 NaN            NaN            NaN   21.5311        21.5311        21.5311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        42.0456                 NaN   98.2620                 NaN   31.2623                 NaN            NaN            NaN   21.6224        21.6224        21.6224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        42.1962                 NaN   98.4024                 NaN   31.0214                 NaN            NaN            NaN   21.6476        21.6476        21.6476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        42.0981                 NaN   98.2768                 NaN   31.3887                 NaN            NaN            NaN   21.7013        21.7013        21.7013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        42.2569                 NaN   98.4011                 NaN   31.2820                 NaN            NaN            NaN   21.7803        21.7803        21.7803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        42.0934                 NaN   98.2976                 NaN   31.2565                 NaN            NaN            NaN   21.6530        21.6530        21.6530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        42.2091                 NaN   98.4263                 NaN   30.9509                 NaN            NaN            NaN   21.6341        21.6341        21.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        42.3313                 NaN   98.4079                 NaN   31.5511                 NaN            NaN            NaN   21.9248        21.9248        21.9248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        42.1449                 NaN   98.3252                 NaN   31.3103                 NaN            NaN            NaN   21.7081        21.7081        21.7081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        42.2368                 NaN   98.3651                 NaN   31.4423                 NaN            NaN            NaN   21.8195        21.8195        21.8195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        42.1838                 NaN   98.3478                 NaN   31.3396                 NaN            NaN            NaN   21.7460        21.7460        21.7460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        42.3733                 NaN   98.4472                 NaN   31.5022                 NaN            NaN            NaN   21.9379        21.9379        21.9379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        42.4580                 NaN   98.5017                 NaN   31.5175                 NaN            NaN            NaN   22.0042        22.0042        22.0042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        42.4907                 NaN   98.5063                 NaN   31.6239                 NaN            NaN            NaN   22.0636        22.0636        22.0636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        43.5310                 NaN   98.8472                 NaN   32.5248                 NaN            NaN            NaN   23.0500        23.0500        23.0500                 NaN  0.358949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        602.953        43.5300                 NaN   98.8472                 NaN   32.5247                 NaN            NaN            NaN   23.0497        23.0497        23.0497                 NaN  0.358950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        609.388        46.9522                 NaN   100.000                 NaN   35.8567                 NaN            NaN            NaN   26.4546        26.4546        26.4546                 NaN   1.36941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        615.789        47.0639                 NaN   100.000                 NaN   36.1701                 NaN            NaN            NaN   26.6328        26.6328        26.6328                 NaN   1.40969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
