|6.6.6
mars_lf97_atl_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3352.34        7.58775        4.37107     
  101.000        286.844        3352.52        7.58801        4.37069     
  201.000        290.141        3352.71        7.58830        4.37034     
  301.000        293.432        3352.88        7.58853        4.36995     
  401.000        296.718        3353.03        7.58829        4.36955     
  501.000        299.998        3353.18        7.58835        4.36916     
  601.000        303.272        3353.35        7.58857        4.36876     
  701.000        306.540        3353.51        7.58876        4.36834     
  801.000        309.803        3353.69        7.58900        4.36797     
  901.000        313.060        3353.22        7.58781        4.36650     
  1001.00        316.312        3353.41        7.58791        4.36617     
  1101.00        319.558        3353.48        7.58683        4.36588     
  1201.00        322.798        3353.72        7.58718        4.36560     
  1301.00        326.033        3353.30        7.58599        4.36417     
  1401.00        329.262        3353.44        7.58613        4.36373     
  1501.00        332.485        3353.76        7.58664        4.36358     
  1601.00        335.703        3354.08        7.58715        4.36342     
  1701.00        338.915        3353.38        7.58548        4.36156     
  1801.00        342.121        3354.63        7.58787        4.36293     
  1901.00        345.322        3354.73        7.58792        4.36241     
  2001.00        348.517        3354.79        7.58783        4.36181     
  2101.00        351.707        3393.64        7.70150        4.39420     
  2201.00        354.891        3393.68        7.70117        4.39366     
  2301.00        358.069        3393.78        7.70107        4.39323     
  2401.00        361.242        3393.82        7.70070        4.39266     
  2501.00        364.410        3393.42        7.69942        4.39133     
  2601.00        367.572        3394.10        7.70060        4.39190     
  2701.00        370.728        3394.23        7.70054        4.39151     
  2801.00        373.879        3394.36        7.70048        4.39112     
  2901.00        377.024        3394.49        7.70041        4.39073     
  3001.00        380.163        3394.62        7.70033        4.39032     
  3101.00        383.297        3394.77        7.70031        4.38996     
  3201.00        386.426        3394.91        7.70025        4.38958     
  3301.00        389.549        3395.23        7.70072        4.38951     
  3401.00        392.667        3395.05        7.69974        4.38856     
  3501.00        395.779        3395.09        7.69938        4.38800     
  3601.00        398.885        3394.51        7.69730        4.38636     
  3701.00        401.986        3395.98        7.70100        4.38830     
  3801.00        405.082        3396.16        7.70106        4.38798     
  3901.00        408.172        3396.36        7.70117        4.38771     
  4001.00        411.257        3396.52        7.70112        4.38735     
  4101.00        414.336        3396.54        7.70075        4.38675     
  4201.00        417.410        3396.58        7.70038        4.38619     
  4301.00        420.478        3396.60        7.70000        4.38559     
  4401.00        423.541        3396.63        7.69963        4.38502     
  4501.00        426.599        3470.71        7.91979        4.52065     
  4601.00        429.651        3470.72        7.91940        4.52003     
  4701.00        432.697        3470.74        7.91893        4.51940     
  4801.00        435.739        3398.24        7.70233        4.38529     
  4901.00        438.774        3398.28        7.70195        4.38472     
  5001.00        441.805        3398.32        7.70157        4.38415     
  5101.00        444.830        3398.36        7.70119        4.38358     
  5201.00        447.850        3398.39        7.70081        4.38300     
  5301.00        450.864        3470.85        7.91629        4.51568     
  5401.00        453.873        3470.86        7.91582        4.51506     
  5501.00        456.876        3470.88        7.91535        4.51443     
  5601.00        459.875        3470.90        7.91490        4.51380     
  5701.00        462.867        3470.91        7.91443        4.51317     
  5801.00        465.855        3470.93        7.91398        4.51254     
  5901.00        468.837        3470.94        7.91352        4.51191     
  6001.00        471.814        3470.96        7.91305        4.51129     
  6101.00        474.785        3470.99        7.91280        4.51071     
  6201.00        477.752        3471.01        7.91234        4.51009     
  6301.00        480.712        3471.03        7.91187        4.50946     
  6401.00        483.668        3471.03        7.91126        4.50879     
  6501.00        486.618        3471.04        7.91079        4.50816     
  6601.00        489.563        3471.07        7.91047        4.50758     
  6701.00        492.503        3471.09        7.91000        4.50695     
  6801.00        495.437        3471.10        7.90953        4.50633     
  6901.00        498.367        3471.12        7.90907        4.50570     
  7001.00        501.290        3471.13        7.90860        4.50508     
  7101.00        504.209        3471.15        7.90811        4.50440     
  7201.00        507.122        3471.16        7.90764        4.50377     
  7301.00        510.031        3471.18        7.90718        4.50315     
  7401.00        512.933        3471.20        7.90672        4.50252     
  7501.00        515.831        3471.21        7.90626        4.50190     
  7601.00        518.724        3471.23        7.90580        4.50128     
  7701.00        521.611        3471.24        7.90527        4.50062     
  7801.00        524.493        3471.26        7.90481        4.50000     
  7901.00        527.370        3471.28        7.90438        4.49937     
  8001.00        530.241        3471.29        7.90392        4.49875     
  8101.00        533.108        3471.31        7.90347        4.49813     
  8201.00        535.969        3471.32        7.90292        4.49747     
  8301.00        538.825        3471.34        7.90247        4.49685     
  8401.00        541.676        3471.36        7.90202        4.49623     
  8501.00        544.521        3471.39        7.90165        4.49562     
  8601.00        547.362        3471.40        7.90120        4.49501     
  8701.00        550.197        3471.42        7.90071        4.49436     
  8801.00        553.028        3471.44        7.90026        4.49374     
  8901.00        555.853        3471.46        7.89981        4.49313     
