|6.6.6
mars_lf97_atl_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        283.541        10.8749                 NaN   70.3880                 NaN   9.40507                 NaN            NaN            NaN   7.50430        1.82771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        10.8604                 NaN   70.3895                 NaN   9.41450                 NaN            NaN            NaN   7.50414        1.83143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        10.8436                 NaN   70.3909                 NaN   9.42546                 NaN            NaN            NaN   7.50345        1.83660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        10.8293                 NaN   70.3925                 NaN   9.43471                 NaN            NaN            NaN   7.50338        1.84010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        10.8162                 NaN   70.3934                 NaN   9.44340                 NaN            NaN            NaN   7.50303        1.84404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        10.8022                 NaN   70.3947                 NaN   9.45265                 NaN            NaN            NaN   7.50310        1.84734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        10.7879                 NaN   70.3963                 NaN   9.46195                 NaN            NaN            NaN   7.50320        1.85065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        10.7745                 NaN   70.3979                 NaN   9.47054                 NaN            NaN            NaN   7.50295        1.85409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        10.7578                 NaN   70.3994                 NaN   9.48145                 NaN            NaN            NaN   7.50278        1.85853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        10.8265                 NaN   70.4023                 NaN   9.43422                 NaN            NaN            NaN   7.50478        1.83223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        10.8063                 NaN   70.4035                 NaN   9.44793                 NaN            NaN            NaN   7.50461        1.83774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        10.7885                 NaN   70.4059                 NaN   9.45900                 NaN            NaN            NaN   7.50395        1.84264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        10.7637                 NaN   70.4072                 NaN   9.47547                 NaN            NaN            NaN   7.50336        1.85025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        10.8298                 NaN   70.4090                 NaN   9.42991                 NaN            NaN            NaN   7.50250        1.82875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        10.8167                 NaN   70.4109                 NaN   9.43833                 NaN            NaN            NaN   7.50322        1.83083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        10.7812                 NaN   70.4118                 NaN   9.46215                 NaN            NaN            NaN   7.50200        1.84278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        10.7461                 NaN   70.4127                 NaN   9.48581                 NaN            NaN            NaN   7.50079        1.85462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        10.8403                 NaN   70.4170                 NaN   9.42165                 NaN            NaN            NaN   7.50776        1.81331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        10.6943                 NaN   70.4116                 NaN   9.52074                 NaN            NaN            NaN   7.49067        1.88271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        10.6840                 NaN   70.4145                 NaN   9.52707                 NaN            NaN            NaN   7.49400        1.88036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        10.6833                 NaN   70.4159                 NaN   9.52720                 NaN            NaN            NaN   7.49324        1.88039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        351.707        10.7540                 NaN   56.3499                 NaN   9.66953                 NaN            NaN            NaN            NaN   1.90419        21.3223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        354.891        10.7532                 NaN   56.3508                 NaN   9.66963                 NaN            NaN            NaN            NaN   1.90421        21.3221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        358.069        10.7453                 NaN   56.3492                 NaN   9.67453                 NaN            NaN            NaN            NaN   1.90314        21.3279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        361.242        10.7459                 NaN   56.3501                 NaN   9.67368                 NaN            NaN            NaN            NaN   1.90283        21.3275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        364.410        10.8010                 NaN   56.3363                 NaN   9.63620                 NaN            NaN            NaN            NaN   1.87234        21.3542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        367.572        10.7190                 NaN   56.3446                 NaN   9.69038                 NaN            NaN            NaN            NaN   1.90303        21.3431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        370.728        10.7059                 NaN   56.3417                 NaN   9.69846                 NaN            NaN            NaN            NaN   1.90294        21.3510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        373.879        10.6929                 NaN   56.3389                 NaN   9.70649                 NaN            NaN            NaN            NaN   1.90283        21.3589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        377.024        10.6802                 NaN   56.3360                 NaN   9.71435                 NaN            NaN            NaN            NaN   1.90260        21.3669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        380.163        10.6677                 NaN   56.3330                 NaN   9.72203                 NaN            NaN            NaN            NaN   1.90225        21.3751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        383.297        10.6519                 NaN   56.3297                 NaN   9.73189                 NaN            NaN            NaN            NaN   1.90264        21.3839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        386.426        10.6379                 NaN   56.3265                 NaN   9.74059                 NaN            NaN            NaN            NaN   1.90262        21.3924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        389.549        10.5980                 NaN   56.3142                 NaN   9.76597                 NaN            NaN            NaN            NaN   1.90241        21.4194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        392.667        10.6291                 NaN   56.3255                 NaN   9.74560                 NaN            NaN            NaN            NaN   1.90171        21.3981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        395.779        10.6284                 NaN   56.3263                 NaN   9.74570                 NaN            NaN            NaN            NaN   1.90173        21.3979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        398.885        10.7130                 NaN   56.3491                 NaN   9.69066                 NaN            NaN            NaN            NaN   1.89602        21.3512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        401.986        10.5142                 NaN   56.2919                 NaN   9.81829                 NaN            NaN            NaN            NaN   1.90229        21.4733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        405.082        10.4937                 NaN   56.2866                 NaN   9.83100                 NaN            NaN            NaN            NaN   1.90238        21.4863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        408.172        10.4701                 NaN   56.2799                 NaN   9.84558                 NaN            NaN            NaN            NaN   1.90216        21.5022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        411.257        10.4527                 NaN   56.2764                 NaN   9.85642                 NaN            NaN            NaN            NaN   1.90334        21.5112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        414.336        10.4553                 NaN   56.2777                 NaN   9.85420                 NaN            NaN            NaN            NaN   1.90184        21.5109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        417.410        10.4546                 NaN   56.2786                 NaN   9.85430                 NaN            NaN            NaN            NaN   1.90186        21.5107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        420.478        10.4578                 NaN   56.2800                 NaN   9.85164                 NaN            NaN            NaN            NaN   1.90007        21.5105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        423.541        10.4571                 NaN   56.2808                 NaN   9.85174                 NaN            NaN            NaN            NaN   1.90009        21.5103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        426.599                 NaN            NaN   52.7875                 NaN   9.87304        6.65412                 NaN            NaN            NaN   1.95121        28.7341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        429.651                 NaN            NaN   52.7882                 NaN   9.86102        6.66784                 NaN            NaN            NaN   1.95111        28.7318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        432.697                 NaN            NaN   52.7886                 NaN   9.86106        6.66785                 NaN            NaN            NaN   1.95112        28.7314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        435.739        10.2495                 NaN   56.2186                 NaN   9.98480                 NaN            NaN            NaN            NaN   1.90208        21.6451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        438.774        10.2487                 NaN   56.2194                 NaN   9.98490                 NaN            NaN            NaN            NaN   1.90211        21.6449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        441.805        10.2480                 NaN   56.2202                 NaN   9.98500                 NaN            NaN            NaN            NaN   1.90213        21.6447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        444.830        10.2473                 NaN   56.2210                 NaN   9.98510                 NaN            NaN            NaN            NaN   1.90215        21.6444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        447.850        10.2465                 NaN   56.2219                 NaN   9.98521                 NaN            NaN            NaN            NaN   1.90218        21.6442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
