|6.6.6
mars_lf97_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3350.15        7.57793        4.36480     
  101.000        313.918        3351.03        7.57934        4.36541     
  201.000        318.476        3350.98        7.57882        4.36450     
  301.000        323.023        3350.04        7.57643        4.36214     
  401.000        327.558        3349.90        7.57524        4.36109     
  501.000        332.082        3349.65        7.57418        4.35989     
  601.000        336.594        3349.37        7.57313        4.35859     
  701.000        341.095        3349.26        7.57244        4.35757     
  801.000        345.584        3349.20        7.57185        4.35662     
  901.000        350.061        3349.18        7.57134        4.35575     
  1001.00        354.527        3349.10        7.57054        4.35480     
  1101.00        358.982        3348.92        7.56861        4.35393     
  1201.00        363.425        3349.10        7.56861        4.35342     
  1301.00        367.856        3350.53        7.57109        4.35494     
  1401.00        372.276        3350.54        7.57062        4.35410     
  1501.00        376.685        3350.54        7.57014        4.35326     
  1601.00        381.083        3350.53        7.56964        4.35240     
  1701.00        385.469        3350.49        7.56901        4.35146     
  1801.00        389.844        3350.38        7.56831        4.35044     
  1901.00        394.207        3350.32        7.56766        4.34948     
  2001.00        398.559        3350.25        7.56700        4.34851     
  2101.00        402.900        3389.54        7.68109        4.38089     
  2201.00        407.230        3389.48        7.68033        4.38002     
  2301.00        411.548        3389.42        7.67952        4.37912     
  2401.00        415.856        3389.35        7.67861        4.37821     
  2501.00        420.152        3389.37        7.67800        4.37746     
  2601.00        424.437        3389.41        7.67744        4.37676     
  2701.00        428.711        3389.46        7.67691        4.37606     
  2801.00        432.973        3389.49        7.67628        4.37531     
  2901.00        437.225        3389.51        7.67568        4.37457     
  3001.00        441.466        3389.56        7.67511        4.37386     
  3101.00        445.695        3389.59        7.67451        4.37312     
  3201.00        449.914        3389.62        7.67393        4.37240     
  3301.00        454.121        3389.56        7.67307        4.37149     
  3401.00        458.318        3389.77        7.67299        4.37108     
  3501.00        462.503        3389.84        7.67250        4.37041     
  3601.00        466.678        3390.05        7.67242        4.36997     
  3701.00        470.842        3390.05        7.67168        4.36918     
  3801.00        474.994        3389.80        7.67058        4.36794     
  3901.00        479.136        3390.11        7.67054        4.36771     
  4001.00        483.267        3390.28        7.67029        4.36722     
  4101.00        487.388        3390.34        7.66978        4.36653     
  4201.00        491.497        3390.42        7.66931        4.36587     
  4301.00        495.596        3390.55        7.66896        4.36531     
  4401.00        499.683        3390.68        7.66860        4.36474     
  4501.00        503.761        3391.41        7.66979        4.36523     
  4601.00        507.827        3391.43        7.66975        4.36437     
  4701.00        511.883        3391.77        7.66992        4.36416     
  4801.00        515.927        3392.21        7.67040        4.36413     
  4901.00        519.962        3394.40        7.67510        4.36719     
  5001.00        523.985        3394.77        7.67540        4.36702     
  5101.00        527.998        3393.74        7.67194        4.36446     
  5201.00        532.001        3393.89        7.67167        4.36394     
  5301.00        535.993        3397.53        7.68089        4.36947     
  5401.00        539.974        3397.82        7.68099        4.36918     
  5501.00        543.945        3398.09        7.68104        4.36887     
  5601.00        547.905        3398.38        7.68114        4.36858     
  5701.00        551.854        3398.45        7.68067        4.36793     
  5801.00        555.794        3398.75        7.68079        4.36766     
  5901.00        559.722        3398.88        7.68049        4.36711     
  6001.00        563.641        3399.19        7.68063        4.36685     
  6101.00        567.548        3399.25        7.68013        4.36618     
  6201.00        571.446        3399.56        7.68030        4.36594     
  6301.00        575.333        3399.69        7.67995        4.36539     
  6401.00        579.210        3400.02        7.68016        4.36517     
  6501.00        583.076        3400.01        7.67947        4.36438     
  6601.00        586.932        3400.36        7.67974        4.36420     
  6701.00        590.778        3400.71        7.68000        4.36402     
  6801.00        594.613        3401.05        7.68027        4.36385     
  6901.00        598.438        3401.22        7.68015        4.36335     
  7001.00        602.253        3401.58        7.68045        4.36320     
  7101.00        606.058        3401.95        7.68076        4.36306     
  7201.00        609.853        3399.11        7.67227        4.35736     
  7301.00        613.637        3398.72        7.67054        4.35589     
  7401.00        617.411        3398.66        7.66967        4.35501     
  7501.00        621.175        3401.94        7.67802        4.35996     
  7601.00        624.929        3402.97        7.68016        4.36098     
  7701.00        628.673        3403.99        7.68231        4.36199     
  7801.00        632.407        3405.01        7.68445        4.36300     
  7901.00        636.130        3405.53        7.68517        4.36314     
  8001.00        639.844        3406.23        7.68640        4.36359     
  8101.00        643.548        3405.55        7.68386        4.36162     
  8201.00        647.241        3405.50        7.68301        4.36074     
  8301.00        650.925        3406.43        7.68574        4.36120     
  8401.00        654.598        3406.37        7.68490        4.36033     
  8501.00        658.262        3470.33        7.87303        4.47492     
  8601.00        661.916        3470.25        7.87210        4.47401     
  8701.00        665.560        3470.10        7.87070        4.47278     
  8801.00        669.194        3470.03        7.86977        4.47188     
  8901.00        672.818        3469.96        7.86884        4.47098     
  9001.00        676.432        3469.81        7.86744        4.46975     
  9101.00        680.037        3469.74        7.86652        4.46886     
  9201.00        683.631        3429.30        7.74633        4.39278     
  9301.00        687.216        3469.62        7.86472        4.46699     
  9401.00        690.792        3469.55        7.86381        4.46610     
  9501.00        694.357        3469.48        7.86291        4.46522     
  9601.00        697.913        3469.42        7.86201        4.46433     
  9701.00        701.458        3469.35        7.86111        4.46345     
  9801.00        704.995        3469.29        7.86022        4.46256     
  9901.00        708.521        3469.22        7.85933        4.46169     
  10001.0        712.038        3468.81        7.85642        4.45950     
  10101.0        715.546        3469.10        7.85757        4.45993     
  10201.0        719.043        3469.03        7.85669        4.45906     
  10301.0        722.531        3468.66        7.85389        4.45684     
  10401.0        726.010        3468.60        7.85302        4.45598     
  10501.0        729.479        3468.45        7.85167        4.45480     
  10601.0        732.938        3468.39        7.85081        4.45391     
  10701.0        736.388        3468.30        7.84980        4.45294     
  10801.0        739.829        3468.21        7.84880        4.45198     
  10901.0        743.260        3468.09        7.84765        4.45097     
  11001.0        746.681        3467.91        7.84625        4.44986     
  11101.0        750.093        3467.92        7.84570        4.44909     
  11201.0        753.496        3467.82        7.84468        4.44814     
  11301.0        756.889        3467.70        7.84354        4.44711     
  11401.0        760.273        3467.61        7.84253        4.44615     
  11501.0        763.648        3467.64        7.84209        4.44541     
  11601.0        767.013        3467.46        7.84067        4.44431     
  11701.0        770.369        3467.36        7.83964        4.44336     
  11801.0        773.715        3467.32        7.83885        4.44248     
  11901.0        777.052        3467.19        7.83768        4.44146     
  12001.0        780.380        3467.12        7.83679        4.44056     
  12101.0        783.699        3467.01        7.83570        4.43962     
  12201.0        787.009        3466.86        7.83447        4.43861     
  12301.0        790.309        3466.73        7.83325        4.43754     
  12401.0        793.600        3466.63        7.83222        4.43660     
  12501.0        796.882        3466.60        7.83153        4.43584     
  12601.0        800.155        3466.42        7.83016        4.43479     
  12701.0        803.419        3466.34        7.82923        4.43388     
  12801.0        806.673        3466.24        7.82816        4.43293     
  12901.0        809.919        3466.16        7.82723        4.43202     
  13001.0        813.155        3466.43        7.82781        4.43153     
  13101.0        816.382        3466.01        7.82539        4.43021     
  13201.0        819.601        3465.93        7.82448        4.42932     
  13301.0        822.810        3465.80        7.82326        4.42831     
  13401.0        826.010        3465.68        7.82218        4.42736     
  13501.0        829.201        3465.62        7.82129        4.42647     
  13601.0        832.384        3465.55        7.82042        4.42559     
  13701.0        835.557        3465.42        7.81929        4.42467     
  13801.0        838.722        3465.95        7.82103        4.42457     
  13901.0        841.877        3465.93        7.82040        4.42379     
  14001.0        845.024        3465.85        7.81947        4.42290     
  14101.0        848.161        3465.76        7.81850        4.42200     
  14201.0        851.290        3465.68        7.81754        4.42109     
  14301.0        854.410        3465.78        7.81748        4.42053     
  14401.0        857.522        3465.72        7.81662        4.41967     
  14501.0        860.624        3465.65        7.81576        4.41881     
  14601.0        863.718        3465.59        7.81491        4.41795     
  14701.0        866.803        3464.92        7.81107        4.41590     
  14801.0        869.879        3465.28        7.81229        4.41588     
  14901.0        872.946        3465.40        7.81236        4.41538     
  15001.0        876.005        3465.15        7.81061        4.41421     
  15101.0        879.055        3465.30        7.81074        4.41371     
  15201.0        882.096        3465.24        7.80992        4.41287     
  15301.0        885.129        3465.18        7.80911        4.41204     
  15401.0        888.153        3465.13        7.80831        4.41121     
  15501.0        891.169        3465.08        7.80751        4.41038     
  15601.0        894.175        3465.03        7.80672        4.40956     
  15701.0        897.174        3464.98        7.80593        4.40874     
  15801.0        900.163        3464.92        7.80513        4.40791     
  15901.0        903.144        3464.81        7.80403        4.40698     
