|6.6.6
mars_lf97_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        309.347        29.6136                 NaN   100.000                 NaN   18.7297                 NaN            NaN            NaN   9.33109        1.81992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        29.6191                 NaN   100.000                 NaN   18.8469                 NaN            NaN            NaN   9.37122        1.87450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        29.6168                 NaN   100.000                 NaN   18.8465                 NaN            NaN            NaN   9.37017        1.87156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        29.6075                 NaN   100.000                 NaN   18.7326                 NaN            NaN            NaN   9.32959        1.81481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        29.6072                 NaN   100.000                 NaN   18.7209                 NaN            NaN            NaN   9.32584        1.81266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        29.6026                 NaN   100.000                 NaN   18.6988                 NaN            NaN            NaN   9.31666        1.79620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        29.5998                 NaN   100.000                 NaN   18.6684                 NaN            NaN            NaN   9.30578        1.78287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        29.5977                 NaN   100.000                 NaN   18.6608                 NaN            NaN            NaN   9.30248        1.77821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        29.5960                 NaN   100.000                 NaN   18.6595                 NaN            NaN            NaN   9.30139        1.77675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        29.5946                 NaN   100.000                 NaN   18.6639                 NaN            NaN            NaN   9.30229        1.77782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        29.5930                 NaN   100.000                 NaN   18.6621                 NaN            NaN            NaN   9.30079        1.77550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        29.5902                 NaN   100.000                 NaN   18.6606                 NaN            NaN            NaN   9.29950        1.77383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        29.5888                 NaN   100.000                 NaN   18.6973                 NaN            NaN            NaN   9.30986        1.78139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        29.5959                 NaN   100.000                 NaN   18.8893                 NaN            NaN            NaN   9.37572        1.86644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        29.5940                 NaN   100.000                 NaN   18.8982                 NaN            NaN            NaN   9.37780        1.86741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        29.5921                 NaN   100.000                 NaN   18.9070                 NaN            NaN            NaN   9.37988        1.86838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        29.5901                 NaN   100.000                 NaN   18.9145                 NaN            NaN            NaN   9.38146        1.86875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        29.5894                 NaN   100.000                 NaN   18.9152                 NaN            NaN            NaN   9.38152        1.87084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844        29.5861                 NaN   100.000                 NaN   18.9111                 NaN            NaN            NaN   9.37863        1.86339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207        29.5849                 NaN   100.000                 NaN   18.9106                 NaN            NaN            NaN   9.37801        1.86340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        398.559        29.5837                 NaN   100.000                 NaN   18.9101                 NaN            NaN            NaN   9.37739        1.86341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        402.900        41.7738                 NaN   98.1077                 NaN   31.0520                 NaN            NaN            NaN   21.3596        21.3596        21.3596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        407.230        41.7795                 NaN   98.1111                 NaN   31.0603                 NaN            NaN            NaN   21.3666        21.3666        21.3666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        411.548        41.7863                 NaN   98.1151                 NaN   31.0684                 NaN            NaN            NaN   21.3743        21.3743        21.3743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        415.856        41.7854                 NaN   98.1151                 NaN   31.0682                 NaN            NaN            NaN   21.3741        21.3741        21.3741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        420.152        41.7910                 NaN   98.1166                 NaN   31.0866                 NaN            NaN            NaN   21.3846        21.3846        21.3846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
