|6.6.6
mars_ma79_1.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3243.76        7.27051        4.03256     
  101.000        1240.92        3244.11        7.27142        4.03276     
  201.000        1241.73        3244.47        7.27232        4.03297     
  301.000        1242.53        3244.83        7.27323        4.03317     
  401.000        1243.34        3245.19        7.27414        4.03338     
  501.000        1244.15        3245.55        7.27505        4.03358     
  601.000        1244.96        3245.91        7.27595        4.03379     
  701.000        1245.77        3246.22        7.27592        4.03401     
  801.000        1246.58        3246.56        7.27666        4.03423     
  901.000        1247.38        3246.82        7.27615        4.03450     
  1001.00        1248.19        3247.17        7.27705        4.03471     
  1101.00        1249.00        3247.53        7.27795        4.03491     
  1201.00        1249.81        3247.89        7.27886        4.03512     
  1301.00        1250.62        3248.25        7.27976        4.03532     
  1401.00        1251.42        3248.60        7.28066        4.03553     
  1501.00        1252.23        3248.96        7.28156        4.03573     
  1601.00        1253.04        3249.32        7.28246        4.03594     
  1701.00        1253.85        3249.68        7.28336        4.03614     
  1801.00        1254.66        3250.03        7.28426        4.03635     
  1901.00        1255.46        3250.39        7.28516        4.03655     
  2001.00        1256.27        3250.75        7.28606        4.03675     
  2101.00        1257.08        3251.10        7.28696        4.03696     
  2201.00        1257.89        3251.46        7.28786        4.03716     
  2301.00        1258.69        3251.81        7.28875        4.03737     
  2401.00        1259.50        3252.17        7.28965        4.03757     
  2501.00        1260.31        3252.53        7.29054        4.03777     
  2601.00        1261.12        3252.88        7.29144        4.03798     
  2701.00        1261.92        3253.24        7.29233        4.03818     
  2801.00        1262.73        3253.59        7.29323        4.03839     
  2901.00        1263.54        3254.31        7.29450        4.03917     
  3001.00        1264.35        3254.61        7.29534        4.03929     
  3101.00        1265.15        3254.92        7.29618        4.03941     
  3201.00        1265.96        3255.22        7.29702        4.03953     
  3301.00        1266.77        3255.53        7.29786        4.03965     
  3401.00        1267.57        3255.83        7.29869        4.03978     
  3501.00        1268.38        3256.13        7.29953        4.03990     
  3601.00        1269.19        3256.44        7.30036        4.04002     
  3701.00        1269.99        3259.73        7.30483        4.04505     
  3801.00        1270.80        3259.97        7.30559        4.04507     
  3901.00        1271.61        3260.22        7.30634        4.04510     
  4001.00        1272.41        3260.46        7.30710        4.04512     
  4101.00        1273.22        3258.96        7.30560        4.04225     
  4201.00        1274.02        3259.47        7.30665        4.04269     
  4301.00        1274.83        3259.97        7.30770        4.04314     
  4401.00        1275.64        3260.48        7.30875        4.04359     
  4501.00        1276.44        3260.98        7.30979        4.04404     
  4601.00        1277.25        3261.49        7.31084        4.04449     
  4701.00        1278.05        3262.00        7.31189        4.04494     
  4801.00        1278.86        3262.43        7.31312        4.04533     
  4901.00        1279.67        3262.67        7.31387        4.04535     
  5001.00        1280.47        3262.92        7.31462        4.04538     
  5101.00        1281.28        3262.88        7.31485        4.04490     
  5201.00        1282.08        3263.31        7.31581        4.04523     
  5301.00        1282.89        3263.74        7.31677        4.04555     
  5401.00        1283.69        3264.17        7.31774        4.04588     
  5501.00        1284.50        3264.60        7.31870        4.04621     
  5601.00        1285.30        3265.03        7.31966        4.04653     
  5701.00        1286.11        3265.45        7.32061        4.04686     
  5801.00        1286.91        3265.88        7.32157        4.04718     
  5901.00        1287.72        3266.31        7.32253        4.04751     
  6001.00        1288.52        3266.74        7.32349        4.04784     
  6101.00        1289.33        3267.48        7.32478        4.04867     
  6201.00        1290.13        3267.87        7.32569        4.04894     
  6301.00        1290.94        3268.26        7.32661        4.04920     
  6401.00        1291.74        3268.65        7.32752        4.04946     
  6501.00        1292.54        3269.03        7.32843        4.04972     
  6601.00        1293.35        3269.42        7.32935        4.04998     
  6701.00        1294.15        3269.81        7.33026        4.05025     
  6801.00        1294.96        3270.20        7.33117        4.05051     
  6901.00        1295.76        3270.59        7.33208        4.05077     
  7001.00        1296.56        3270.97        7.33299        4.05103     
  7101.00        1297.37        3271.36        7.33390        4.05130     
  7201.00        1298.17        3271.75        7.33481        4.05156     
  7301.00        1298.97        3272.14        7.33572        4.05182     
  7401.00        1299.78        3272.52        7.33662        4.05208     
  7501.00        1300.58        3272.17        7.33675        4.05113     
  7601.00        1301.38        3272.70        7.33781        4.05163     
  7701.00        1302.19        3273.23        7.33887        4.05213     
  7801.00        1302.99        3273.76        7.33993        4.05263     
  7901.00        1303.79        3274.29        7.34099        4.05313     
  8001.00        1304.59        3274.83        7.34204        4.05363     
  8101.00        1305.40        3275.11        7.34282        4.05371     
  8201.00        1306.20        3275.35        7.34356        4.05373     
  8301.00        1307.00        3275.59        7.34429        4.05376     
  8401.00        1307.80        3275.83        7.34503        4.05378     
  8501.00        1308.61        3389.41        7.53076        4.26451     
  8601.00        1309.41        3389.64        7.53142        4.26454     
  8701.00        1310.21        3389.86        7.53209        4.26456     
  8801.00        1311.01        3390.09        7.53276        4.26458     
  8901.00        1311.81        3390.32        7.53340        4.26459     
  9001.00        1312.61        3390.54        7.53404        4.26460     
  9101.00        1313.41        3390.76        7.53468        4.26460     
  9201.00        1314.22        3390.99        7.53531        4.26461     
  9301.00        1315.02        3391.21        7.53595        4.26461     
  9401.00        1315.82        3391.43        7.53659        4.26462     
  9501.00        1316.62        3391.66        7.53722        4.26462     
  9601.00        1317.42        3391.88        7.53786        4.26462     
  9701.00        1318.22        3392.10        7.53850        4.26463     
  9801.00        1319.02        3392.32        7.53913        4.26463     
  9901.00        1319.82        3392.55        7.53977        4.26464     
  10001.0        1320.62        3392.77        7.54040        4.26464     
  10101.0        1321.42        3392.99        7.54104        4.26465     
  10201.0        1322.22        3393.22        7.54167        4.26465     
  10301.0        1323.02        3393.44        7.54231        4.26466     
  10401.0        1323.82        3393.66        7.54294        4.26466     
  10501.0        1324.62        3393.88        7.54358        4.26467     
  10601.0        1325.42        3394.11        7.54421        4.26467     
  10701.0        1326.22        3394.33        7.54484        4.26467     
  10801.0        1327.02        3394.55        7.54548        4.26468     
  10901.0        1327.81        3394.77        7.54611        4.26468     
  11001.0        1328.61        3395.00        7.54674        4.26469     
  11101.0        1329.41        3395.22        7.54738        4.26469     
  11201.0        1330.21        3395.44        7.54801        4.26470     
  11301.0        1331.01        3395.66        7.54864        4.26470     
  11401.0        1331.81        3395.88        7.54927        4.26470     
  11501.0        1332.60        3396.11        7.54990        4.26471     
  11601.0        1333.40        3396.33        7.55053        4.26471     
  11701.0        1334.20        3396.55        7.55116        4.26472     
  11801.0        1335.00        3396.77        7.55179        4.26472     
  11901.0        1335.79        3396.99        7.55242        4.26472     
  12001.0        1336.59        3397.22        7.55305        4.26473     
  12101.0        1337.39        3397.44        7.55368        4.26473     
  12201.0        1338.18        3397.66        7.55431        4.26474     
  12301.0        1338.98        3397.88        7.55494        4.26474     
  12401.0        1339.78        3398.10        7.55557        4.26474     
  12501.0        1340.57        3398.32        7.55620        4.26475     
  12601.0        1341.37        3398.55        7.55683        4.26475     
  12701.0        1342.17        3398.77        7.55746        4.26476     
  12801.0        1342.96        3398.99        7.55809        4.26476     
  12901.0        1343.76        3399.21        7.55874        4.26478     
  13001.0        1344.55        3399.44        7.55939        4.26480     
  13101.0        1345.35        3399.67        7.56005        4.26483     
  13201.0        1346.14        3399.89        7.56070        4.26485     
  13301.0        1346.94        3456.60        7.82347        4.35803     
  13401.0        1347.73        3456.80        7.82397        4.35805     
  13501.0        1348.53        3457.00        7.82447        4.35807     
  13601.0        1349.32        3457.20        7.82498        4.35809     
