|6.6.6
mars_ma79_3.tab                                                                                     
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          13
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wus            Wad            Ring           ca-pv          Pv            
  1.00000        1240.11        35.8182        100.000        14.8353        7.37314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        35.8236        100.000        14.8602        7.38855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        35.8290        100.000        14.8851        7.40396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        35.8345        100.000        14.9099        7.41937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        35.8399        100.000        14.9348        7.43478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        35.8453        100.000        14.9597        7.45020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        35.8508        100.000        14.9845        7.46561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        35.8571        100.000        15.0096        7.48092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        35.8628        100.000        15.0347        7.49668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        35.8671        100.000        15.0591        7.51186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        35.8726        100.000        15.0840        7.52728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        35.8780        100.000        15.1089        7.54270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        35.8835        100.000        15.1337        7.55812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        35.8889        100.000        15.1586        7.57354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        35.8944        100.000        15.1835        7.58896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        35.8999        100.000        15.2084        7.60438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        35.9053        100.000        15.2333        7.61981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        35.9108        100.000        15.2581        7.63523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
