|6.6.6
mars_ma79_ath_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3483.59        8.07043        4.60774     
  101.000        309.688        3483.24        8.06834        4.60598     
  201.000        317.564        3482.94        8.06651        4.60438     
  301.000        325.401        3482.63        8.06469        4.60275     
  401.000        333.201        3482.38        8.06298        4.60124     
  501.000        340.963        3482.20        8.06154        4.59990     
  601.000        348.688        3481.89        8.05965        4.59825     
  701.000        356.375        3481.56        8.05770        4.59656     
  801.000        364.025        3481.24        8.05578        4.59489     
  901.000        371.637        3481.02        8.05402        4.59337     
  1001.00        379.213        3480.74        8.05181        4.59188     
  1101.00        386.752        3480.38        8.04866        4.59042     
  1201.00        394.254        3480.09        8.04683        4.58882     
  1301.00        401.719        3479.82        8.04490        4.58729     
  1401.00        409.149        3479.56        8.04314        4.58573     
  1501.00        416.541        3479.31        8.04141        4.58419     
  1601.00        423.898        3479.07        8.03971        4.58267     
  1701.00        431.219        3478.07        8.03572        4.57954     
  1801.00        438.504        3478.44        8.03586        4.57932     
  1901.00        445.753        3478.12        8.03392        4.57763     
  2001.00        452.967        3480.46        8.04190        4.57920     
  2101.00        460.145        3480.34        8.04061        4.57789     
  2201.00        467.288        3480.25        8.03938        4.57663     
  2301.00        474.395        3480.11        8.03802        4.57528     
  2401.00        481.468        3478.62        8.03246        4.57131     
  2501.00        488.506        3478.22        8.03022        4.56944     
  2601.00        495.510        3479.83        8.03433        4.57149     
  2701.00        502.478        3479.66        8.03284        4.57007     
  2801.00        509.412        3478.67        8.02879        4.56707     
  2901.00        516.312        3479.47        8.03036        4.56755     
  3001.00        523.178        3479.48        8.02945        4.56649     
  3101.00        530.010        3479.37        8.02818        4.56521     
  3201.00        536.808        3479.28        8.02696        4.56396     
  3301.00        543.572        3479.05        8.02527        4.56242     
  3401.00        550.303        3478.65        8.02308        4.56057     
  3501.00        557.000        3478.25        8.02089        4.55873     
  3601.00        563.663        3477.85        8.01871        4.55689     
  3701.00        570.294        3477.46        8.01654        4.55505     
  3801.00        576.891        3477.06        8.01438        4.55322     
  3901.00        583.456        3476.67        8.01222        4.55139     
  4001.00        589.988        3476.28        8.01007        4.54957     
  4101.00        596.487        3475.90        8.00793        4.54776     
  4201.00        602.953        3475.51        8.00579        4.54595     
  4301.00        609.388        3470.44        7.97972        4.53260     
  4401.00        615.789        3467.63        7.96521        4.52483     
  4501.00        622.159        3462.86        7.94073        4.51220     
  4601.00        628.497        3458.32        7.91744        4.50014     
  4701.00        634.803        3456.96        7.91007        4.49592     
  4801.00        641.077        3456.61        7.90772        4.49418     
  4901.00        647.319        3456.24        7.90531        4.49242     
  5001.00        653.531        3455.88        7.90293        4.49066     
  5101.00        659.710        3455.53        7.90055        4.48892     
  5201.00        665.859        3455.17        7.89819        4.48718     
  5301.00        671.976        3454.82        7.89583        4.48545     
  5401.00        678.062        3454.47        7.89349        4.48372     
  5501.00        684.118        3454.12        7.89116        4.48201     
  5601.00        690.143        3453.78        7.88884        4.48030     
  5701.00        696.137        3453.43        7.88654        4.47860     
  5801.00        702.101        3453.09        7.88424        4.47691     
  5901.00        708.034        3452.75        7.88196        4.47522     
  6001.00        713.938        3452.42        7.87969        4.47355     
  6101.00        719.811        3452.08        7.87743        4.47188     
  6201.00        725.654        3451.75        7.87519        4.47022     
  6301.00        731.468        3451.41        7.87273        4.46851     
  6401.00        737.251        3451.08        7.87048        4.46686     
  6501.00        743.005        3450.76        7.86826        4.46522     
  6601.00        748.730        3450.44        7.86606        4.46358     
  6701.00        754.426        3450.11        7.86382        4.46194     
  6801.00        760.092        3449.80        7.86163        4.46032     
  6901.00        765.729        3449.50        7.85979        4.45882     
  7001.00        771.337        3449.17        7.85729        4.45710     
  7101.00        776.916        3448.85        7.85511        4.45549     
  7201.00        782.466        3448.57        7.85337        4.45404     
  7301.00        787.988        3448.26        7.85125        4.45247     
  7401.00        793.482        3447.93        7.84872        4.45074     
  7501.00        798.947        3447.66        7.84706        4.44934     
