|6.6.6
mars_ma79_ath_2.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        301.774                 NaN   67.7164        21.4839                 NaN            NaN            NaN            NaN   1.00329                 NaN   9.50157       0.294887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688                 NaN   67.7160        21.4804                 NaN            NaN            NaN            NaN   1.00754                 NaN   9.50487       0.291221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564                 NaN   67.7171        21.4877                 NaN            NaN            NaN            NaN  0.996624                 NaN   9.50521       0.293325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401                 NaN   67.7184        21.4971                 NaN            NaN            NaN            NaN  0.983774                 NaN   9.50295       0.297817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201                 NaN   67.7205        21.5120                 NaN            NaN            NaN            NaN  0.962051                 NaN   9.50247       0.303025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963                 NaN   67.7243        21.5377                 NaN            NaN            NaN            NaN  0.924855                 NaN   9.49956       0.313588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688                 NaN   67.7256        21.5465                 NaN            NaN            NaN            NaN  0.912076                 NaN   9.49909       0.316730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375                 NaN   67.7267        21.5534                 NaN            NaN            NaN            NaN  0.902060                 NaN   9.49878       0.319103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025                 NaN   67.7280        21.5621                 NaN            NaN            NaN            NaN  0.889305                 NaN   9.49839       0.322186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637                 NaN   67.7306        21.5749                 NaN            NaN            NaN            NaN  0.867099                 NaN   9.50385       0.323593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213                 NaN   67.7324        21.5930                 NaN            NaN            NaN            NaN  0.841290                 NaN   9.50392       0.329361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752                 NaN   67.7361        21.6094                 NaN            NaN            NaN            NaN  0.815739                 NaN   9.50372       0.335082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254                 NaN   67.7382        21.6230                 NaN            NaN            NaN            NaN  0.795570                 NaN   9.50302       0.340160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719                 NaN   67.7403        21.6399                 NaN            NaN            NaN            NaN  0.770476                 NaN   9.50351       0.345828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149                 NaN   67.7424        21.6565                 NaN            NaN            NaN            NaN  0.746025                 NaN   9.50399       0.351017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541                 NaN   67.7450        21.6744                 NaN            NaN            NaN            NaN  0.719554                 NaN   9.50397       0.357061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898                 NaN   67.7476        21.6934                 NaN            NaN            NaN            NaN  0.691402                 NaN   9.50424       0.363286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
