|6.6.6
mars_ma79_atl_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3484.92        8.07652        4.61200     
  101.000        286.844        3485.03        8.07647        4.61163     
  201.000        290.141        3485.14        8.07642        4.61128     
  301.000        293.432        3485.25        8.07637        4.61091     
  401.000        296.718        3485.34        8.07623        4.61050     
  501.000        299.998        3485.45        8.07616        4.61014     
  601.000        303.272        3485.56        8.07610        4.60978     
  701.000        306.540        3485.65        8.07599        4.60937     
  801.000        309.803        3485.75        8.07592        4.60900     
  901.000        313.060        3485.56        8.07498        4.60800     
  1001.00        316.312        3485.65        8.07446        4.60768     
  1101.00        319.558        3485.63        8.07292        4.60736     
  1201.00        322.798        3485.75        8.07290        4.60702     
  1301.00        326.033        3485.47        8.07149        4.60586     
  1401.00        329.262        3485.59        8.07147        4.60551     
  1501.00        332.485        3485.72        8.07148        4.60519     
  1601.00        335.703        3485.86        8.07149        4.60487     
  1701.00        338.915        3485.74        8.07090        4.60406     
  1801.00        342.121        3485.75        8.07024        4.60340     
  1901.00        345.322        3485.95        8.07049        4.60322     
  2001.00        348.517        3485.95        8.07010        4.60262     
  2101.00        351.707        3488.45        8.07887        4.60530     
  2201.00        354.891        3488.45        8.07846        4.60470     
  2301.00        358.069        3488.60        8.07857        4.60440     
  2401.00        361.242        3488.59        8.07811        4.60377     
  2501.00        364.410        3489.47        8.08065        4.60490     
  2601.00        367.572        3489.31        8.07961        4.60396     
  2701.00        370.728        3489.66        8.08037        4.60405     
  2801.00        373.879        3490.03        8.08115        4.60416     
  2901.00        377.024        3490.40        8.08196        4.60429     
  3001.00        380.163        3490.78        8.08277        4.60442     
  3101.00        383.297        3491.02        8.08314        4.60429     
  3201.00        386.426        3491.34        8.08373        4.60429     
  3301.00        389.549        3491.06        8.08242        4.60315     
  3401.00        392.667        3491.34        8.08290        4.60308     
  3501.00        395.779        3491.34        8.08246        4.60246     
  3601.00        398.885        3489.12        8.07482        4.59749     
  3701.00        401.986        3491.83        8.08315        4.60219     
  3801.00        405.082        3491.84        8.08276        4.60159     
  3901.00        408.172        3491.76        8.08208        4.60082     
  4001.00        411.257        3491.91        8.08213        4.60050     
  4101.00        414.336        3493.72        8.08758        4.60345     
  4201.00        417.410        3493.71        8.08713        4.60282     
  4301.00        420.478        3493.68        8.08656        4.60213     
  4401.00        423.541        3493.67        8.08611        4.60150     
  4501.00        426.599        3493.68        8.08578        4.60092     
  4601.00        429.651        3493.68        8.08532        4.60029     
  4701.00        432.697        3493.67        8.08487        4.59966     
  4801.00        435.739        3493.66        8.08442        4.59902     
  4901.00        438.774        3493.65        8.08397        4.59839     
  5001.00        441.805        3493.64        8.08352        4.59775     
  5101.00        444.830        3493.63        8.08307        4.59712     
  5201.00        447.850        3493.62        8.08262        4.59648     
  5301.00        450.864        3493.61        8.08216        4.59585     
  5401.00        453.873        3493.60        8.08171        4.59521     
  5501.00        456.876        3493.59        8.08126        4.59458     
  5601.00        459.875        3493.58        8.08081        4.59394     
  5701.00        462.867        3493.57        8.08035        4.59331     
  5801.00        465.855        3493.56        8.07990        4.59267     
  5901.00        468.837        3493.55        8.07945        4.59204     
  6001.00        471.814        3493.54        8.07900        4.59140     
  6101.00        474.785        3493.53        8.07854        4.59076     
  6201.00        477.752        3493.52        8.07809        4.59013     
  6301.00        480.712        3493.51        8.07764        4.58949     
