|6.6.6
mars_ma79_atl_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        283.541                 NaN   100.000        32.2850                 NaN            NaN            NaN            NaN   1.30900                 NaN   10.8118       0.291159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844                 NaN   100.000        32.2835                 NaN            NaN            NaN            NaN   1.29797                 NaN   10.8013       0.293990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141                 NaN   100.000        32.2818                 NaN            NaN            NaN            NaN   1.28616                 NaN   10.7902       0.296909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432                 NaN   100.000        32.2803                 NaN            NaN            NaN            NaN   1.27472                 NaN   10.7793       0.299865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718                 NaN   100.000        32.2793                 NaN            NaN            NaN            NaN   1.26538                 NaN   10.7706       0.301918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998                 NaN   100.000        32.2776                 NaN            NaN            NaN            NaN   1.25329                 NaN   10.7591       0.305114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272                 NaN   100.000        32.2759                 NaN            NaN            NaN            NaN   1.24116                 NaN   10.7474       0.308309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540                 NaN   100.000        32.2744                 NaN            NaN            NaN            NaN   1.23122                 NaN   10.7380       0.310822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803                 NaN   100.000        32.2728                 NaN            NaN            NaN            NaN   1.21930                 NaN   10.7266       0.313896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060                 NaN   100.000        32.2760                 NaN            NaN            NaN            NaN   1.24518                 NaN   10.7501       0.308018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
