|6.6.6
mars_ma79_atm_1.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3483.01        8.06780        4.60590     
  101.000        313.918        3482.87        8.06671        4.60485     
  201.000        318.476        3482.88        8.06620        4.60416     
  301.000        323.023        3483.00        8.06613        4.60375     
  401.000        327.558        3482.76        8.06484        4.60253     
  501.000        332.082        3482.92        8.06478        4.60217     
  601.000        336.594        3482.82        8.06394        4.60125     
  701.000        341.095        3482.77        8.06323        4.60042     
  801.000        345.584        3482.70        8.06247        4.59956     
  901.000        350.061        3482.63        8.06171        4.59870     
  1001.00        354.527        3482.54        8.06048        4.59789     
  1101.00        358.982        3482.36        8.05830        4.59712     
  1201.00        363.425        3482.52        8.05834        4.59675     
  1301.00        367.856        3482.46        8.05720        4.59589     
  1401.00        372.276        3482.46        8.05664        4.59516     
  1501.00        376.685        3482.46        8.05607        4.59443     
  1601.00        381.083        3482.45        8.05549        4.59370     
  1701.00        385.469        3482.29        8.05440        4.59262     
  1801.00        389.844        3482.36        8.05411        4.59207     
  1901.00        394.207        3482.25        8.05318        4.59109     
  2001.00        398.559        3482.13        8.05225        4.59012     
  2101.00        402.900        3484.79        8.06149        4.59283     
  2201.00        407.230        3484.81        8.06105        4.59214     
  2301.00        411.548        3484.84        8.06059        4.59145     
  2401.00        415.856        3484.72        8.05963        4.59047     
  2501.00        420.152        3484.89        8.05960        4.59005     
  2601.00        424.437        3485.04        8.05950        4.58959     
  2701.00        428.711        3485.44        8.06021        4.58962     
  2801.00        432.973        3485.37        8.05945        4.58875     
  2901.00        437.225        3485.54        8.05940        4.58832     
  3001.00        441.466        3485.70        8.05934        4.58788     
  3101.00        445.695        3485.84        8.05925        4.58742     
  3201.00        449.914        3486.00        8.05918        4.58698     
  3301.00        454.121        3485.97        8.05854        4.58618     
  3401.00        458.318        3486.43        8.05944        4.58633     
  3501.00        462.503        3485.73        8.05660        4.58421     
  3601.00        466.678        3485.95        8.05677        4.58388     
  3701.00        470.842        3487.32        8.06055        4.58581     
  3801.00        474.994        3487.19        8.05960        4.58481     
  3901.00        479.136        3487.07        8.05863        4.58383     
  4001.00        483.267        3486.94        8.05768        4.58282     
  4101.00        487.388        3486.81        8.05672        4.58183     
  4201.00        491.497        3486.69        8.05575        4.58085     
  4301.00        495.596        3486.57        8.05479        4.57986     
  4401.00        499.683        3486.45        8.05383        4.57887     
  4501.00        503.761        3486.32        8.05288        4.57787     
  4601.00        507.827        3486.20        8.05193        4.57688     
  4701.00        511.883        3486.07        8.05097        4.57590     
  4801.00        515.927        3485.95        8.05002        4.57491     
  4901.00        519.962        3485.83        8.04906        4.57393     
  5001.00        523.985        3485.71        8.04811        4.57294     
  5101.00        527.998        3485.59        8.04717        4.57196     
  5201.00        532.001        3485.47        8.04622        4.57098     
  5301.00        535.993        3485.35        8.04527        4.57000     
  5401.00        539.974        3485.23        8.04433        4.56902     
  5501.00        543.945        3485.11        8.04339        4.56804     
  5601.00        547.905        3484.99        8.04245        4.56706     
  5701.00        551.854        3484.88        8.04151        4.56609     
  5801.00        555.794        3484.76        8.04058        4.56512     
  5901.00        559.722        3484.64        8.03964        4.56414     
  6001.00        563.641        3484.53        8.03871        4.56317     
  6101.00        567.548        3484.41        8.03778        4.56220     
  6201.00        571.446        3484.30        8.03687        4.56124     
  6301.00        575.333        3484.18        8.03593        4.56027     
  6401.00        579.210        3484.07        8.03501        4.55930     
  6501.00        583.076        3483.95        8.03409        4.55834     
  6601.00        586.932        3483.84        8.03318        4.55738     
  6701.00        590.778        3483.73        8.03226        4.55641     
  6801.00        594.613        3483.62        8.03135        4.55546     
  6901.00        598.438        3483.50        8.03044        4.55450     
  7001.00        602.253        3483.39        8.02954        4.55354     
  7101.00        606.058        3483.28        8.02863        4.55259     
  7201.00        609.853        3483.17        8.02773        4.55164     
  7301.00        613.637        3483.06        8.02684        4.55069     
  7401.00        617.411        3482.95        8.02594        4.54974     
  7501.00        621.175        3482.84        8.02506        4.54880     
  7601.00        624.929        3482.74        8.02417        4.54786     
  7701.00        628.673        3482.63        8.02328        4.54691     
  7801.00        632.407        3482.52        8.02240        4.54597     
  7901.00        636.130        3482.42        8.02151        4.54504     
  8001.00        639.844        3482.31        8.02064        4.54410     
  8101.00        643.548        3482.21        8.01977        4.54316     
  8201.00        647.241        3482.11        8.01888        4.54223     
  8301.00        650.925        3484.76        8.02717        4.54591     
  8401.00        654.598        3484.66        8.02630        4.54498     
  8501.00        658.262        3504.18        8.08945        4.57514     
  8601.00        661.916        3504.07        8.08860        4.57424     
  8701.00        665.560        3507.80        8.09963        4.57853     
  8801.00        669.194        3507.70        8.09879        4.57764     
  8901.00        672.818        3507.60        8.09796        4.57676     
