|6.6.6
mars_ma79_atm_3.tab                                                                                 
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          25
P(bar)         T(K)           Sp             O              Cpx            Cpx            Gt             Gt             Gt             Pl             Pl             ky             qtz            Opx            Ring           Ring           Wus            Wus            C2/c           Wad            st             Aki            NaAl           ca-pv          Pv            
  1.00000        309.347                 NaN   100.000        32.2832                 NaN            NaN            NaN            NaN   1.29488                 NaN   10.7959       0.296077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918                 NaN   100.000        32.2845                 NaN            NaN            NaN            NaN   1.30254                 NaN   10.8077       0.289600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476                 NaN   100.000        32.2827                 NaN            NaN            NaN            NaN   1.28886                 NaN   10.7940       0.293661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023                 NaN   100.000        32.2786                 NaN            NaN            NaN            NaN   1.25861                 NaN   10.7612       0.305352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558                 NaN   100.000        32.2805                 NaN            NaN            NaN            NaN   1.27677                 NaN   10.7774       0.301485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082                 NaN   100.000        32.2763                 NaN            NaN            NaN            NaN   1.24237                 NaN   10.7433       0.311503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594                 NaN   100.000        32.2759                 NaN            NaN            NaN            NaN   1.24165                 NaN   10.7417       0.312339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095                 NaN   100.000        32.2749                 NaN            NaN            NaN            NaN   1.23480                 NaN   10.7346       0.314560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584                 NaN   100.000        32.2742                 NaN            NaN            NaN            NaN   1.22986                 NaN   10.7296       0.316033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061                 NaN   100.000        32.2733                 NaN            NaN            NaN            NaN   1.22459                 NaN   10.7244       0.317455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527                 NaN   100.000        32.2730                 NaN            NaN            NaN            NaN   1.21756                 NaN   10.7172       0.319584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982                 NaN   100.000        32.2709                 NaN            NaN            NaN            NaN   1.21083                 NaN   10.7101       0.321569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425                 NaN   100.000        32.2685                 NaN            NaN            NaN            NaN   1.17272                 NaN   10.6731       0.332183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856                 NaN   100.000        32.2657                 NaN            NaN            NaN            NaN   1.16867                 NaN   10.6748       0.328639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276                 NaN   100.000        32.2637                 NaN            NaN            NaN            NaN   1.15398                 NaN   10.6604       0.332744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685                 NaN   100.000        32.2617                 NaN            NaN            NaN            NaN   1.13931                 NaN   10.6461       0.336842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083                 NaN   100.000        32.2598                 NaN            NaN            NaN            NaN   1.12480                 NaN   10.6319       0.340918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469                 NaN   100.000        32.2604                 NaN            NaN            NaN            NaN   1.13155                 NaN   10.6386       0.338771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        389.844                 NaN   100.000        32.2574                 NaN            NaN            NaN            NaN   1.10547                 NaN   10.6124       0.346726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        394.207                 NaN   100.000        32.2572                 NaN            NaN            NaN            NaN   1.10538                 NaN   10.6123       0.346692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        398.559                 NaN   100.000        32.2570                 NaN            NaN            NaN            NaN   1.10528                 NaN   10.6121       0.346658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
