|6.6.6
mars_s99_1.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3198.85        7.15676        3.98061     
  101.000        1240.92        3199.13        7.15794        3.98057     
  201.000        1241.73        3199.40        7.15912        3.98053     
  301.000        1242.53        3199.67        7.16030        3.98049     
  401.000        1243.34        3199.95        7.16148        3.98045     
  501.000        1244.15        3266.33        7.02985        4.01991     
  601.000        1244.96        3266.62        7.03069        4.01999     
  701.000        1245.77        3266.84        7.03030        4.02011     
  801.000        1246.58        3267.13        7.03113        4.02019     
  901.000        1247.38        3267.41        7.03108        4.02047     
  1001.00        1248.19        3267.78        7.03206        4.02068     
  1101.00        1249.00        3268.14        7.03304        4.02090     
  1201.00        1249.81        3268.51        7.03402        4.02111     
  1301.00        1250.62        3268.87        7.03500        4.02133     
  1401.00        1251.42        3269.24        7.03598        4.02155     
  1501.00        1252.23        3269.60        7.03696        4.02176     
  1601.00        1253.04        3269.97        7.03793        4.02198     
  1701.00        1253.85        3270.39        7.03902        4.02229     
  1801.00        1254.66        3271.18        7.04091        4.02320     
  1901.00        1255.46        3271.61        7.04203        4.02352     
  2001.00        1256.27        3272.05        7.04315        4.02385     
  2101.00        1257.08        3271.89        7.04300        4.02323     
  2201.00        1257.89        3272.39        7.04424        4.02367     
  2301.00        1258.69        3272.80        7.04529        4.02395     
  2401.00        1259.50        3273.20        7.04634        4.02423     
  2501.00        1260.31        3273.60        7.04739        4.02451     
  2601.00        1261.12        3274.01        7.04844        4.02479     
  2701.00        1261.92        3274.41        7.04949        4.02507     
  2801.00        1262.73        3274.81        7.05054        4.02536     
  2901.00        1263.54        3274.90        7.05096        4.02512     
  3001.00        1264.35        3275.28        7.05196        4.02536     
  3101.00        1265.15        3275.66        7.05296        4.02560     
  3201.00        1265.96        3276.04        7.05395        4.02584     
  3301.00        1266.77        3276.54        7.05521        4.02629     
  3401.00        1267.57        3276.93        7.05622        4.02654     
  3501.00        1268.38        3277.31        7.05722        4.02679     
  3601.00        1269.19        3277.70        7.05823        4.02704     
  3701.00        1269.99        3279.48        7.06233        4.02954     
  3801.00        1270.80        3279.91        7.06346        4.02988     
  3901.00        1271.61        3280.35        7.06458        4.03022     
  4001.00        1272.41        3280.79        7.06571        4.03055     
  4101.00        1273.22        3279.91        7.06387        4.02878     
  4201.00        1274.02        3280.35        7.06500        4.02913     
  4301.00        1274.83        3280.80        7.06612        4.02948     
  4401.00        1275.64        3281.24        7.06725        4.02983     
  4501.00        1276.44        3281.41        7.06783        4.02973     
  4601.00        1277.25        3281.83        7.06889        4.03003     
  4701.00        1278.05        3282.24        7.06996        4.03032     
  4801.00        1278.86        3282.65        7.07102        4.03062     
  4901.00        1279.67        3283.06        7.07209        4.03092     
  5001.00        1280.47        3283.47        7.07315        4.03122     
  5101.00        1281.28        3283.89        7.07421        4.03152     
  5201.00        1282.08        3284.51        7.07569        4.03216     
  5301.00        1282.89        3284.84        7.07660        4.03233     
  5401.00        1283.69        3285.12        7.07740        4.03241     
  5501.00        1284.50        3285.53        7.07846        4.03271     
  5601.00        1285.30        3285.94        7.07952        4.03301     
  5701.00        1286.11        3286.36        7.08058        4.03330     
  5801.00        1286.91        3286.77        7.08164        4.03360     
  5901.00        1287.72        3287.18        7.08270        4.03390     
  6001.00        1288.52        3287.59        7.08376        4.03419     
  6101.00        1289.33        3288.00        7.08482        4.03449     
  6201.00        1290.13        3288.41        7.08588        4.03479     
  6301.00        1290.94        3288.82        7.08694        4.03508     
  6401.00        1291.74        3289.23        7.08799        4.03538     
  6501.00        1292.54        3296.31        7.10445        4.04636     
  6601.00        1293.35        3296.95        7.10605        4.04703     
  6701.00        1294.15        3297.59        7.10765        4.04770     
  6801.00        1294.96        3298.23        7.10925        4.04836     
  6901.00        1295.76        3293.41        7.09821        4.04031     
  7001.00        1296.56        3292.46        7.09612        4.03841     
  7101.00        1297.37        3293.00        7.09748        4.03892     
  7201.00        1298.17        3293.54        7.09884        4.03942     
  7301.00        1298.97        3294.08        7.10020        4.03993     
  7401.00        1299.78        3294.62        7.10156        4.04044     
  7501.00        1300.58        3295.16        7.10292        4.04095     
  7601.00        1301.38        3295.70        7.10428        4.04146     
  7701.00        1302.19        3296.24        7.10564        4.04196     
  7801.00        1302.99        3296.78        7.10700        4.04247     
  7901.00        1303.79        3297.32        7.10836        4.04298     
  8001.00        1304.59        3297.85        7.10972        4.04349     
  8101.00        1305.40        3298.39        7.11107        4.04399     
  8201.00        1306.20        3298.93        7.11243        4.04450     
  8301.00        1307.00        3299.47        7.11379        4.04501     
  8401.00        1307.80        3300.01        7.11515        4.04552     
  8501.00        1308.61        3300.54        7.11651        4.04603     
  8601.00        1309.41        3301.08        7.11787        4.04653     
  8701.00        1310.21        3301.62        7.11923        4.04704     
  8801.00        1311.01        3302.16        7.12059        4.04755     
  8901.00        1311.81        3302.69        7.12195        4.04806     
  9001.00        1312.61        3303.23        7.12331        4.04856     
  9101.00        1313.41        3303.77        7.12467        4.04907     
  9201.00        1314.22        3304.30        7.12603        4.04958     
  9301.00        1315.02        3304.84        7.12738        4.05009     
  9401.00        1315.82        3305.38        7.12874        4.05059     
  9501.00        1316.62        3305.91        7.13010        4.05110     
  9601.00        1317.42        3306.45        7.13146        4.05161     
  9701.00        1318.22        3306.98        7.13282        4.05212     
  9801.00        1319.02        3307.52        7.13418        4.05262     
  9901.00        1319.82        3308.06        7.13554        4.05313     
  10001.0        1320.62        3308.59        7.13690        4.05364     
  10101.0        1321.42        3309.13        7.13826        4.05415     
  10201.0        1322.22        3309.66        7.13962        4.05465     
  10301.0        1323.02        3310.20        7.14098        4.05516     
  10401.0        1323.82        3310.73        7.14233        4.05567     
  10501.0        1324.62        3311.26        7.14369        4.05618     
  10601.0        1325.42        3311.80        7.14505        4.05668     
  10701.0        1326.22        3312.33        7.14641        4.05719     
  10801.0        1327.02        3314.54        7.15174        4.06038     
  10901.0        1327.81        3314.72        7.15225        4.06032     
  11001.0        1328.61        3314.89        7.15277        4.06026     
  11101.0        1329.41        3315.07        7.15328        4.06019     
  11201.0        1330.21        3315.25        7.15380        4.06013     
  11301.0        1331.01        3319.60        7.16428        4.06683     
  11401.0        1331.81        3319.27        7.16357        4.06593     
  11501.0        1332.60        3318.93        7.16286        4.06504     
  11601.0        1333.40        3318.60        7.16215        4.06414     
  11701.0        1334.20        3318.27        7.16144        4.06325     
  11801.0        1335.00        3320.08        7.16586        4.06580     
  11901.0        1335.79        3320.96        7.16807        4.06689     
  12001.0        1336.59        3321.85        7.17028        4.06797     
  12101.0        1337.39        3322.74        7.17250        4.06905     
  12201.0        1338.18        3323.62        7.17472        4.07013     
  12301.0        1338.98        3324.51        7.17694        4.07122     
  12401.0        1339.78        3325.39        7.17916        4.07230     
  12501.0        1340.57        3324.91        7.17807        4.07116     
  12601.0        1341.37        3326.22        7.18132        4.07294     
  12701.0        1342.17        3327.53        7.18458        4.07472     
  12801.0        1342.96        3328.84        7.18784        4.07650     
  12901.0        1343.76        3324.38        7.17713        4.06890     
  13001.0        1344.55        3325.34        7.17952        4.07010     
