|6.6.6
mars_s99_3.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          15
P(bar)         T(K)           Pl             O              Cpx            qtz            Opx            Gt             C2/c           Wad            Ring           st             Pv             Wus            ca-pv         
  1.00000        1240.11        33.7942        100.000        7.44539        19.5236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        33.7926        100.000        7.44551        19.5229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        33.7910        100.000        7.44562        19.5223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        33.7895        100.000        7.44573        19.5216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        33.7879        100.000        7.44585        19.5210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        56.2614        100.000        42.0171        42.0171        35.5824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        56.2603        100.000        42.0169        42.0169        35.5821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        56.2599        100.000        42.0177        42.0177        35.5829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        56.2588        100.000        42.0175        42.0175        35.5826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        56.2612        100.000        42.0336        42.0336        35.5882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        56.2647        100.000        42.0507        42.0507        35.5948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        56.2682        100.000        42.0678        42.0678        35.6013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        56.2718        100.000        42.0849        42.0849        35.6079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        56.2753        100.000        42.1020        42.1020        35.6144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        56.2788        100.000        42.1191        42.1191        35.6210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        56.2823        100.000        42.1362        42.1362        35.6276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        56.2859        100.000        42.1533        42.1533        35.6341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        56.2927        100.000        42.1824        42.1824        35.6451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        56.3185        100.000        42.2830        42.2830        35.6816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        56.3256        100.000        42.3135        42.3135        35.6929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        56.3327        100.000        42.3441        42.3441        35.7043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        56.3096        100.000        42.2610        42.2610        35.6754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        56.3205        100.000        42.3052        42.3052        35.6914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        56.3263        100.000        42.3306        42.3306        35.7010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        56.3321        100.000        42.3560        42.3560        35.7105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        56.3378        100.000        42.3813        42.3813        35.7201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        56.3436        100.000        42.4067        42.4067        35.7297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        56.3494        100.000        42.4321        42.4321        35.7392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        56.3552        100.000        42.4575        42.4575        35.7488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        56.3440        100.000        42.4194        42.4194        35.7361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        56.3485        100.000        42.4399        42.4399        35.7440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        56.3530        100.000        42.4604        42.4604        35.7518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        56.3575        100.000        42.4809        42.4809        35.7597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        56.3689        100.000        42.5272        42.5272        35.7766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        56.3737        100.000        42.5488        42.5488        35.7848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        56.3785        100.000        42.5705        42.5705        35.7931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        56.3834        100.000        42.5922        42.5922        35.8014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        56.4606        100.000        42.8859        42.8859        35.9065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        56.4682        100.000        42.9180        42.9180        35.9184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        56.4759        100.000        42.9502        42.9502        35.9304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        56.4835        100.000        42.9824        42.9824        35.9424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        56.4239        100.000        42.7616        42.7616        35.8641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        56.4321        100.000        42.7956        42.7956        35.8767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        56.4402        100.000        42.8296        42.8296        35.8892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        56.4484        100.000        42.8637        42.8637        35.9018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        56.4417        100.000        42.8425        42.8425        35.8951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        56.4482        100.000        42.8704        42.8704        35.9055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        56.4548        100.000        42.8983        42.8983        35.9160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        56.4613        100.000        42.9261        42.9261        35.9264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        56.4678        100.000        42.9540        42.9540        35.9368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        56.4743        100.000        42.9819        42.9819        35.9473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        56.4808        100.000        43.0098        43.0098        35.9577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        56.4989        100.000        43.0802        43.0802        35.9832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        56.5009        100.000        43.0917        43.0917        35.9877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        56.5004        100.000        43.0934        43.0934        35.9890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        56.5070        100.000        43.1213        43.1213        35.9995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        56.5135        100.000        43.1492        43.1492        36.0099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        56.5201        100.000        43.1771        43.1771        36.0204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        56.5266        100.000        43.2050        43.2050        36.0308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        56.5332        100.000        43.2329        43.2329        36.0412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        56.5397        100.000        43.2608        43.2608        36.0517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        56.5463        100.000        43.2887        43.2887        36.0621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        56.5528        100.000        43.3166        43.3166        36.0726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        56.5594        100.000        43.3445        43.3445        36.0830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        56.5660        100.000        43.3724        43.3724        36.0935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        56.9170        100.000        44.6931        44.6931        36.6025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        56.9355        100.000        44.7658        44.7658        36.6302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        56.9541        100.000        44.8385        44.8385        36.6579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        56.9726        100.000        44.9112        44.9112        36.6856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        56.7092        100.000        43.9261        43.9261        36.2935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7001.00        1296.56        56.6454        100.000        43.6900        43.6900        36.2097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7101.00        1297.37        56.6588        100.000        43.7434        43.7434        36.2293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7201.00        1298.17        56.6722        100.000        43.7968        43.7968        36.2488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7301.00        1298.97        56.6856        100.000        43.8503        43.8503        36.2684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7401.00        1299.78        56.6990        100.000        43.9037        43.9037        36.2879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7501.00        1300.58        56.7124        100.000        43.9571        43.9571        36.3074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7601.00        1301.38        56.7258        100.000        44.0105        44.0105        36.3270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7701.00        1302.19        56.7392        100.000        44.0640        44.0640        36.3465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7801.00        1302.99        56.7527        100.000        44.1175        44.1175        36.3661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7901.00        1303.79        56.7661        100.000        44.1709        44.1709        36.3856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8001.00        1304.59        56.7795        100.000        44.2244        44.2244        36.4052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8101.00        1305.40        56.7930        100.000        44.2779        44.2779        36.4248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8201.00        1306.20        56.8064        100.000        44.3314        44.3314        36.4443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8301.00        1307.00        56.8199        100.000        44.3849        44.3849        36.4639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8401.00        1307.80        56.8333        100.000        44.4384        44.4384        36.4834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8501.00        1308.61        56.8468        100.000        44.4919        44.4919        36.5030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8601.00        1309.41        56.8603        100.000        44.5454        44.5454        36.5226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8701.00        1310.21        56.8738        100.000        44.5989        44.5989        36.5421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8801.00        1311.01        56.8873        100.000        44.6525        44.6525        36.5617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8901.00        1311.81        56.9007        100.000        44.7060        44.7060        36.5813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9001.00        1312.61        56.9142        100.000        44.7596        44.7596        36.6009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9101.00        1313.41        56.9277        100.000        44.8131        44.8131        36.6204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9201.00        1314.22        56.9413        100.000        44.8667        44.8667        36.6400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9301.00        1315.02        56.9548        100.000        44.9203        44.9203        36.6596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9401.00        1315.82        56.9683        100.000        44.9739        44.9739        36.6792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9501.00        1316.62        56.9818        100.000        45.0275        45.0275        36.6987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9601.00        1317.42        56.9954        100.000        45.0811        45.0811        36.7183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9701.00        1318.22        57.0089        100.000        45.1347        45.1347        36.7379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9801.00        1319.02        57.0225        100.000        45.1883        45.1883        36.7575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9901.00        1319.82        57.0360        100.000        45.2419        45.2419        36.7771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10001.0        1320.62        57.0496        100.000        45.2956        45.2956        36.7967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10101.0        1321.42        57.0631        100.000        45.3492        45.3492        36.8163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10201.0        1322.22        57.0767        100.000        45.4029        45.4029        36.8359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10301.0        1323.02        57.0903        100.000        45.4565        45.4565        36.8555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10401.0        1323.82        57.1039        100.000        45.5102        45.5102        36.8751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10501.0        1324.62        57.1175        100.000        45.5639        45.5639        36.8947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10601.0        1325.42        57.1311        100.000        45.6175        45.6175        36.9143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10701.0        1326.22        57.1447        100.000        45.6712        45.6712        36.9339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10801.0        1327.02        57.2459        100.000        46.0521        46.0521        37.0879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10901.0        1327.81        57.2409        100.000        46.0362        46.0362        37.0789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11001.0        1328.61        57.2359        100.000        46.0203        46.0203        37.0699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11101.0        1329.41        57.2309        100.000        46.0045        46.0045        37.0609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11201.0        1330.21        57.2258        100.000        45.9886        45.9886        37.0519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11301.0        1331.01        57.4402        100.000        46.7911        46.7911        37.3687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11401.0        1331.81        57.4083        100.000        46.6749        46.6749        37.3198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11501.0        1332.60        57.3764        100.000        46.5588        46.5588        37.2709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11601.0        1333.40        57.3446        100.000        46.4428        46.4428        37.2220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11701.0        1334.20        57.3127        100.000        46.3268        46.3268        37.1732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11801.0        1335.00        57.3937        100.000        46.6313        46.6313        37.3011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11901.0        1335.79        57.4260        100.000        46.7548        46.7548        37.3494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
