|6.6.6
mars_s99_ath_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3310.20        7.39930        4.28783     
  101.000        309.688        3310.83        7.39951        4.28766     
  201.000        317.564        3310.68        7.39812        4.28621     
  301.000        325.401        3309.77        7.39520        4.28354     
  401.000        333.201        3309.27        7.39248        4.28156     
  501.000        340.963        3307.84        7.38833        4.27808     
  601.000        348.688        3307.41        7.38633        4.27617     
  701.000        356.375        3307.05        7.38443        4.27435     
  801.000        364.025        3306.64        7.38243        4.27246     
  901.000        371.637        3308.30        7.38462        4.27390     
  1001.00        379.213        3307.99        7.38270        4.27221     
  1101.00        386.752        3307.58        7.37966        4.27055     
  1201.00        394.254        3307.06        7.37739        4.26847     
  1301.00        401.719        3306.72        7.37547        4.26668     
  1401.00        409.149        3306.48        7.37373        4.26503     
  1501.00        416.541        3306.10        7.37171        4.26317     
  1601.00        423.898        3305.78        7.36981        4.26141     
  1701.00        431.219        3304.43        7.36568        4.25791     
  1801.00        438.504        3304.77        7.36518        4.25726     
  1901.00        445.753        3365.65        7.52236        4.30284     
  2001.00        452.967        3365.24        7.51999        4.30097     
  2101.00        460.145        3364.75        7.51742        4.29895     
  2201.00        467.288        3364.45        7.51525        4.29726     
  2301.00        474.395        3363.87        7.51249        4.29510     
  2401.00        481.468        3363.44        7.51015        4.29317     
  2501.00        488.506        3362.29        7.50616        4.29002     
  2601.00        495.510        3362.87        7.50580        4.28987     
  2701.00        502.478        3362.42        7.50329        4.28793     
  2801.00        509.412        3362.21        7.50154        4.28635     
  2901.00        516.312        3358.70        7.49218        4.27914     
  3001.00        523.178        3361.11        7.49580        4.28212     
  3101.00        530.010        3360.72        7.49346        4.28029     
  3201.00        536.808        3360.34        7.49112        4.27847     
  3301.00        543.572        3356.54        7.48110        4.27080     
  3401.00        550.303        3358.59        7.48473        4.27304     
  3501.00        557.000        3358.53        7.48317        4.27176     
  3601.00        563.663        3358.54        7.48141        4.27070     
  3701.00        570.294        3358.34        7.47926        4.26921     
  3801.00        576.891        3357.89        7.47680        4.26728     
  3901.00        583.456        3357.77        7.47508        4.26592     
  4001.00        589.988        3356.15        7.46846        4.26144     
  4101.00        596.487        3355.23        7.46508        4.25875     
  4201.00        602.953        3355.68        7.46461        4.25833     
  4301.00        609.388        3356.13        7.46456        4.25790     
  4401.00        615.789        3355.94        7.46260        4.25641     
  4501.00        622.159        3354.53        7.45769        4.25296     
  4601.00        628.497        3354.30        7.45572        4.25143     
  4701.00        634.803        3354.05        7.45372        4.24987     
  4801.00        641.077        3353.90        7.45190        4.24847     
  4901.00        647.319        3353.55        7.44976        4.24675     
  5001.00        653.531        3353.20        7.44762        4.24501     
  5101.00        659.710        3352.69        7.44518        4.24302     
  5201.00        665.859        3354.35        7.44729        4.24456     
  5301.00        671.976        3354.20        7.44549        4.24318     
  5401.00        678.062        3354.05        7.44368        4.24180     
  5501.00        684.118        3353.01        7.43984        4.23901     
  5601.00        690.143        3353.77        7.44011        4.23905     
  5701.00        696.137        3353.62        7.43833        4.23769     
  5801.00        702.101        3353.37        7.43610        4.23615     
  5901.00        708.034        3353.79        7.43582        4.23569     
  6001.00        713.938        3348.43        7.42325        4.22579     
  6101.00        719.811        3351.41        7.42794        4.22962     
  6201.00        725.654        3353.59        7.43103        4.23216     
  6301.00        731.468        3352.09        7.42650        4.22853     
  6401.00        737.251        3352.87        7.42685        4.22859     
  6501.00        743.005        3351.06        7.42153        4.22459     
  6601.00        748.730        3350.99        7.42001        4.22338     
  6701.00        754.426        3348.88        7.41417        4.21878     
