|6.6.6
mars_s99_ath_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        301.774        13.2359                 NaN   66.4145                 NaN   7.85829                 NaN            NaN            NaN   11.8007       0.690640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        13.1193                 NaN   66.4080                 NaN   7.93870                 NaN            NaN            NaN   11.7891       0.744944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        13.0984                 NaN   66.4083                 NaN   7.95258                 NaN            NaN            NaN   11.7884       0.752288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        13.1702                 NaN   66.4145                 NaN   7.90234                 NaN            NaN            NaN   11.7967       0.716279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        13.1884                 NaN   66.4174                 NaN   7.88886                 NaN            NaN            NaN   11.8010       0.704369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        13.3211                 NaN   66.4283                 NaN   7.79611                 NaN            NaN            NaN   11.8170       0.637459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        13.3319                 NaN   66.4308                 NaN   7.78803                 NaN            NaN            NaN   11.8193       0.629985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        13.3348                 NaN   66.4326                 NaN   7.78541                 NaN            NaN            NaN   11.8207       0.626431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        13.3426                 NaN   66.4349                 NaN   7.77936                 NaN            NaN            NaN   11.8226       0.620428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        13.0902                 NaN   66.4217                 NaN   7.95360                 NaN            NaN            NaN   11.8029       0.731615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        13.0813                 NaN   66.4234                 NaN   7.95935                 NaN            NaN            NaN   11.8050       0.731004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        13.0742                 NaN   66.4266                 NaN   7.96296                 NaN            NaN            NaN   11.8068       0.729451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        13.0937                 NaN   66.4301                 NaN   7.94866                 NaN            NaN            NaN   11.8109       0.716670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        401.719        13.0905                 NaN   66.4324                 NaN   7.95014                 NaN            NaN            NaN   11.8134       0.713651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        409.149        13.0754                 NaN   66.4337                 NaN   7.95993                 NaN            NaN            NaN   11.8146       0.716258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        416.541        13.0772                 NaN   66.4364                 NaN   7.95793                 NaN            NaN            NaN   11.8178       0.710713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        423.898        13.0702                 NaN   66.4386                 NaN   7.96204                 NaN            NaN            NaN   11.8202       0.708961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        431.219        13.2075                 NaN   66.4428                 NaN   7.86784                 NaN            NaN            NaN   11.8207       0.661177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        438.504        13.1071                 NaN   66.4449                 NaN   7.93516                 NaN            NaN            NaN   11.8269       0.685931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        445.753        13.3210                 NaN   44.0919                 NaN   8.09928                 NaN            NaN            NaN            NaN  0.698152        33.7896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        452.967        13.3312                 NaN   44.0844                 NaN   8.09110                 NaN            NaN            NaN            NaN  0.684744        33.8085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        460.145        13.3539                 NaN   44.0775                 NaN   8.07455                 NaN            NaN            NaN            NaN  0.667654        33.8264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        467.288        13.3500                 NaN   44.0722                 NaN   8.07631                 NaN            NaN            NaN            NaN  0.661682        33.8398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        474.395        13.3837                 NaN   44.0641                 NaN   8.05207                 NaN            NaN            NaN            NaN  0.639560        33.8606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        481.468        13.3966                 NaN   44.0429                 NaN   8.04039                 NaN            NaN            NaN            NaN  0.611943        33.9082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        488.506        13.5078                 NaN   44.0269                 NaN   7.96207                 NaN            NaN            NaN            NaN  0.554320        33.9489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        495.510        13.3855                 NaN   44.0467                 NaN   8.04811                 NaN            NaN            NaN            NaN  0.615496        33.9041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        502.478        13.4028                 NaN   44.0413                 NaN   8.03541                 NaN            NaN            NaN            NaN  0.601916        33.9185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        509.412        13.3843                 NaN   44.0020                 NaN   8.04297                 NaN            NaN            NaN            NaN  0.567846        34.0029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        516.312        13.8168                 NaN   43.9807                 NaN   7.74455                 NaN            NaN            NaN            NaN  0.391030        34.0669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        523.178        13.4445                 NaN   44.0029                 NaN   8.00232                 NaN            NaN            NaN            NaN  0.544617        34.0056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        530.010        13.4526                 NaN   43.9956                 NaN   7.99569                 NaN            NaN            NaN            NaN  0.532493        34.0236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        536.808        13.4608                 NaN   43.9882                 NaN   7.98900                 NaN            NaN            NaN            NaN  0.520290        34.0417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        543.572        13.9413                 NaN   43.9995                 NaN   7.66022                 NaN            NaN            NaN            NaN  0.357530        34.0415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        550.303        13.6091                 NaN   43.9063                 NaN   7.87669                 NaN            NaN            NaN            NaN  0.381967        34.2259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        557.000        13.5730                 NaN   43.8898                 NaN   7.89920                 NaN            NaN            NaN            NaN  0.376599        34.2615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        563.663        13.5317                 NaN   43.9355                 NaN   7.93279                 NaN            NaN            NaN            NaN  0.434326        34.1657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        570.294        13.5175                 NaN   43.9514                 NaN   7.94447                 NaN            NaN            NaN            NaN  0.453551        34.1331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        576.891        13.5360                 NaN   43.9430                 NaN   7.93056                 NaN            NaN            NaN            NaN  0.436649        34.1538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        583.456        13.5092                 NaN   43.9331                 NaN   7.94756                 NaN            NaN            NaN            NaN  0.434460        34.1756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        589.988        13.5946                 NaN   43.1266                 NaN   7.88405                 NaN            NaN            NaN            NaN            NaN   35.0369                 NaN  0.357782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        596.487        13.6894                 NaN   43.2105                 NaN   7.81798                 NaN            NaN            NaN            NaN            NaN   34.9671                 NaN  0.315041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
