|6.6.6
mars_s99_atl_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3311.80        7.40634        4.29215     
  101.000        286.844        3312.00        7.40673        4.29177     
  201.000        290.141        3312.23        7.40716        4.29143     
  301.000        293.432        3312.43        7.40753        4.29104     
  401.000        296.718        3312.62        7.40726        4.29066     
  501.000        299.998        3312.79        7.40743        4.29027     
  601.000        303.272        3312.99        7.40777        4.28986     
  701.000        306.540        3313.18        7.40809        4.28944     
  801.000        309.803        3313.40        7.40846        4.28907     
  901.000        313.060        3312.85        7.40726        4.28745     
  1001.00        316.312        3313.08        7.40752        4.28713     
  1101.00        319.558        3313.20        7.40669        4.28685     
  1201.00        322.798        3313.49        7.40718        4.28658     
  1301.00        326.033        3313.01        7.40605        4.28506     
  1401.00        329.262        3313.17        7.40629        4.28460     
  1501.00        332.485        3313.56        7.40698        4.28449     
  1601.00        335.703        3313.94        7.40765        4.28438     
  1701.00        338.915        3313.15        7.40595        4.28236     
  1801.00        342.121        3314.67        7.40883        4.28406     
  1901.00        345.322        3314.77        7.40893        4.28349     
  2001.00        348.517        3314.85        7.40896        4.28288     
  2101.00        351.707        3375.17        7.56722        4.33018     
  2201.00        354.891        3375.23        7.56692        4.32966     
  2301.00        358.069        3375.34        7.56684        4.32924     
  2401.00        361.242        3375.39        7.56651        4.32870     
  2501.00        364.410        3374.81        7.56486        4.32706     
  2601.00        367.572        3375.67        7.56641        4.32794     
  2701.00        370.728        3375.81        7.56635        4.32756     
  2801.00        373.879        3375.94        7.56628        4.32717     
  2901.00        377.024        3376.08        7.56621        4.32677     
  3001.00        380.163        3376.20        7.56612        4.32637     
  3101.00        383.297        3376.37        7.56611        4.32602     
  3201.00        386.426        3376.51        7.56606        4.32565     
  3301.00        389.549        3376.69        7.56610        4.32533     
  3401.00        392.667        3376.68        7.56560        4.32468     
  3501.00        395.779        3376.74        7.56527        4.32415     
  3601.00        398.885        3376.21        7.56341        4.32262     
  3701.00        401.986        3377.35        7.56609        4.32395     
  3801.00        405.082        3377.51        7.56607        4.32358     
  3901.00        408.172        3377.67        7.56606        4.32323     
