|6.6.6
mars_s99_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        283.541        13.2271                 NaN   66.4163                 NaN   7.86493                 NaN            NaN            NaN   11.7944       0.697338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        13.2115                 NaN   66.4179                 NaN   7.87517                 NaN            NaN            NaN   11.7936       0.701923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        13.1930                 NaN   66.4191                 NaN   7.88745                 NaN            NaN            NaN   11.7922       0.708304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        13.1777                 NaN   66.4208                 NaN   7.89742                 NaN            NaN            NaN   11.7915       0.712613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        13.1617                 NaN   66.4219                 NaN   7.90789                 NaN            NaN            NaN   11.7910       0.717477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        13.1472                 NaN   66.4232                 NaN   7.91767                 NaN            NaN            NaN   11.7904       0.721541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        13.1322                 NaN   66.4249                 NaN   7.92750                 NaN            NaN            NaN   11.7899       0.725614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        13.1178                 NaN   66.4265                 NaN   7.93682                 NaN            NaN            NaN   11.7890       0.729850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        13.0998                 NaN   66.4280                 NaN   7.94872                 NaN            NaN            NaN   11.7881       0.735328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        13.1810                 NaN   66.4330                 NaN   7.89263                 NaN            NaN            NaN   11.7908       0.702610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        316.312        13.1589                 NaN   66.4342                 NaN   7.90762                 NaN            NaN            NaN   11.7898       0.709440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        319.558        13.1393                 NaN   66.4367                 NaN   7.92002                 NaN            NaN            NaN   11.7884       0.715544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        322.798        13.1115                 NaN   66.4378                 NaN   7.93867                 NaN            NaN            NaN   11.7870       0.725009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        326.033        13.1864                 NaN   66.4417                 NaN   7.88685                 NaN            NaN            NaN   11.7870       0.698114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        329.262        13.1735                 NaN   66.4437                 NaN   7.89514                 NaN            NaN            NaN   11.7870       0.700617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        332.485        13.1327                 NaN   66.4441                 NaN   7.92274                 NaN            NaN            NaN   11.7849       0.715507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        335.703        13.0923                 NaN   66.4446                 NaN   7.95015                 NaN            NaN            NaN   11.7828       0.730273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        338.915        13.2017                 NaN   66.4510                 NaN   7.87524                 NaN            NaN            NaN   11.7890       0.683055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        342.121        13.0232                 NaN   66.4429                 NaN   7.99708                 NaN            NaN            NaN   11.7717       0.765132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        345.322        13.0166                 NaN   66.4460                 NaN   8.00098                 NaN            NaN            NaN   11.7742       0.762176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        348.517        13.0158                 NaN   66.4478                 NaN   8.00114                 NaN            NaN            NaN   11.7731       0.762192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
