|6.6.6
mars_s99_atm_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3309.52        7.39630        4.28599     
  101.000        313.918        3310.65        7.39821        4.28693     
  201.000        318.476        3310.60        7.39776        4.28599     
  301.000        323.023        3309.42        7.39504        4.28323     
  401.000        327.558        3309.30        7.39380        4.28219     
  501.000        332.082        3308.97        7.39265        4.28084     
  601.000        336.594        3308.65        7.39161        4.27945     
  701.000        341.095        3308.54        7.39100        4.27839     
  801.000        345.584        3308.49        7.39050        4.27743     
  901.000        350.061        3308.49        7.39010        4.27655     
  1001.00        354.527        3308.41        7.38941        4.27557     
  1101.00        358.982        3308.25        7.38769        4.27468     
  1201.00        363.425        3308.47        7.38777        4.27417     
  1301.00        367.856        3310.29        7.39099        4.27622     
  1401.00        372.276        3310.31        7.39061        4.27537     
  1501.00        376.685        3310.33        7.39022        4.27452     
  1601.00        381.083        3310.34        7.38979        4.27364     
  1701.00        385.469        3310.33        7.38930        4.27272     
  1801.00        389.844        3310.19        7.38860        4.27162     
  1901.00        394.207        3310.15        7.38805        4.27065     
  2001.00        398.559        3310.11        7.38749        4.26969     
  2101.00        402.900        3371.02        7.54582        4.31692     
  2201.00        407.230        3370.98        7.54504        4.31607     
  2301.00        411.548        3370.89        7.54419        4.31514     
  2401.00        415.856        3370.84        7.54329        4.31427     
  2501.00        420.152        3370.86        7.54265        4.31353     
  2601.00        424.437        3370.90        7.54204        4.31281     
  2701.00        428.711        3370.91        7.54137        4.31203     
  2801.00        432.973        3370.96        7.54077        4.31134     
  2901.00        437.225        3370.98        7.54011        4.31058     
  3001.00        441.466        3371.02        7.53950        4.30986     
  3101.00        445.695        3371.04        7.53886        4.30912     
  3201.00        449.914        3371.08        7.53824        4.30840     
  3301.00        454.121        3371.02        7.53737        4.30750     
  3401.00        458.318        3371.20        7.53713        4.30701     
  3501.00        462.503        3371.25        7.53655        4.30631     
  3601.00        466.678        3371.39        7.53624        4.30575     
  3701.00        470.842        3371.42        7.53556        4.30502     
  3801.00        474.994        3371.00        7.53403        4.30348     
  3901.00        479.136        3371.43        7.53420        4.30345     
  4001.00        483.267        3371.60        7.53390        4.30296     
  4101.00        487.388        3371.64        7.53330        4.30223     
  4201.00        491.497        3371.70        7.53273        4.30154     
  4301.00        495.596        3371.82        7.53231        4.30095     
  4401.00        499.683        3371.95        7.53188        4.30037     
  4501.00        503.761        3372.66        7.53289        4.30080     
  4601.00        507.827        3371.04        7.52849        4.29713     
  4701.00        511.883        3371.42        7.52868        4.29698     
  4801.00        515.927        3371.70        7.52866        4.29666     
  4901.00        519.962        3374.61        7.53491        4.30081     
  5001.00        523.985        3374.85        7.53479        4.30043     
  5101.00        527.998        3375.00        7.53444        4.29988     
  5201.00        532.001        3375.14        7.53408        4.29933     
  5301.00        535.993        3375.19        7.53351        4.29863     
  5401.00        539.974        3375.34        7.53317        4.29809     
  5501.00        543.945        3375.40        7.53262        4.29741     
  5601.00        547.905        3375.55        7.53229        4.29688     
  5701.00        551.854        3375.62        7.53177        4.29621     
  5801.00        555.794        3375.78        7.53146        4.29569     
  5901.00        559.722        3375.88        7.53099        4.29507     
  6001.00        563.641        3376.05        7.53071        4.29457     
  6101.00        567.548        3376.17        7.53032        4.29398     
  6201.00        571.446        3376.33        7.53004        4.29348     
  6301.00        575.333        3376.46        7.52964        4.29291     
  6401.00        579.210        3376.64        7.52939        4.29243     
  6501.00        583.076        3376.74        7.52893        4.29181     
  6601.00        586.932        3376.93        7.52870        4.29135     
  6701.00        590.778        3377.12        7.52848        4.29088     
  6801.00        594.613        3377.33        7.52831        4.29046     
  6901.00        598.438        3377.54        7.52815        4.29003     
  7001.00        602.253        3377.83        7.52819        4.28973     
  7101.00        606.058        3378.39        7.52894        4.28990     
  7201.00        609.853        3379.07        7.53001        4.29029     
  7301.00        613.637        3378.69        7.52830        4.28884     
  7401.00        617.411        3378.65        7.52745        4.28799     
  7501.00        621.175        3378.25        7.52574        4.28653     
  7601.00        624.929        3378.21        7.52490        4.28569     
  7701.00        628.673        3389.77        7.55648        4.30419     
  7801.00        632.407        3389.73        7.55564        4.30335     
  7901.00        636.130        3388.70        7.55212        4.30076     
  8001.00        639.844        3388.66        7.55128        4.29992     
  8101.00        643.548        3389.93        7.55390        4.30128     
  8201.00        647.241        3387.69        7.54725        4.29670     
  8301.00        650.925        3386.84        7.54424        4.29443     
  8401.00        654.598        3386.81        7.54342        4.29360     
  8501.00        658.262        3463.96        7.75822        4.43030     
  8601.00        661.916        3463.90        7.75728        4.42942     
  8701.00        665.560        3463.75        7.75586        4.42826     
  8801.00        669.194        3463.69        7.75492        4.42738     
  8901.00        672.818        3463.64        7.75399        4.42650     
  9001.00        676.432        3463.49        7.75255        4.42534     
  9101.00        680.037        3463.43        7.75163        4.42446     
  9201.00        683.631        3400.38        7.57352        4.31044     
  9301.00        687.216        3463.36        7.74991        4.42272     
  9401.00        690.792        3463.31        7.74900        4.42185     
  9501.00        694.357        3463.25        7.74809        4.42098     
  9601.00        697.913        3463.20        7.74719        4.42011     
  9701.00        701.458        3463.15        7.74629        4.41925     
  9801.00        704.995        3463.10        7.74539        4.41838     
  9901.00        708.521        3463.05        7.74450        4.41752     
  10001.0        712.038        3462.58        7.74131        4.41547     
  10101.0        715.546        3462.96        7.74274        4.41581     
  10201.0        719.043        3462.91        7.74186        4.41496     
  10301.0        722.531        3462.49        7.73886        4.41295     
  10401.0        726.010        3462.44        7.73799        4.41210     
  10501.0        729.479        3462.28        7.73655        4.41095     
  10601.0        732.938        3462.24        7.73570        4.41010     
  10701.0        736.388        3462.16        7.73467        4.40917     
  10801.0        739.829        3462.08        7.73365        4.40824     
  10901.0        743.260        3461.95        7.73242        4.40723     
  11001.0        746.681        3461.75        7.73083        4.40607     
  11101.0        750.093        3461.80        7.73046        4.40541     
  11201.0        753.496        3461.70        7.72937        4.40447     
  11301.0        756.889        3461.58        7.72815        4.40345     
  11401.0        760.273        3461.50        7.72713        4.40252     
  11501.0        763.648        3461.58        7.72687        4.40190     
  11601.0        767.013        3461.37        7.72527        4.40075     
  11701.0        770.369        3461.12        7.72350        4.39956     
  11801.0        773.715        3461.22        7.72327        4.39891     
  11901.0        777.052        3461.07        7.72195        4.39786     
  12001.0        780.380        3461.01        7.72104        4.39699     
  12101.0        783.699        3460.92        7.72001        4.39611     
  12201.0        787.009        3460.80        7.71885        4.39514     
  12301.0        790.309        3460.64        7.71746        4.39404     
  12401.0        793.600        3460.55        7.71638        4.39311     
  12501.0        796.882        3460.53        7.71571        4.39238     
  12601.0        800.155        3460.39        7.71441        4.39137     
  12701.0        803.419        3460.32        7.71346        4.39048     
  12801.0        806.673        3460.31        7.71280        4.38971     
  12901.0        809.919        3460.19        7.71163        4.38876     
  13001.0        813.155        3460.47        7.71221        4.38837     
  13101.0        816.382        3460.04        7.70967        4.38697     
  13201.0        819.601        3460.01        7.70894        4.38618     
  13301.0        822.810        3459.81        7.70737        4.38504     
  13401.0        826.010        3459.77        7.70654        4.38421     
  13501.0        829.201        3459.72        7.70572        4.38338     
  13601.0        832.384        3459.68        7.70490        4.38255     
  13701.0        835.557        3460.03        7.70582        4.38232     
  13801.0        838.722        3460.18        7.70590        4.38185     
  13901.0        841.877        3460.06        7.70472        4.38088     
  14001.0        845.024        3459.81        7.70297        4.37968     
  14101.0        848.161        3459.96        7.70303        4.37921     
  14201.0        851.290        3459.82        7.70177        4.37822     
  14301.0        854.410        3459.99        7.70197        4.37779     
  14401.0        857.522        3459.93        7.70108        4.37695     
  14501.0        860.624        3459.87        7.70019        4.37610     
  14601.0        863.718        3459.81        7.69931        4.37525     
  14701.0        866.803        3459.76        7.69844        4.37441     
  14801.0        869.879        3459.70        7.69756        4.37357     
  14901.0        872.946        3459.64        7.69666        4.37273     
  15001.0        876.005        3459.32        7.69456        4.37143     
  15101.0        879.055        3459.55        7.69502        4.37110     
  15201.0        882.096        3459.26        7.69318        4.36997     
  15301.0        885.129        3459.21        7.69237        4.36916     
  15401.0        888.153        3459.17        7.69156        4.36835     
  15501.0        891.169        3459.35        7.69168        4.36782     
  15601.0        894.175        3459.31        7.69086        4.36701     
  15701.0        897.174        3459.26        7.69005        4.36621     
  15801.0        900.163        3459.22        7.68924        4.36540     
  15901.0        903.144        3459.15        7.68834        4.36457     
  16001.0        906.117        3459.20        7.68796        4.36393     
  16101.0        909.081        3459.19        7.68732        4.36319     
  16201.0        912.037        3459.18        7.68669        4.36246     
  16301.0        914.984        3459.17        7.68606        4.36173     
  16401.0        917.923        3459.16        7.68543        4.36100     
  16501.0        920.853        3459.16        7.68482        4.36028     
  16601.0        923.775        3459.15        7.68420        4.35955     
  16701.0        926.688        3458.86        7.68221        4.35831     
  16801.0        929.593        3458.96        7.68212        4.35778     
  16901.0        932.490        3458.75        7.68051        4.35668     
  17001.0        935.378        3458.54        7.67892        4.35558     
  17101.0        938.258        3458.92        7.68016        4.35557     
  17201.0        941.130        3458.84        7.67919        4.35471     
  17301.0        943.993        3459.07        7.67968        4.35442     
  17401.0        946.848        3459.04        7.67897        4.35367     
  17501.0        949.695        3459.02        7.67828        4.35292     
  17601.0        952.534        3458.99        7.67759        4.35218     
  17701.0        955.364        3458.97        7.67690        4.35144     
  17801.0        958.186        3458.95        7.67622        4.35070     
  17901.0        961.000        3458.93        7.67555        4.34996     
  18001.0        963.806        3458.89        7.67477        4.34919     
  18101.0        966.604        3458.87        7.67412        4.34846     
  18201.0        969.393        3458.85        7.67341        4.34772     
  18301.0        972.175        3458.81        7.67265        4.34695     
  18401.0        974.948        3458.86        7.67234        4.34636     
  18501.0        977.713        3458.85        7.67171        4.34565     
  18601.0        980.470        3458.82        7.67097        4.34490     
  18701.0        983.219        3458.87        7.67065        4.34430     
  18801.0        985.960        3458.87        7.67006        4.34360     
  18901.0        988.693        3458.59        7.66815        4.34240     
  19001.0        991.418        3458.58        7.66755        4.34170     
  19101.0        994.135        3458.58        7.66696        4.34101     
  19201.0        996.845        3458.55        7.66627        4.34028     
  19301.0        999.546        3458.38        7.66487        4.33927     
  19401.0        1002.24        3458.36        7.66418        4.33853     
  19501.0        1004.92        3458.49        7.66427        4.33812     
  19601.0        1007.60        3458.45        7.66355        4.33738     
  19701.0        1010.27        3458.70        7.66415        4.33714     
  19801.0        1012.93        3458.73        7.66374        4.33652     
  19901.0        1015.59        3458.76        7.66333        4.33590     
  20001.0        1018.23        3458.78        7.66286        4.33525     
  20101.0        1020.87        3458.82        7.66247        4.33464     
  20201.0        1023.50        3458.70        7.66136        4.33374     
  20301.0        1026.12        3458.77        7.66112        4.33319     
  20401.0        1028.74        3458.78        7.66063        4.33256     
  20501.0        1031.35        3458.76        7.65994        4.33184     
  20601.0        1033.94        3458.73        7.65926        4.33112     
  20701.0        1036.54        3458.89        7.65962        4.33079     
  20801.0        1039.12        3458.90        7.65913        4.33014     
  20901.0        1041.70        3458.91        7.65864        4.32950     
  21001.0        1044.27        3459.06        7.65880        4.32910     
  21101.0        1046.83        3458.98        7.65787        4.32830     
  21201.0        1049.38        3459.00        7.65740        4.32767     
  21301.0        1051.93        3459.10        7.65736        4.32719     
  21401.0        1054.46        3459.12        7.65690        4.32656     
  21501.0        1056.99        3459.14        7.65646        4.32594     
  21601.0        1059.52        3459.09        7.65560        4.32513     
  21701.0        1062.03        3459.12        7.65521        4.32453     
  21801.0        1064.54        3459.15        7.65481        4.32393     
  21901.0        1067.04        3459.18        7.65440        4.32332     
  22001.0        1069.53        3459.20        7.65399        4.32272     
  22101.0        1072.02        3459.23        7.65359        4.32212     
  22201.0        1074.50        3458.75        7.65075        4.32062     
  22301.0        1076.97        3458.78        7.65039        4.32004     
  22401.0        1079.43        3458.82        7.65003        4.31946     
  22501.0        1081.89        3459.40        7.65229        4.31985     
  22601.0        1084.34        3459.44        7.65192        4.31926     
  22701.0        1086.78        3459.44        7.65113        4.31857     
  22801.0        1089.21        3459.18        7.64953        4.31743     
  22901.0        1091.64        3459.22        7.64920        4.31687     
  23001.0        1094.06        3459.27        7.64888        4.31631     
  23101.0        1096.47        3459.35        7.64876        4.31583     
  23201.0        1098.87        3459.39        7.64842        4.31526     
  23301.0        1101.27        3459.43        7.64809        4.31470     
  23401.0        1103.66        3459.48        7.64777        4.31414     
  23501.0        1106.04        3459.57        7.64771        4.31369     
  23601.0        1108.42        3459.62        7.64739        4.31313     
  23701.0        1110.78        3459.66        7.64708        4.31258     
  23801.0        1113.15        3459.76        7.64702        4.31212     
  23901.0        1115.50        3459.80        7.64672        4.31157     
  24001.0        1117.85        3459.85        7.64642        4.31103     
  24101.0        1120.18        3459.58        7.64460        4.30992     
  24201.0        1122.52        3459.63        7.64434        4.30939     
  24301.0        1124.84        3459.69        7.64409        4.30886     
  24401.0        1127.16        3459.93        7.64456        4.30861     
  24501.0        1129.47        3460.04        7.64454        4.30821     
  24601.0        1131.78        3460.06        7.64409        4.30760     
  24701.0        1134.07        3460.24        7.64442        4.30730     
  24801.0        1136.36        3460.03        7.64317        4.30636     
  24901.0        1138.64        3460.09        7.64293        4.30585     
  25001.0        1140.92        3460.50        7.64413        4.30591     
  25101.0        1143.19        3460.55        7.64387        4.30538     
  25201.0        1145.45        3460.60        7.64361        4.30485     
  25301.0        1147.71        3460.65        7.64333        4.30433     
  25401.0        1149.95        3460.72        7.64312        4.30382     
  25501.0        1152.20        3460.78        7.64290        4.30331     
  25601.0        1154.43        3460.84        7.64268        4.30281     
  25701.0        1156.66        3460.85        7.64221        4.30221     
  25801.0        1158.88        3460.91        7.64198        4.30170     
  25901.0        1161.09        3460.97        7.64176        4.30119     
  26001.0        1163.30        3461.03        7.64155        4.30069     
  26101.0        1165.50        3460.97        7.64074        4.29997     
  26201.0        1167.69        3461.05        7.64063        4.29951     
  26301.0        1169.88        3461.13        7.64052        4.29905     
  26401.0        1172.06        3461.22        7.64042        4.29860     
  26501.0        1174.23        3461.36        7.64060        4.29824     
  26601.0        1176.39        3461.44        7.64048        4.29778     
  26701.0        1178.55        3461.38        7.63965        4.29706     
  26801.0        1180.71        3461.52        7.63987        4.29672     
  26901.0        1182.85        3461.67        7.64008        4.29638     
  27001.0        1184.99        3461.75        7.63995        4.29592     
  27101.0        1187.12        3461.83        7.63983        4.29546     
  27201.0        1189.25        3461.81        7.63927        4.29484     
  27301.0        1191.37        3461.94        7.63940        4.29447     
  27401.0        1193.48        3462.05        7.63941        4.29407     
  27501.0        1195.59        3462.14        7.63934        4.29363     
  27601.0        1197.68        3462.21        7.63919        4.29317     
  27701.0        1199.78        3462.29        7.63908        4.29272     
  27801.0        1201.86        3462.37        7.63895        4.29226     
  27901.0        1203.94        3462.44        7.63883        4.29181     
  28001.0        1206.02        3462.52        7.63872        4.29136     
  28101.0        1208.08        3462.60        7.63860        4.29091     
  28201.0        1210.14        3462.68        7.63848        4.29046     
  28301.0        1212.20        3462.75        7.63836        4.29001     
  28401.0        1214.24        3462.85        7.63832        4.28959     
  28501.0        1216.28        3462.93        7.63823        4.28916     
  28601.0        1218.32        3463.02        7.63819        4.28874     
  28701.0        1220.34        3463.04        7.63777        4.28818     
  28801.0        1222.37        3463.12        7.63768        4.28775     
  28901.0        1224.38        3463.20        7.63761        4.28732     
  29001.0        1226.39        3463.19        7.63705        4.28671     
  29101.0        1228.39        3463.36        7.63739        4.28644     
  29201.0        1230.39        3463.35        7.63682        4.28583     
  29301.0        1232.38        3463.59        7.63754        4.28570     
  29401.0        1234.36        3463.60        7.63710        4.28514     
  29501.0        1236.34        3463.71        7.63715        4.28476     
  29601.0        1238.31        3463.80        7.63709        4.28434     
  29701.0        1240.27        3463.91        7.63717        4.28397     
  29801.0        1242.23        3463.79        7.63599        4.28315     
  29901.0        1244.18        3464.00        7.63664        4.28299     
  30001.0        1246.13        3464.08        7.63652        4.28256     
  30101.0        1248.06        3464.40        7.63763        4.28257     
  30201.0        1250.00        3464.50        7.63763        4.28218     
  30301.0        1251.92        3464.60        7.63764        4.28179     
  30401.0        1253.85        3464.70        7.63764        4.28140     
  30501.0        1255.76        3464.80        7.63764        4.28101     
  30601.0        1257.67        3464.89        7.63764        4.28062     
  30701.0        1259.57        3464.99        7.63765        4.28024     
  30801.0        1261.47        3465.09        7.63766        4.27985     
  30901.0        1263.36        3465.20        7.63771        4.27949     
  31001.0        1265.24        3465.30        7.63774        4.27911     
  31101.0        1267.12        3465.41        7.63777        4.27874     
  31201.0        1268.99        3465.51        7.63780        4.27837     
  31301.0        1270.86        3465.61        7.63783        4.27799     
  31401.0        1272.71        3465.72        7.63787        4.27762     
  31501.0        1274.57        3465.83        7.63795        4.27727     
  31601.0        1276.42        3465.94        7.63801        4.27691     
  31701.0        1278.26        3466.05        7.63807        4.27656     
  31801.0        1280.09        3466.16        7.63817        4.27621     
  31901.0        1281.92        3466.24        7.63808        4.27580     
  32001.0        1283.75        3466.35        7.63815        4.27544     
  32101.0        1285.56        3466.46        7.63822        4.27509     
