|6.6.6
mars_s99_atm_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          27
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Wus            ca-pv          NaAl           Pv             Aki           
  1.00000        309.347        13.2398                 NaN   66.4137                 NaN   7.85540                 NaN            NaN            NaN   11.8031       0.687963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        13.0976                 NaN   66.4056                 NaN   7.95377                 NaN            NaN            NaN   11.7874       0.755725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        13.0984                 NaN   66.4082                 NaN   7.95256                 NaN            NaN            NaN   11.7888       0.752049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        13.2373                 NaN   66.4206                 NaN   7.85541                 NaN            NaN            NaN   11.8053       0.681371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        13.2481                 NaN   66.4215                 NaN   7.84770                 NaN            NaN            NaN   11.8039       0.678845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        13.2787                 NaN   66.4268                 NaN   7.82585                 NaN            NaN            NaN   11.8107       0.657982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        13.3142                 NaN   66.4307                 NaN   7.80075                 NaN            NaN            NaN   11.8132       0.641187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        13.3228                 NaN   66.4334                 NaN   7.79425                 NaN            NaN            NaN   11.8142       0.635360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        13.3237                 NaN   66.4354                 NaN   7.79315                 NaN            NaN            NaN   11.8142       0.633529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        13.3176                 NaN   66.4371                 NaN   7.79684                 NaN            NaN            NaN   11.8137       0.634843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
