|6.6.6
mars_t13_1.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        1240.11        3296.74        7.18958        4.05795     
  101.000        1240.92        3297.18        7.19060        4.05831     
  201.000        1241.73        3297.62        7.19162        4.05867     
  301.000        1242.53        3298.07        7.19264        4.05902     
  401.000        1243.34        3298.51        7.19366        4.05938     
  501.000        1244.15        3298.95        7.19469        4.05973     
  601.000        1244.96        3299.38        7.19544        4.06009     
  701.000        1245.77        3299.78        7.19563        4.06047     
  801.000        1246.58        3300.23        7.19665        4.06083     
  901.000        1247.38        3300.56        7.19627        4.06126     
  1001.00        1248.19        3301.00        7.19729        4.06161     
  1101.00        1249.00        3301.44        7.19831        4.06197     
  1201.00        1249.81        3301.89        7.19933        4.06232     
  1301.00        1250.62        3302.33        7.20034        4.06268     
  1401.00        1251.42        3302.77        7.20136        4.06303     
  1501.00        1252.23        3303.21        7.20238        4.06339     
  1601.00        1253.04        3303.65        7.20339        4.06374     
  1701.00        1253.85        3304.09        7.20441        4.06410     
  1801.00        1254.66        3304.54        7.20542        4.06446     
  1901.00        1255.46        3304.98        7.20643        4.06481     
  2001.00        1256.27        3305.42        7.20745        4.06517     
  2101.00        1257.08        3305.86        7.20846        4.06552     
  2201.00        1257.89        3306.30        7.20947        4.06588     
  2301.00        1258.69        3306.74        7.21049        4.06623     
  2401.00        1259.50        3307.18        7.21150        4.06659     
  2501.00        1260.31        3307.62        7.21251        4.06694     
  2601.00        1261.12        3308.06        7.21352        4.06730     
  2701.00        1261.92        3308.50        7.21453        4.06765     
  2801.00        1262.73        3308.94        7.21554        4.06801     
  2901.00        1263.54        3309.38        7.21655        4.06836     
  3001.00        1264.35        3309.82        7.21756        4.06872     
  3101.00        1265.15        3310.26        7.21857        4.06907     
  3201.00        1265.96        3310.70        7.21957        4.06943     
  3301.00        1266.77        3311.14        7.22058        4.06978     
  3401.00        1267.57        3311.58        7.22159        4.07014     
  3501.00        1268.38        3312.02        7.22260        4.07049     
  3601.00        1269.19        3312.46        7.22360        4.07085     
  3701.00        1269.99        3313.20        7.22507        4.07171     
  3801.00        1270.80        3313.95        7.22656        4.07260     
  3901.00        1271.61        3314.71        7.22805        4.07349     
  4001.00        1272.41        3315.47        7.22954        4.07439     
  4101.00        1273.22        3316.22        7.23103        4.07528     
  4201.00        1274.02        3316.98        7.23252        4.07617     
  4301.00        1274.83        3317.73        7.23401        4.07707     
  4401.00        1275.64        3318.49        7.23550        4.07796     
  4501.00        1276.44        3319.25        7.23699        4.07886     
  4601.00        1277.25        3320.00        7.23848        4.07976     
  4701.00        1278.05        3320.76        7.23997        4.08065     
  4801.00        1278.86        3321.51        7.24146        4.08155     
  4901.00        1279.67        3322.27        7.24296        4.08245     
  5001.00        1280.47        3323.02        7.24445        4.08335     
