|6.6.6
mars_t13_6.tab                                                                                      
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          14
P(bar)         T(K)           Pl             O              Opx            Cpx            Sp             Gt             Wad            C2/c           Ring           ca-pv          Wus            Pv            
  1.00000        1240.11        17.4082        100.000        39.5420        4.99940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        1240.92        17.4005        100.000        39.5512        5.02249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        1241.73        17.3928        100.000        39.5605        5.04559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        1242.53        17.3852        100.000        39.5698        5.06868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        1243.34        17.3775        100.000        39.5790        5.09179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        1244.15        17.3698        100.000        39.5883        5.11489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        1244.96        17.3626        100.000        39.5979        5.13797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        1245.77        17.3548        100.000        39.6079        5.16102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        1246.58        17.3471        100.000        39.6172        5.18413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        1247.38        17.3391        100.000        39.6254        5.20734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        1248.19        17.3315        100.000        39.6347        5.23046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        1249.00        17.3238        100.000        39.6440        5.25358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        1249.81        17.3162        100.000        39.6533        5.27670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        1250.62        17.3085        100.000        39.6626        5.29983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        1251.42        17.3008        100.000        39.6719        5.32296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        1252.23        17.2932        100.000        39.6813        5.34609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        1253.04        17.2856        100.000        39.6906        5.36923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        1253.85        17.2779        100.000        39.6999        5.39237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.00        1254.66        17.2703        100.000        39.7092        5.41551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1901.00        1255.46        17.2626        100.000        39.7186        5.43865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2001.00        1256.27        17.2550        100.000        39.7279        5.46180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2101.00        1257.08        17.2474        100.000        39.7372        5.48495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2201.00        1257.89        17.2397        100.000        39.7466        5.50810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2301.00        1258.69        17.2321        100.000        39.7559        5.53126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2401.00        1259.50        17.2245        100.000        39.7653        5.55442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2501.00        1260.31        17.2169        100.000        39.7746        5.57758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2601.00        1261.12        17.2092        100.000        39.7840        5.60075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2701.00        1261.92        17.2016        100.000        39.7934        5.62391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2801.00        1262.73        17.1940        100.000        39.8027        5.64708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2901.00        1263.54        17.1864        100.000        39.8121        5.67026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3001.00        1264.35        17.1788        100.000        39.8215        5.69343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3101.00        1265.15        17.1712        100.000        39.8309        5.71661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3201.00        1265.96        17.1636        100.000        39.8402        5.73979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3301.00        1266.77        17.1560        100.000        39.8496        5.76298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3401.00        1267.57        17.1484        100.000        39.8590        5.78617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3501.00        1268.38        17.1408        100.000        39.8684        5.80936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3601.00        1269.19        17.1332        100.000        39.8778        5.83255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3701.00        1269.99        17.1141        100.000        39.9040        5.89309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3801.00        1270.80        17.0943        100.000        39.9312        5.95582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3901.00        1271.61        17.0745        100.000        39.9584        6.01856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4001.00        1272.41        17.0548        100.000        39.9855        6.08133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4101.00        1273.22        17.0350        100.000        40.0128        6.14410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4201.00        1274.02        17.0153        100.000        40.0400        6.20690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4301.00        1274.83        16.9955        100.000        40.0672        6.26971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4401.00        1275.64        16.9758        100.000        40.0945        6.33253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4501.00        1276.44        16.9560        100.000        40.1217        6.39538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4601.00        1277.25        16.9363        100.000        40.1490        6.45823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4701.00        1278.05        16.9166        100.000        40.1763        6.52111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4801.00        1278.86        16.8968        100.000        40.2036        6.58399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4901.00        1279.67        16.8771        100.000        40.2309        6.64690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5001.00        1280.47        16.8574        100.000        40.2582        6.70982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5101.00        1281.28        16.8377        100.000        40.2855        6.77275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5201.00        1282.08        16.8179        100.000        40.3129        6.83570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5301.00        1282.89        16.7982        100.000        40.3402        6.89867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5401.00        1283.69        16.7785        100.000        40.3676        6.96165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5501.00        1284.50        16.7588        100.000        40.3950        7.02464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5601.00        1285.30        16.7391        100.000        40.4224        7.08766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5701.00        1286.11        16.7194        100.000        40.4498        7.15068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5801.00        1286.91        16.6997        100.000        40.4772        7.21372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5901.00        1287.72        16.6800        100.000        40.5046        7.27678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6001.00        1288.52        16.8359        100.000        40.2745        6.76747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6101.00        1289.33        16.6857        100.000        40.4934        7.25598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6201.00        1290.13        16.6515        100.000        40.5422        7.36641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6301.00        1290.94        16.7814        100.000        40.3501        6.94168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6401.00        1291.74        16.7533        100.000        40.3898        7.03211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6501.00        1292.54        16.9011        100.000        40.1713        6.54874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6601.00        1293.35        16.8791        100.000        40.2021        6.61923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6701.00        1294.15        16.8571        100.000        40.2329        6.68974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6801.00        1294.96        16.8351        100.000        40.2637        6.76027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6901.00        1295.76        16.8132        100.000        40.2945        6.83084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
