|6.6.6
mars_t13_ath_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        301.774        3407.96        7.69359        4.42368     
  101.000        309.688        3408.18        7.69301        4.42290     
  201.000        317.564        3407.95        7.69139        4.42134     
  301.000        325.401        3407.20        7.68847        4.41883     
  401.000        333.201        3406.81        7.68604        4.41701     
  501.000        340.963        3406.03        7.68313        4.41454     
  601.000        348.688        3405.65        7.68110        4.41269     
  701.000        356.375        3405.29        7.67910        4.41087     
  801.000        364.025        3404.92        7.67707        4.40903     
  901.000        371.637        3405.46        7.67703        4.40873     
  1001.00        379.213        3405.14        7.67493        4.40701     
  1101.00        386.752        3404.70        7.67159        4.40535     
  1201.00        394.254        3404.29        7.66943        4.40343     
  1301.00        401.719        3403.96        7.66739        4.40165     
  1401.00        409.149        3403.67        7.66549        4.39994     
  1501.00        416.541        3403.32        7.66345        4.39812     
  1601.00        423.898        3403.01        7.66148        4.39637     
  1701.00        431.219        3402.01        7.65786        4.39338     
  1801.00        438.504        3402.17        7.65702        4.39247     
  1901.00        445.753        3437.80        7.76842        4.42212     
  2001.00        452.967        3437.51        7.76636        4.42042     
  2101.00        460.145        3437.15        7.76413        4.41861     
  2201.00        467.288        3436.89        7.76213        4.41697     
  2301.00        474.395        3436.50        7.75981        4.41509     
  2401.00        481.468        3436.37        7.75824        4.41367     
  2501.00        488.506        3435.74        7.75538        4.41136     
  2601.00        495.510        3435.68        7.75369        4.41011     
  2701.00        502.478        3435.33        7.75146        4.40831     
  2801.00        509.412        3435.57        7.75095        4.40754     
  2901.00        516.312        3433.57        7.74458        4.40277     
  3001.00        523.178        3434.40        7.74507        4.40310     
  3101.00        530.010        3433.59        7.74204        4.40046     
  3201.00        536.808        3434.35        7.74232        4.40068     
  3301.00        543.572        3431.44        7.73351        4.39430     
  3401.00        550.303        3433.51        7.73796        4.39681     
  3501.00        557.000        3433.14        7.73521        4.39503     
  3601.00        563.663        3433.60        7.73561        4.39464     
  3701.00        570.294        3432.65        7.73141        4.39183     
  3801.00        576.891        3432.16        7.72910        4.38976     
  3901.00        583.456        3432.21        7.72795        4.38869     
  4001.00        589.988        3431.50        7.72444        4.38629     
  4101.00        596.487        3427.21        7.70449        4.37507     
  4201.00        602.953        3426.87        7.70217        4.37332     
  4301.00        609.388        3424.39        7.69060        4.36654     
  4401.00        615.789        3425.16        7.69104        4.36674     
  4501.00        622.159        3424.90        7.68899        4.36513     
  4601.00        628.497        3424.74        7.68716        4.36370     
  4701.00        634.803        3424.79        7.68648        4.36265     
  4801.00        641.077        3424.45        7.68355        4.36090     
  4901.00        647.319        3424.27        7.68189        4.35945     
  5001.00        653.531        3424.10        7.68002        4.35801     
  5101.00        659.710        3424.06        7.67845        4.35679     
  5201.00        665.859        3423.85        7.67690        4.35529     
  5301.00        671.976        3423.44        7.67448        4.35344     
  5401.00        678.062        3423.52        7.67307        4.35245     
  5501.00        684.118        3423.26        7.67113        4.35087     
  5601.00        690.143        3422.83        7.66883        4.34898     
  5701.00        696.137        3421.95        7.66563        4.34630     
  5801.00        702.101        3423.42        7.66815        4.34778     
  5901.00        708.034        3422.28        7.66473        4.34464     
  6001.00        713.938        3422.58        7.66258        4.34408     
  6101.00        719.811        3422.63        7.66124        4.34299     
  6201.00        725.654        3422.66        7.65998        4.34195     
  6301.00        731.468        3422.71        7.65873        4.34093     
  6401.00        737.251        3423.58        7.65886        4.34137     
  6501.00        743.005        3423.95        7.65822        4.34094     
  6601.00        748.730        3424.01        7.65700        4.33995     
  6701.00        754.426        3424.66        7.65759        4.34000     
  6801.00        760.092        3424.36        7.65549        4.33837     
  6901.00        765.729        3423.33        7.65204        4.33555     
  7001.00        771.337        3426.10        7.65777        4.33929     
  7101.00        776.916        3425.61        7.65525        4.33731     
  7201.00        782.466        3423.36        7.64823        4.33236     
  7301.00        787.988        3423.17        7.64659        4.33095     
  7401.00        793.482        3423.79        7.64674        4.33099     
  7501.00        798.947        3423.70        7.64495        4.32978     
  7601.00        804.384        3423.81        7.64386        4.32891     
  7701.00        809.792        3426.15        7.64825        4.33203     
  7801.00        815.173        3423.25        7.64060        4.32576     
  7901.00        820.526        3424.29        7.64107        4.32660     
  8001.00        825.851        3422.53        7.63610        4.32224     
  8101.00        831.148        3424.67        7.63925        4.32518     
  8201.00        836.418        3424.93        7.63865        4.32459     
  8301.00        841.661        3423.62        7.63450        4.32103     
  8401.00        846.876        3425.36        7.63712        4.32328     
  8501.00        852.064        3424.17        7.63317        4.31995     
  8601.00        857.224        3424.63        7.63291        4.31975     
  8701.00        862.358        3426.11        7.63481        4.32141     
  8801.00        867.466        3426.29        7.63433        4.32080     
  8901.00        872.546        3426.59        7.63382        4.32032     
  9001.00        877.600        3425.39        7.62945        4.31715     
  9101.00        882.627        3427.43        7.63351        4.31977     
  9201.00        887.628        3427.83        7.63330        4.31946     
  9301.00        892.602        3428.17        7.63291        4.31905     
  9401.00        897.551        3428.53        7.63261        4.31870     
  9501.00        902.473        3428.87        7.63222        4.31829     
  9601.00        907.370        3429.22        7.63185        4.31790     
  9701.00        912.241        3429.64        7.63167        4.31766     
  9801.00        917.086        3416.02        7.59649        4.29247     
  9901.00        921.905        3427.08        7.62241        4.31106     
  10001.0        926.699        3426.87        7.62071        4.30972     
