|6.6.6
mars_t13_ath_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        301.774        9.19188                 NaN   100.000                 NaN   25.8486                 NaN            NaN            NaN   15.9337        3.22591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        309.688        9.14153                 NaN   100.000                 NaN   25.8484                 NaN            NaN            NaN   15.8829        3.25016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        317.564        9.12818                 NaN   100.000                 NaN   25.8473                 NaN            NaN            NaN   15.8708        3.25340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        325.401        9.16946                 NaN   100.000                 NaN   25.8471                 NaN            NaN            NaN   15.9100        3.23710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        333.201        9.16462                 NaN   100.000                 NaN   25.8452                 NaN            NaN            NaN   15.9088        3.23197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        340.963        9.18040                 NaN   100.000                 NaN   25.8404                 NaN            NaN            NaN   15.9353        3.20264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        348.688        9.17771                 NaN   100.000                 NaN   25.8389                 NaN            NaN            NaN   15.9346        3.19930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        356.375        9.17472                 NaN   100.000                 NaN   25.8377                 NaN            NaN            NaN   15.9327        3.19768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        364.025        9.17097                 NaN   100.000                 NaN   25.8362                 NaN            NaN            NaN   15.9309        3.19500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        371.637        9.10544                 NaN   100.000                 NaN   25.8388                 NaN            NaN            NaN   15.8563        3.24375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        379.213        9.09345                 NaN   100.000                 NaN   25.8373                 NaN            NaN            NaN   15.8469        3.24346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        386.752        9.08181                 NaN   100.000                 NaN   25.8345                 NaN            NaN            NaN   15.8377        3.24268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        394.254        9.07827                 NaN   100.000                 NaN   25.8324                 NaN            NaN            NaN   15.8375        3.23700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
