|6.6.6
mars_t13_atl_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        283.541        3409.45        7.70052        4.42807     
  101.000        286.844        3409.59        7.70067        4.42762     
  201.000        290.141        3409.74        7.70087        4.42721     
  301.000        293.432        3409.87        7.70101        4.42676     
  401.000        296.718        3409.97        7.70067        4.42629     
  501.000        299.998        3410.09        7.70071        4.42584     
  601.000        303.272        3410.22        7.70083        4.42538     
  701.000        306.540        3410.34        7.70092        4.42490     
  801.000        309.803        3410.47        7.70105        4.42445     
  901.000        313.060        3410.19        7.70021        4.42326     
  1001.00        316.312        3410.32        7.70016        4.42285     
  1101.00        319.558        3410.33        7.69885        4.42247     
  1201.00        322.798        3410.49        7.69904        4.42208     
  1301.00        326.033        3410.22        7.69812        4.42090     
  1401.00        329.262        3410.33        7.69818        4.42041     
  1501.00        332.485        3410.55        7.69847        4.42009     
  1601.00        335.703        3410.76        7.69874        4.41977     
  1701.00        338.915        3410.36        7.69769        4.41840     
  1801.00        342.121        3411.06        7.69888        4.41885     
  1901.00        345.322        3411.16        7.69894        4.41836     
  2001.00        348.517        3411.21        7.69880        4.41773     
  2101.00        351.707        3446.65        7.81065        4.44887     
  2201.00        354.891        3446.68        7.81026        4.44829     
  2301.00        358.069        3446.78        7.81015        4.44785     
  2401.00        361.242        3446.80        7.80973        4.44725     
  2501.00        364.410        3446.66        7.80905        4.44636     
  2601.00        367.572        3447.05        7.80957        4.44645     
  2701.00        370.728        3447.17        7.80948        4.44605     
  2801.00        373.879        3447.30        7.80939        4.44564     
  2901.00        377.024        3447.42        7.80929        4.44523     
  3001.00        380.163        3447.54        7.80919        4.44481     
  3101.00        383.297        3447.68        7.80914        4.44443     
  3201.00        386.426        3447.81        7.80906        4.44403     
  3301.00        389.549        3448.14        7.80957        4.44399     
  3401.00        392.667        3447.92        7.80848        4.44297     
  3501.00        395.779        3447.95        7.80806        4.44238     
  3601.00        398.885        3447.37        7.80585        4.44068     
  3701.00        401.986        3448.61        7.80909        4.44230     
  3801.00        405.082        3448.77        7.80911        4.44196     
  3901.00        408.172        3448.95        7.80917        4.44165     
  4001.00        411.257        3449.07        7.80902        4.44122     
