|6.6.6
mars_t13_atl_2.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        283.541        5.96689                 NaN   74.1524                 NaN   9.91431                 NaN            NaN            NaN   6.73713        3.22926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        286.844        5.95592                 NaN   74.1539                 NaN   9.92137                 NaN            NaN            NaN   6.73741        3.23136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        290.141        5.94238                 NaN   74.1555                 NaN   9.93011                 NaN            NaN            NaN   6.73770        3.23427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        293.432        5.93145                 NaN   74.1571                 NaN   9.93714                 NaN            NaN            NaN   6.73807        3.23625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        296.718        5.92185                 NaN   74.1580                 NaN   9.94345                 NaN            NaN            NaN   6.73816        3.23853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        299.998        5.91096                 NaN   74.1594                 NaN   9.95058                 NaN            NaN            NaN   6.73864        3.24039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        303.272        5.89980                 NaN   74.1611                 NaN   9.95775                 NaN            NaN            NaN   6.73914        3.24226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        306.540        5.88989                 NaN   74.1626                 NaN   9.96406                 NaN            NaN            NaN   6.73928        3.24420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        309.803        5.87756                 NaN   74.1641                 NaN   9.97203                 NaN            NaN            NaN   6.73960        3.24669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        313.060        5.92171                 NaN   74.1649                 NaN   9.94226                 NaN            NaN            NaN   6.73896        3.23217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
