|6.6.6
mars_t13_atm_1.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  1.00000        309.347        3407.33        7.69062        4.42181     
  101.000        313.918        3407.93        7.69160        4.42204     
  201.000        318.476        3407.87        7.69103        4.42112     
  301.000        323.023        3407.21        7.68906        4.41914     
  401.000        327.558        3407.06        7.68782        4.41806     
  501.000        332.082        3406.95        7.68707        4.41707     
  601.000        336.594        3406.76        7.68618        4.41591     
  701.000        341.095        3406.67        7.68551        4.41492     
  801.000        345.584        3406.60        7.68488        4.41396     
  901.000        350.061        3406.56        7.68430        4.41305     
  1001.00        354.527        3406.47        7.68345        4.41209     
  1101.00        358.982        3406.28        7.68139        4.41122     
  1201.00        363.425        3406.40        7.68124        4.41060     
  1301.00        367.856        3407.14        7.68224        4.41101     
  1401.00        372.276        3407.12        7.68170        4.41013     
  1501.00        376.685        3407.10        7.68116        4.40926     
  1601.00        381.083        3407.08        7.68059        4.40837     
  1701.00        385.469        3407.00        7.67986        4.40736     
  1801.00        389.844        3406.94        7.67924        4.40642     
  1901.00        394.207        3406.86        7.67852        4.40542     
  2001.00        398.559        3406.78        7.67779        4.40442     
  2101.00        402.900        3442.59        7.79008        4.43551     
  2201.00        407.230        3442.55        7.78930        4.43465     
  2301.00        411.548        3442.50        7.78852        4.43378     
  2401.00        415.856        3442.41        7.78754        4.43283     
  2501.00        420.152        3442.43        7.78691        4.43207     
  2601.00        424.437        3442.48        7.78635        4.43137     
  2701.00        428.711        3442.53        7.78581        4.43067     
  2801.00        432.973        3442.55        7.78518        4.42992     
  2901.00        437.225        3442.59        7.78458        4.42918     
  3001.00        441.466        3442.62        7.78399        4.42846     
  3101.00        445.695        3442.65        7.78338        4.42772     
  3201.00        449.914        3442.69        7.78278        4.42699     
  3301.00        454.121        3442.62        7.78191        4.42608     
  3401.00        458.318        3442.85        7.78188        4.42570     
  3501.00        462.503        3442.93        7.78142        4.42505     
  3601.00        466.678        3443.18        7.78147        4.42471     
  3701.00        470.842        3443.13        7.78061        4.42383     
  3801.00        474.994        3443.13        7.78006        4.42301     
  3901.00        479.136        3443.25        7.77957        4.42245     
  4001.00        483.267        3443.40        7.77927        4.42191     
  4101.00        487.388        3443.47        7.77880        4.42126     
  4201.00        491.497        3443.56        7.77835        4.42062     
  4301.00        495.596        3443.68        7.77798        4.42004     
  4401.00        499.683        3443.80        7.77761        4.41945     
  4501.00        503.761        3444.45        7.77870        4.41983     
  4601.00        507.827        3443.95        7.77680        4.41809     
  4701.00        511.883        3444.21        7.77681        4.41776     
  4801.00        515.927        3444.50        7.77691        4.41748     
  4901.00        519.962        3446.90        7.78277        4.42100     
  5001.00        523.985        3447.05        7.78251        4.42049     
  5101.00        527.998        3447.09        7.78194        4.41977     
  5201.00        532.001        3447.25        7.78169        4.41927     
  5301.00        535.993        3447.31        7.78115        4.41857     
  5401.00        539.974        3447.47        7.78092        4.41807     
  5501.00        543.945        3447.50        7.78030        4.41733     
  5601.00        547.905        3447.67        7.78009        4.41685     
  5701.00        551.854        3447.87        7.77999        4.41643     
  5801.00        555.794        3448.05        7.77979        4.41595     
  5901.00        559.722        3448.13        7.77933        4.41531     
  6001.00        563.641        3448.32        7.77917        4.41486     
  6101.00        567.548        3448.43        7.77881        4.41428     
  6201.00        571.446        3448.62        7.77864        4.41382     
  6301.00        575.333        3448.78        7.77840        4.41332     
  6401.00        579.210        3448.98        7.77827        4.41289     
  6501.00        583.076        3449.14        7.77806        4.41240     
  6601.00        586.932        3449.39        7.77808        4.41207     
  6701.00        590.778        3449.64        7.77811        4.41173     
  6801.00        594.613        3457.25        7.79948        4.42474     
  6901.00        598.438        3457.39        7.79923        4.42421     
  7001.00        602.253        3457.85        7.79985        4.42425     
  7101.00        606.058        3451.87        7.78176        4.41262     
  7201.00        609.853        3452.58        7.78315        4.41314     
  7301.00        613.637        3452.24        7.78146        4.41172     
  7401.00        617.411        3452.16        7.78052        4.41080     
  7501.00        621.175        3451.81        7.77885        4.40939     
  7601.00        624.929        3451.74        7.77791        4.40847     
  7701.00        628.673        3457.79        7.79474        4.41867     
  7801.00        632.407        3458.88        7.79721        4.41987     
  7901.00        636.130        3460.66        7.80171        4.42232     
  8001.00        639.844        3460.58        7.80077        4.42140     
  8101.00        643.548        3462.22        7.80578        4.42301     
  8201.00        647.241        3462.14        7.80485        4.42210     
  8301.00        650.925        3464.08        7.81073        4.42408     
  8401.00        654.598        3464.00        7.80982        4.42317     
  8501.00        658.262        3495.72        7.90682        4.47814     
  8601.00        661.916        3495.64        7.90588        4.47723     
  8701.00        665.560        3495.49        7.90452        4.47594     
  8801.00        669.194        3495.41        7.90359        4.47503     
  8901.00        672.818        3495.33        7.90266        4.47413     
  9001.00        676.432        3495.18        7.90130        4.47284     
  9101.00        680.037        3495.11        7.90038        4.47194     
  9201.00        683.631        3490.71        7.88610        4.46259     
  9301.00        687.216        3494.96        7.89853        4.47001     
  9401.00        690.792        3494.82        7.89719        4.46873     
  9501.00        694.357        3494.74        7.89629        4.46784     
  9601.00        697.913        3494.59        7.89500        4.46660     
  9701.00        701.458        3494.50        7.89404        4.46566     
  9801.00        704.995        3494.41        7.89303        4.46465     
  9901.00        708.521        3494.28        7.89189        4.46362     
  10001.0        712.038        3494.21        7.89096        4.46262     
  10101.0        715.546        3494.13        7.89002        4.46166     
  10201.0        719.043        3494.03        7.88902        4.46066     
  10301.0        722.531        3493.93        7.88799        4.45964     
  10401.0        726.010        3493.80        7.88685        4.45862     
  10501.0        729.479        3493.72        7.88589        4.45762     
  10601.0        732.938        3493.63        7.88488        4.45662     
  10701.0        736.388        3493.57        7.88408        4.45571     
  10801.0        739.829        3493.48        7.88310        4.45473     
  10901.0        743.260        3493.30        7.88172        4.45362     
  11001.0        746.681        3493.20        7.88068        4.45262     
  11101.0        750.093        3493.03        7.87936        4.45164     
  11201.0        753.496        3493.00        7.87868        4.45074     
  11301.0        756.889        3492.87        7.87751        4.44974     
  11401.0        760.273        3492.91        7.87708        4.44884     
  11501.0        763.648        3492.77        7.87588        4.44780     
  11601.0        767.013        3492.73        7.87519        4.44705     
  11701.0        770.369        3492.39        7.87310        4.44579     
  11801.0        773.715        3492.41        7.87262        4.44493     
  11901.0        777.052        3492.30        7.87154        4.44393     
  12001.0        780.380        3492.22        7.87065        4.44301     
  12101.0        783.699        3492.06        7.86939        4.44204     
  12201.0        787.009        3491.92        7.86820        4.44104     
  12301.0        790.309        3492.16        7.86865        4.44037     
  12401.0        793.600        3492.10        7.86780        4.43946     
  12501.0        796.882        3492.02        7.86684        4.43847     
  12601.0        800.155        3491.92        7.86587        4.43754     
  12701.0        803.419        3491.74        7.86447        4.43648     
  12801.0        806.673        3491.71        7.86377        4.43560     
  12901.0        809.919        3491.61        7.86279        4.43466     
  13001.0        813.155        3491.52        7.86180        4.43373     
  13101.0        816.382        3491.13        7.85962        4.43268     
  13201.0        819.601        3491.09        7.85887        4.43180     
  13301.0        822.810        3490.92        7.85754        4.43077     
  13401.0        826.010        3490.83        7.85659        4.42984     
  13501.0        829.201        3490.92        7.85642        4.42912     
  13601.0        832.384        3490.85        7.85555        4.42822     
  13701.0        835.557        3490.83        7.85495        4.42747     
  13801.0        838.722        3491.11        7.85554        4.42682     
  13901.0        841.877        3491.06        7.85476        4.42596     
  14001.0        845.024        3490.82        7.85322        4.42499     
  14101.0        848.161        3490.75        7.85234        4.42410     
  14201.0        851.290        3490.67        7.85141        4.42320     
  14301.0        854.410        3490.60        7.85054        4.42232     
  14401.0        857.522        3490.53        7.84968        4.42144     
  14501.0        860.624        3490.44        7.84876        4.42055     
  14601.0        863.718        3490.38        7.84790        4.41968     
  14701.0        866.803        3490.29        7.84697        4.41879     
  14801.0        869.879        3490.23        7.84613        4.41792     
  14901.0        872.946        3490.36        7.84612        4.41719     
  15001.0        876.005        3490.12        7.84456        4.41621     
  15101.0        879.055        3490.06        7.84372        4.41535     
  15201.0        882.096        3489.32        7.83974        4.41347     
  15301.0        885.129        3489.24        7.83885        4.41259     
  15401.0        888.153        3489.27        7.83846        4.41189     
  15501.0        891.169        3489.04        7.83687        4.41078     
  15601.0        894.175        3488.97        7.83598        4.40991     
  15701.0        897.174        3489.03        7.83574        4.40927     
  15801.0        900.163        3489.99        7.83958        4.40983     
  15901.0        903.144        3489.91        7.83870        4.40897     
  16001.0        906.117        3489.84        7.83783        4.40812     
  16101.0        909.081        3489.77        7.83696        4.40726     
  16201.0        912.037        3489.70        7.83612        4.40642     
  16301.0        914.984        3489.64        7.83529        4.40558     
  16401.0        917.923        3489.57        7.83444        4.40475     
  16501.0        920.853        3489.56        7.83388        4.40401     
  16601.0        923.775        3489.50        7.83308        4.40319     
  16701.0        926.688        3489.68        7.83340        4.40275     
  16801.0        929.593        3489.65        7.83273        4.40198     
  16901.0        932.490        3489.62        7.83207        4.40121     
  17001.0        935.378        3489.59        7.83142        4.40044     
  17101.0        938.258        3489.56        7.83077        4.39967     
  17201.0        941.130        3489.54        7.83012        4.39891     
  17301.0        943.993        3489.50        7.82944        4.39814     
  17401.0        946.848        3489.46        7.82872        4.39736     
  17501.0        949.695        3489.42        7.82801        4.39658     
  17601.0        952.534        3489.38        7.82731        4.39580     
  17701.0        955.364        3489.34        7.82661        4.39502     
  17801.0        958.186        3489.31        7.82591        4.39425     
  17901.0        961.000        3489.27        7.82522        4.39348     
  18001.0        963.806        3489.20        7.82439        4.39267     
  18101.0        966.604        3489.17        7.82372        4.39191     
  18201.0        969.393        3489.12        7.82296        4.39113     
  18301.0        972.175        3489.20        7.82281        4.39055     
  18401.0        974.948        3489.18        7.82223        4.38983     
  18501.0        977.713        3489.17        7.82164        4.38911     
  18601.0        980.470        3489.15        7.82107        4.38839     
  18701.0        983.219        3489.14        7.82050        4.38768     
  18801.0        985.960        3489.13        7.81993        4.38697     
  18901.0        988.693        3489.12        7.81937        4.38626     
  19001.0        991.418        3489.11        7.81881        4.38555     
  19101.0        994.135        3489.10        7.81825        4.38485     
  19201.0        996.845        3489.09        7.81771        4.38415     
  19301.0        999.546        3489.07        7.81711        4.38343     
  19401.0        1002.24        3489.05        7.81651        4.38271     
  19501.0        1004.92        3489.03        7.81591        4.38200     
  19601.0        1007.60        3489.01        7.81531        4.38128     
  19701.0        1010.27        3489.00        7.81471        4.38057     
  19801.0        1012.93        3488.98        7.81413        4.37986     
  19901.0        1015.59        3488.97        7.81354        4.37916     
  20001.0        1018.23        3488.99        7.81315        4.37852     
  20101.0        1020.87        3488.98        7.81260        4.37783     
  20201.0        1023.50        3487.13        7.80337        4.37419     
  20301.0        1026.12        3487.14        7.80291        4.37353     
  20401.0        1028.74        3488.59        7.80928        4.37520     
  20501.0        1031.35        3488.57        7.80865        4.37449     
  20601.0        1033.94        3488.54        7.80803        4.37378     
  20701.0        1036.54        3488.55        7.80755        4.37312     
  20801.0        1039.12        3488.53        7.80695        4.37242     
  20901.0        1041.70        3488.51        7.80636        4.37172     
  21001.0        1044.27        3488.45        7.80557        4.37095     
  21101.0        1046.83        3488.43        7.80496        4.37026     
  21201.0        1049.38        3488.41        7.80436        4.36956     
  21301.0        1051.93        3488.55        7.80456        4.36915     
  21401.0        1054.46        3488.54        7.80401        4.36847     
  21501.0        1056.99        3488.54        7.80347        4.36780     
  21601.0        1059.52        3488.54        7.80298        4.36714     
  21701.0        1062.03        3488.36        7.80159        4.36617     
  21801.0        1064.54        3488.34        7.80101        4.36548     
  21901.0        1067.04        3486.44        7.79138        4.36164     
  22001.0        1069.53        3486.41        7.79073        4.36093     
  22101.0        1072.02        3486.38        7.79009        4.36023     
  22201.0        1074.50        3485.87        7.78715        4.35870     
  22301.0        1076.97        3485.84        7.78646        4.35799     
  22401.0        1079.43        3485.80        7.78579        4.35728     
  22501.0        1081.89        3487.55        7.79379        4.35968     
  22601.0        1084.34        3485.75        7.78451        4.35589     
  22701.0        1086.78        3485.62        7.78340        4.35503     
  22801.0        1089.21        3488.26        7.79558        4.35883     
  22901.0        1091.64        3488.24        7.79501        4.35817     
  23001.0        1094.06        3486.35        7.78537        4.35428     
  23101.0        1096.47        3488.31        7.79437        4.35702     
  23201.0        1098.87        3488.31        7.79383        4.35636     
  23301.0        1101.27        3488.30        7.79330        4.35572     
  23401.0        1103.66        3488.29        7.79278        4.35507     
  23501.0        1106.04        3488.19        7.79176        4.35424     
  23601.0        1108.42        3487.11        7.78604        4.35174     
  23701.0        1110.78        3486.02        7.78028        4.34926     
  23801.0        1113.15        3487.03        7.78476        4.35044     
  23901.0        1115.50        3487.03        7.78425        4.34980     
  24001.0        1117.85        3485.92        7.77833        4.34720     
  24101.0        1120.18        3487.02        7.78324        4.34854     
  24201.0        1122.52        3487.74        7.78616        4.34910     
  24301.0        1124.84        3487.74        7.78569        4.34848     
  24401.0        1127.16        3487.14        7.78224        4.34678     
  24501.0        1129.47        3487.14        7.78173        4.34615     
