|6.6.6
mars_t13_atm_3.tab                                                                                  
           1
P(bar)  
   0.0000000000000000     
   0.0000000000000000     
           0
          26
P(bar)         T(K)           Pl             Pl             O              O              Cpx            Cpx            Gt             Gt             qtz            ky             Opx            Opx            Sp             Ring           Ring           C2/c           Wad            st             Wus            Wus            Aki            ca-pv          NaAl           Pv            
  1.00000        309.347        9.19091                 NaN   100.000                 NaN   25.8491                 NaN            NaN            NaN   15.9344        3.22457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  101.000        313.918        9.13167                 NaN   100.000                 NaN   25.8490                 NaN            NaN            NaN   15.8735        3.25487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  201.000        318.476        9.12753                 NaN   100.000                 NaN   25.8473                 NaN            NaN            NaN   15.8704        3.25327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  301.000        323.023        9.17358                 NaN   100.000                 NaN   25.8440                 NaN            NaN            NaN   15.9205        3.22196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  401.000        327.558        9.18274                 NaN   100.000                 NaN   25.8441                 NaN            NaN            NaN   15.9278        3.22060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  501.000        332.082        9.17331                 NaN   100.000                 NaN   25.8406                 NaN            NaN            NaN   15.9244        3.21178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  601.000        336.594        9.18049                 NaN   100.000                 NaN   25.8389                 NaN            NaN            NaN   15.9328        3.20446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  701.000        341.095        9.17879                 NaN   100.000                 NaN   25.8373                 NaN            NaN            NaN   15.9321        3.20191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  801.000        345.584        9.17635                 NaN   100.000                 NaN   25.8360                 NaN            NaN            NaN   15.9300        3.20111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  901.000        350.061        9.17224                 NaN   100.000                 NaN   25.8348                 NaN            NaN            NaN   15.9259        3.20170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1001.00        354.527        9.16903                 NaN   100.000                 NaN   25.8336                 NaN            NaN            NaN   15.9233        3.20043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1101.00        358.982        9.16530                 NaN   100.000                 NaN   25.8312                 NaN            NaN            NaN   15.9199        3.19944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.00        363.425        9.13801                 NaN   100.000                 NaN   25.8295                 NaN            NaN            NaN   15.8964        3.20366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1301.00        367.856        9.08539                 NaN   100.000                 NaN   25.8315                 NaN            NaN            NaN   15.8324        3.25049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.00        372.276        9.07587                 NaN   100.000                 NaN   25.8297                 NaN            NaN            NaN   15.8242        3.25106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.00        376.685        9.06637                 NaN   100.000                 NaN   25.8279                 NaN            NaN            NaN   15.8160        3.25163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.00        381.083        9.05735                 NaN   100.000                 NaN   25.8262                 NaN            NaN            NaN   15.8083        3.25188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.00        385.469        9.05973                 NaN   100.000                 NaN   25.8257                 NaN            NaN            NaN   15.8088        3.25300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
